Area,MinA_E(10),MinA_E(20),MinA_E(30),MinA_E(40),MinA_E(50),MinA_E(60),MinA_E(70),MinA_E(80),MinA_E(90),,MinA_E(10),MinA_E(20-10),MinA_E(30-20),MinA_E(40-30),MinA_E(50-40),MinA_E(60-50),MinA_E(70-60),MinA_E(80-70),MinA_E(90-80),,SUM,,Weighted Employment Accessibility,Rank,Area,10,20,30,40,50,60,Area
Pittsburgh,93540.06451090304,440912.48710838344,1045718.9798404011,1068166,1068166,1068166,1068166,1068166,1068166,,93540.06451090304,347372.4225974804,604806.4927320177,22447.020159598906,0,0,0,0,0,,1068166,,167945.34003119002,24,Pittsburgh,27,34,13,21,21,21,Pittsburgh
Portland,96543.90993843874,449776.9691551629,947318,947318,947318,947318,947318,947318,947318,,96543.90993843874,353233.0592167242,497541.0308448371,0,0,0,0,0,0,,947318,,159832.40373666963,28,Portland,24,32,18,24,24,24,Portland
Providence,82746.81513170786,393816.4963489445,635903,635903,635903,635903,635903,635903,635903,,82746.81513170786,311069.6812172366,242086.5036510555,0,0,0,0,0,0,,635903,,121946.01834881068,44,Providence,38,42,41,41,41,41,Providence
Raleigh,111642.5373983154,695254,695254,695254,695254,695254,695254,695254,695254,,111642.5373983154,583611.4626016846,0,0,0,0,0,0,0,,695254,,167993.34784165138,23,Raleigh,13,7,37,38,38,38,Raleigh
Rochester,112303.74214805139,455705,455705,455705,455705,455705,455705,455705,455705,,112303.74214805139,343401.2578519486,0,0,0,0,0,0,0,,455705,,119792.84236116472,45,Rochester,12,31,50,50,50,50,Rochester
Sacramento,78306.55884623564,418532.20925326063,695758,695758,695758,695758,695758,695758,695758,,78306.55884623564,340225.650407025,277225.79074673937,0,0,0,0,0,0,,695758,,129025.13545519172,39,Sacramento,44,39,36,37,37,37,Sacramento
Salt Lake City,272078.85718404123,718644,718644,718644,718644,718644,718644,718644,718644,,272078.85718404123,446565.14281595877,0,0,0,0,0,0,0,,718644,,212412.85844903078,10,Salt Lake City,1,6,34,36,36,36,Salt Lake City
San Antonio,83169.65378210419,529958.4243194924,735867,735867,735867,735867,735867,735867,735867,,83169.65378210419,446788.7705373882,205908.57568050758,0,0,0,0,0,0,,735867,,146255.23598098633,35,San Antonio,37,18,32,34,34,34,San Antonio
San Diego,94913.28332252723,371295.6037574512,852573.5028873382,1188463,1188463,1188463,1188463,1188463,1188463,,94913.28332252723,276382.3204349239,481277.899129887,335889.49711266183,0,0,0,0,0,,1188463,,155800.0575753586,31,San Diego,25,45,26,17,17,17,San Diego
San Francisco,169776.44432848282,851459.6837468194,1946185.5401920117,1964313,1964313,1964313,1964313,1964313,1964313,,169776.44432848282,681683.2394183365,1094725.8564451924,18127.459807988256,0,0,0,0,0,,1964313,,313965.15059951134,3,San Francisco,4,2,1,5,11,11,San Francisco
San Jose,227891.0533925032,932614,932614,932614,932614,932614,932614,932614,932614,,227891.0533925032,704722.9466074968,0,0,0,0,0,0,0,,932614,,244679.1600234229,4,San Jose,2,1,21,27,27,27,San Jose
Seattle,67843.94024892407,285034.2066984443,664511.9200563432,1208607.5109608602,1574686,1574686,1574686,1574686,1574686,,67843.94024892407,217190.26644952025,379477.7133578989,544095.590904517,366078.4890391398,0,0,0,0,,1574686.0000000002,,137643.14427729815,38,Seattle,49,51,38,16,15,15,Seattle
South Florida,111151.82938687103,535836.1672814459,1243993.4052377748,2003402,2003402,2003402,2003402,2003402,2003402,,111151.82938687103,424684.3378945749,708157.2379563289,759408.5947622252,0,0,0,0,0,,2003402,,230883.76870302117,7,South Florida,15,16,5,4,10,10,South Florida
St. Louis,78948.61498491492,374437.53353204235,875745.2172473224,1262353,1262353,1262353,1262353,1262353,1262353,,78948.61498491492,295488.9185471274,501307.6837152801,386607.78275267757,0,0,0,0,0,,1262353,,156368.67548542743,30,St. Louis,42,44,24,15,16,16,St. Louis
Tampa Bay,71079.04070927692,366467.3564371722,853795.3640430408,1005303,1005303,1005303,1005303,1005303,1005303,,71079.04070927692,295388.3157278953,487328.00760586857,151507.63595695922,0,0,0,0,0,,1005303,,141960.92872588246,37,Tampa Bay,48,46,25,22,22,22,Tampa Bay
Washington,100583.05490698805,507921.03506236064,1223959.1395795362,2252295.8849073313,2470220,2470220,2470220,2470220,2470220,,100583.05490698805,407337.9801553726,716038.1045171756,1028336.7453277952,217924.11509266868,0,0,0,0,,2470220,,238301.20259716202,6,Washington,20,20,6,3,7,7,Washington
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,1,1,1,1,1,1,1,1,1,,,,0.8092510253174099,,,TIME COHORT,,,,,,
Beta,-0.08,,,,,,,,,,,,,,,,,,,,,,,Weighted Average,Rank,10,20,30,40,50,60,Weighted Average
,,,,,,,,,,,,,,,,,,,,,,,,Los Angeles,1,Salt Lake City,San Jose,San Francisco,Los Angeles,Los Angeles,New York,Los Angeles
"Source of Beta: Levinson, David and Ajay Kumar (1995) A Multi-modal Trip Distribution Model. Transportation Research Record #1466: 124-131.",,,,,,,,,,,,,,,,,,,,,,,,New York,2,San Jose,San Francisco,Los Angeles,New York,New York,Los Angeles,New York
,,,,,,,,,,,,,,,,,,,,,,,,San Francisco,3,Grand Rapids,Las Vegas,Phoenix,Washington,Boston,Chicago,San Francisco
,,,,,,,,,,,,,,,,,,,,,,,,San Jose,4,San Francisco,Columbus,New York,South Florida,Chicago,Boston,San Jose
,,,,,,,,,,,,,,,,,,,,,,,,Phoenix,5,Los Angeles,Los Angeles,South Florida,San Francisco,Dallas-Fort Worth,Dallas-Fort Worth,Phoenix
,,,,,,,,,,,,,,,,,,,,,,,,Washington,6,Columbus,Salt Lake City,Washington,Philadelphia,Philadelphia,Philadelphia,Washington
,,,,,,,,,,,,,,,,,,,,,,,,South Florida,7,New York,Raleigh,Denver,Houston,Washington,Washington,South Florida
,,,,,,,,,,,,,,,,,,,,,,,,Philadelphia,8,Las Vegas,Inland Empire,Baltimore,Dallas-Fort Worth,Houston,Houston,Philadelphia
,,,,,,,,,,,,,,,,,,,,,,,,Chicago,9,Honolulu,Milwaukee,Minneapolis-St.Paul,Boston,Atlanta,Atlanta,Chicago
,,,,,,,,,,,,,,,,,,,,,,,,Salt Lake City,10,Milwaukee,Phoenix,Inland Empire,Chicago,South Florida,South Florida,Salt Lake City
,,,,,,,,,,,,,,,,,,,,,,,,Houston,11,Inland Empire,New York,Philadelphia,Minneapolis-St.Paul,San Francisco,San Francisco,Houston
,,,,,,,,,,,,,,,,,,,,,,,,Boston,12,Rochester,Charlotte,Houston,Detroit,Detroit,Detroit,Boston
,,,,,,,,,,,,,,,,,,,,,,,,Dallas-Fort Worth,13,Raleigh,Cleveland,Pittsburgh,Phoenix,Minneapolis-St.Paul,Minneapolis-St.Paul,Dallas-Fort Worth
,,,,,,,,,,,,,,,,,,,,,,,,Inland Empire,14,Cleveland,Austin,Dallas-Fort Worth,Atlanta,Phoenix,Phoenix,Inland Empire
,,,,,,,,,,,,,,,,,,,,,,,,Las Vegas,15,South Florida,Nashville,Boston,St. Louis,Seattle,Seattle,Las Vegas
,,,,,,,,,,,,,,,,,,,,,,,,Columbus,16,Phoenix,South Florida,Cleveland,Seattle,St. Louis,St. Louis,Columbus
,,,,,,,,,,,,,,,,,,,,,,,,Minneapolis-St.Paul,17,Oklahoma City,Grand Rapids,Chicago,San Diego,San Diego,San Diego,Minneapolis-St.Paul
,,,,,,,,,,,,,,,,,,,,,,,,Cleveland,18,Buffalo,San Antonio,Portland,Denver,Denver,Denver,Cleveland
,,,,,,,,,,,,,,,,,,,,,,,,Denver,19,Kansas City,Kansas City,Cincinnati,Baltimore,Baltimore,Baltimore,Denver
,,,,,,,,,,,,,,,,,,,,,,,,Detroit,20,Washington,Washington,Orlando,Inland Empire,Inland Empire,Inland Empire,Detroit
,,,,,,,,,,,,,,,,,,,,,,,,Milwaukee,21,Baltimore,Orlando,San Jose,Pittsburgh,Pittsburgh,Pittsburgh,Milwaukee
,,,,,,,,,,,,,,,,,,,,,,,,Baltimore,22,Nashville,Denver,Kansas City,Tampa Bay,Tampa Bay,Tampa Bay,Baltimore
,,,,,,,,,,,,,,,,,,,,,,,,Raleigh,23,New Orleans,Memphis,Detroit,Cleveland,Cleveland,Cleveland,Raleigh
,,,,,,,,,,,,,,,,,,,,,,,,Pittsburgh,24,Portland,Oklahoma City,St. Louis,Portland,Portland,Portland,Pittsburgh
,,,,,,,,,,,,,,,,,,,,,,,,Kansas City,25,San Diego,Cincinnati,Tampa Bay,Cincinnati,Cincinnati,Cincinnati,Kansas City
,,,,,,,,,,,,,,,,,,,,,,,,Orlando,26,Philadelphia,Minneapolis-St.Paul,San Diego,Orlando,Orlando,Orlando,Orlando
,,,,,,,,,,,,,,,,,,,,,,,,Cincinnati,27,Pittsburgh,Buffalo,Las Vegas,San Jose,San Jose,San Jose,Cincinnati
,,,,,,,,,,,,,,,,,,,,,,,,Portland,28,Minneapolis-St.Paul,Baltimore,Charlotte,Kansas City,Kansas City,Kansas City,Portland
,,,,,,,,,,,,,,,,,,,,,,,,Charlotte,29,Cincinnati,New Orleans,Indianapolis,Las Vegas,Las Vegas,Las Vegas,Charlotte
,,,,,,,,,,,,,,,,,,,,,,,,St. Louis,30,Hartford,Philadelphia,Milwaukee,Charlotte,Charlotte,Charlotte,St. Louis
,,,,,,,,,,,,,,,,,,,,,,,,San Diego,31,Orlando,Rochester,Columbus,Indianapolis,Indianapolis,Indianapolis,San Diego
,,,,,,,,,,,,,,,,,,,,,,,,Grand Rapids,32,Memphis,Portland,San Antonio,Milwaukee,Milwaukee,Milwaukee,Grand Rapids
,,,,,,,,,,,,,,,,,,,,,,,,Nashville,33,Denver,Houston,Nashville,Columbus,Columbus,Columbus,Nashville
,,,,,,,,,,,,,,,,,,,,,,,,Atlanta,34,Boston,Pittsburgh,Salt Lake City,San Antonio,San Antonio,San Antonio,Atlanta
,,,,,,,,,,,,,,,,,,,,,,,,San Antonio,35,Hampton Roads,Hartford,Atlanta,Nashville,Nashville,Nashville,San Antonio
,,,,,,,,,,,,,,,,,,,,,,,,Austin,36,Detroit,Dallas-Fort Worth,Sacramento,Salt Lake City,Salt Lake City,Salt Lake City,Austin
,,,,,,,,,,,,,,,,,,,,,,,,Tampa Bay,37,San Antonio,Louisville,Raleigh,Sacramento,Sacramento,Sacramento,Tampa Bay
,,,,,,,,,,,,,,,,,,,,,,,,Seattle,38,Providence,Jacksonville,Seattle,Raleigh,Raleigh,Raleigh,Seattle
,,,,,,,,,,,,,,,,,,,,,,,,Sacramento,39,Austin,Sacramento,Austin,Austin,Austin,Austin,Sacramento
,,,,,,,,,,,,,,,,,,,,,,,,Indianapolis,40,Chicago,Boston,Hampton Roads,Hampton Roads,Hampton Roads,Hampton Roads,Indianapolis
,,,,,,,,,,,,,,,,,,,,,,,,Memphis,41,Louisville,Chicago,Providence,Providence,Providence,Providence,Memphis
,,,,,,,,,,,,,,,,,,,,,,,,Oklahoma City,42,St. Louis,Providence,Hartford,Hartford,Hartford,Hartford,Oklahoma City
,,,,,,,,,,,,,,,,,,,,,,,,Hartford,43,Houston,Detroit,Louisville,Louisville,Louisville,Louisville,Hartford
,,,,,,,,,,,,,,,,,,,,,,,,Providence,44,Sacramento,St. Louis,Memphis,Memphis,Memphis,Memphis,Providence
,,,,,,,,,,,,,,,,,,,,,,,,Rochester,45,Jacksonville,San Diego,Jacksonville,Jacksonville,Jacksonville,Jacksonville,Rochester
,,,,,,,,,,,,,,,,,,,,,,,,Buffalo,46,Dallas-Fort Worth,Tampa Bay,Grand Rapids,Grand Rapids,Grand Rapids,Grand Rapids,Buffalo
,,,,,,,,,,,,,,,,,,,,,,,,Hampton Roads,47,Charlotte,Hampton Roads,Oklahoma City,Oklahoma City,Oklahoma City,Oklahoma City,Hampton Roads
,,,,,,,,,,,,,,,,,,,,,,,,New Orleans,48,Tampa Bay,Honolulu,Buffalo,Buffalo,Buffalo,Buffalo,New Orleans
,,,,,,,,,,,,,,,,,,,,,,,,Louisville,49,Seattle,Indianapolis,New Orleans,New Orleans,New Orleans,New Orleans,Louisville
,,,,,,,,,,,,,,,,,,,,,,,,Jacksonville,50,Indianapolis,Atlanta,Rochester,Rochester,Rochester,Rochester,Jacksonville
