,2010 Rank,,,,,,,,1990 Rank,,,,,,,,Difference in Rank,,,,,,,,Rank of Gain in Rank,,,,,
Virginia Beach,36,35,39,39,39,39,,Virginia Beach,47,46,29,29,29,29,,Virginia Beach,-11,-11,10,10,10,10,,Virginia Beach,35,37,6,2,2,2
Hartford,40,36,41,41,41,41,,Hartford,2,15,35,35,35,35,,Hartford,38,21,6,6,6,6,,Hartford,3,8,14,9,8,8
Honolulu,24,42,50,50,50,50,,Honolulu,5,32,47,47,47,47,,Honolulu,19,10,3,3,3,3,,Honolulu,10,15,16,13,11,11
Houston,27,21,11,7,8,8,,Houston,37,34,14,10,10,10,,Houston,-10,-13,-3,-3,-2,-2,,Houston,33,39,34,38,35,35
Indianapolis,41,38,27,31,31,31,,Indianapolis,30,22,32,32,32,32,,Indianapolis,11,16,-5,-1,-1,-1,,Indianapolis,15,13,37,30,29,30
Riverside,4,4,14,21,21,21,,Riverside,26,20,26,27,27,27,,Riverside,-22,-16,-12,-6,-6,-6,,Riverside,45,43,44,46,47,47
Jacksonville,9,7,19,27,27,27,,Jacksonville,51,51,46,46,46,46,,Jacksonville,-42,-44,-27,-19,-19,-19,,Jacksonville,51,51,51,51,51,51
Kansas City,13,14,15,23,23,23,,Kansas City,48,48,27,26,26,26,,Kansas City,-35,-34,-12,-3,-3,-3,,Kansas City,49,49,44,38,42,42
Las Vegas,11,10,29,33,33,33,,Las Vegas,34,43,50,50,50,50,,Las Vegas,-23,-33,-21,-17,-17,-17,,Las Vegas,46,48,50,50,50,50
Los Angeles,3,2,1,1,1,2,,Los Angeles,19,12,6,4,2,2,,Los Angeles,-16,-10,-5,-3,-1,0,,Los Angeles,40,35,37,38,29,22
Louisville,32,30,43,43,43,43,,Louisville,38,31,45,45,45,45,,Louisville,-6,-1,-2,-2,-2,-2,,Louisville,28,28,31,36,35,35
Memphis,42,39,44,44,44,44,,Memphis,36,33,44,44,44,44,,Memphis,6,6,0,0,0,0,,Memphis,20,20,24,23,23,22
Milwaukee,12,9,28,32,32,32,,Milwaukee,22,14,25,25,25,25,,Milwaukee,-10,-5,3,7,7,7,,Milwaukee,33,32,16,6,5,5
Minneapolis,7,6,4,10,12,12,,Minneapolis,42,41,20,14,14,14,,Minneapolis,-35,-35,-16,-4,-2,-2,,Minneapolis,49,50,49,43,35,35
Nashville,35,33,34,36,36,36,,Nashville,49,49,40,40,40,40,,Nashville,-14,-16,-6,-4,-4,-4,,Nashville,39,43,41,43,45,45
New Orleans,6,19,47,47,47,47,,New Orleans,23,21,39,39,39,39,,New Orleans,-17,-2,8,8,8,8,,New Orleans,42,29,9,3,3,3
New York,5,5,3,2,2,1,,New York,10,4,2,1,1,1,,New York,-5,1,1,1,1,0,,New York,27,25,21,16,18,22
Oklahoma City,37,37,46,46,46,46,,Oklahoma City,50,50,43,43,43,43,,Oklahoma City,-13,-13,3,3,3,3,,Oklahoma City,36,39,16,13,11,11
Orlando,26,24,21,29,29,29,,Orlando,46,45,36,36,36,36,,Orlando,-20,-21,-15,-7,-7,-7,,Orlando,44,45,48,48,48,48
Philadelphia,38,34,22,11,6,6,,Philadelphia,9,3,1,3,4,4,,Philadelphia,29,31,21,8,2,2,,Philadelphia,5,2,2,3,14,14
Phoenix,22,26,13,13,14,14,,Phoenix,40,36,21,19,19,19,,Phoenix,-18,-10,-8,-6,-5,-5,,Phoenix,43,35,42,46,46,46
Pittsburgh,49,49,31,20,20,20,,Pittsburgh,43,39,18,21,21,21,,Pittsburgh,6,10,13,-1,-1,-1,,Pittsburgh,20,15,5,30,29,30
Portland,39,40,24,25,25,25,,Portland,29,23,28,28,28,28,,Portland,10,17,-4,-3,-3,-3,,Portland,16,12,36,38,42,42
Providence,45,43,40,40,40,40,,Providence,12,17,37,37,37,37,,Providence,33,26,3,3,3,3,,Providence,4,4,16,13,11,11
Raleigh,48,45,49,49,49,49,,Raleigh,6,40,49,49,49,49,,Raleigh,42,5,0,0,0,0,,Raleigh,1,21,24,23,23,22
Rochester,21,25,48,48,48,48,,Rochester,3,25,41,41,41,41,,Rochester,18,0,7,7,7,7,,Rochester,11,26,11,6,5,5
Sacramento,19,20,38,38,38,38,,Sacramento,27,24,30,30,30,30,,Sacramento,-8,-4,8,8,8,8,,Sacramento,29,31,9,3,3,3
Salt Lake City,8,11,42,42,42,42,,Salt Lake City,17,26,42,42,42,42,,Salt Lake City,-9,-15,0,0,0,0,,Salt Lake City,31,41,24,23,23,22
San Antonio,28,22,32,35,35,35,,San Antonio,41,37,34,34,34,34,,San Antonio,-13,-15,-2,1,1,1,,San Antonio,36,41,31,16,18,18
San Diego,10,8,8,17,17,17,,San Diego,35,35,17,16,16,16,,San Diego,-25,-27,-9,1,1,1,,San Diego,47,46,43,16,18,18
San Francisco,1,1,2,9,11,11,,San Francisco,31,30,15,9,9,9,,San Francisco,-30,-29,-13,0,2,2,,San Francisco,48,47,46,23,14,14
San Jose,2,3,20,28,28,28,,San Jose,15,9,19,22,22,22,,San Jose,-13,-6,1,6,6,6,,San Jose,36,33,21,9,8,8
Seattle,43,48,33,14,15,15,,Seattle,28,28,13,13,13,13,,Seattle,15,20,20,1,2,2,,Seattle,13,9,3,16,14,14
Miami,29,23,12,8,10,10,,Miami,1,1,5,12,12,12,,Miami,28,22,7,-4,-2,-2,,Miami,6,7,11,43,35,35
St. Louis,50,50,36,16,16,16,,St. Louis,32,27,11,18,18,18,,St. Louis,18,23,25,-2,-2,-2,,St. Louis,11,6,1,36,35,35
Tampa Bay,46,46,25,22,22,22,,Tampa Bay,45,44,23,23,23,23,,Tampa Bay,1,2,2,-1,-1,-1,,Tampa Bay,24,24,20,30,29,30
Washington,16,15,6,4,7,7,,Washington,25,18,8,5,5,5,,Washington,-9,-3,-2,-1,2,2,,Washington,31,30,31,30,14,14
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
