1,Network Speed (congested) [km/h],Network Speed (freeflow) [km/h],60 Minute Distance,Circuity [ ],Average Airline Speed [km/h],Airline Radius [km],Area covered in $A$1$ hrs [km2],Urbanized area density [people/km2],Area [km2],Population,Accessibility,"MinPA,P",.,Employment Density,Employment,Employment Accessibility,"Min EA, E"
Dallas-Fort Worth,53.894749999999995,63.393750000000004,63393.75000000001,1.2313593343456124,43.76849916733815,43.76849916733815,6018.290987843131,1219.7404531385341,3644.217906,4445000,7340752.976631337,4445000,.,729.7741432040481,2659456,4391993.149205865,2659456
Denver,54.78025,64.11825,64118.25,1.338527756308961,40.92574826468936,40.92574826468936,5261.906537384877,1687.4292750883483,1291.905997,2180000,8879095.133962004,2180000,.,885.413491892011,1143871,4658963.041275345,1143871
Detroit,57.557500000000005,65.1245,65124.5,1.1893966318471174,48.392183447345026,48.392183447345026,7356.992416658235,1239.6159677445094,3267.140877,4050000,9119845.274264814,4050000,.,521.8829135906893,1705065,3839488.6376702064,1705065
Grand Rapids,72.65,79.78,79780,1.2335421845251597,58.895432123357764,58.895432123357764,10897.154237283872,900.1654252005198,666.544152,600000,9809241.477480283,600000,.,799.6064452756611,532973,8713434.763295166,532973
Hampton Roads,63.393750000000004,72.08775000000001,72087.75000000001,1.3154823264242705,48.19049920063631,48.19049920063631,7295.7966874633275,1132.3576753929692,1364.40988,1545000,8261451.377155699,1545000,.,466.71825624716234,636795,3405081.5079067075,636795
Hartford,65.96974999999999,73.8185,73818.5,1.222907563059109,53.945001235397015,53.945001235397015,9142.233039556704,736.2670668721581,1215.591516,895000,6731125.104696149,895000,.,466.09078176554175,566576,4261110.544489749,566576
Honolulu,61.743500000000004,74.74425,74744.25,1.4453004287893763,42.720183824838465,42.720183824838465,5733.450908195277,1766.1211842313005,399.179856,705000,10125969.107713869,705000,.,894.7946511609545,357184,5130261.205347051,357184
Houston,58.40275000000001,69.59225,69592.25,1.2531681942574937,46.60407937866938,46.60407937866938,6823.351422642426,1137.2032495246315,3354.721332,3815000,7759537.410477484,3815000,.,675.4802488017804,2266048,4609039.116628488,2266048
Indianapolis,54.53875,64.44025,64440.25000000001,1.1942370623952343,45.668277863202285,45.668277863202285,6552.079258343992,747.1766498777703,1432.0576,1070000,4895560.629983089,1070000,.,555.537710215008,795562,3639927.108327669,795562
Inland Empire2,60.173750000000005,67.82125,67821.25,1.3458390291766396,44.71095628487846,44.71095628487846,6280.262406785755,1786.307024434233,1136.422783,2030000,11218476.852531636,2030000,.,966.10699505837,1097906,6067405.441997833,1097906
Jacksonville,66.33200000000001,74.18075,74180.75,1.291552719838574,51.35833712486052,51.35833712486052,8286.512316201963,978.150007077997,1063.231603,1040000,8105452.080744859,1040000,.,508.1602150232549,540292,4210875.88039404,540292
Kansas City,63.43400000000001,69.552,69552,1.2416589206724986,51.08810394213842,51.08810394213842,8199.539121118407,1007.5137082249074,1513.627048,1525000,8261148.065653204,1525000,.,613.5044965184845,928617,5030454.120185365,928617
Las Vegas,59.52975000000001,69.83375000000001,69833.75000000001,1.3134289998384046,45.32391930384067,45.32391930384067,6453.64077656998,1897.3714766274206,740.498114,1405000,12244953.929863516,1405000,.,1137.2034365505488,842097,7339102.469378133,842097
Los Angeles2,52.92875,66.0905,66090.5,1.234819235892737,42.86356129019493,42.86356129019493,5772.000701911776,2963.010761402072,4319.930311,12800000,17102500.194584906,12800000,.,1240.2952395682755,5357989,7158984.99336592,5357989
Louisville,63.47425000000001,71.28275000000001,71282.75,1.3030928137601026,48.71045970765788,48.71045970765788,7454.084802007597,902.8520008323723,1013.455139,915000,6729935.377866737,915000,.,548.676481673058,556059,4089881.0232581417,556059
Memphis,67.41875,75.14675000000001,75146.75000000001,1.2434385553193854,54.2196071624006,54.2196071624006,9235.5466432093,999.4953890602725,1035.522536,1035000,9230886.285338772,1035000,.,536.1216011237055,555166,4951376.053610034,555166
Milwaukee,65.688,72.49025,72490.25,1.1641474476052645,56.42584204872413,56.42584204872413,10002.440354834624,1161.3700459353722,1261.441179,1465000,11616534.614360107,1465000,.,630.2925679263876,795077,6304463.816779243,795077
Minneapolis-St.Paul,55.74625,65.688,65688,1.2240781563469771,45.54141392929013,45.54141392929013,6515.7271976196525,1090.234471481703,2316.01556,2525000,7103670.397615819,2525000,.,725.8496138946493,1681079,4729438.070635091,1681079
Nashville,67.57975,75.87125,75871.25,1.2671990831726268,53.330018066935274,53.330018066935274,8934.974848307029,891.8261097660705,1115.688349,995000,7968443.859823344,995000,.,651.3440788830895,726697,5819742.962414115,726697
New Orleans,56.14875000000001,67.137,67137,1.3385224152730324,41.94830759598954,41.94830759598954,5528.136531555083,2146.791112478396,512.392656,1100000,11867754.374509597,1100000,.,898.5706461803777,460421,4967421.215332802,460421
New York,55.142500000000005,67.66025,67660.25,1.208396652771828,45.632781151382524,45.632781151382524,6541.897710357737,2098.879805390713,8683.203275,18225000,13730656.993201599,13730656.993201599,.,941.2058823418481,8172682,6157272.60666737,6157272.60666737
Oklahoma City,69.02875,75.95175000000002,75951.75000000001,1.2344875734787604,55.916925761738064,55.916925761738064,9822.825876160134,1048.044711192385,834.888045,875000,10294760.708473332,875000,.,575.9766269021136,480876,5657718.114797512,480876
Orlando,58.16125,69.069,69069,1.3109961293844155,44.36416606913241,44.36416606913241,6183.21741308764,1197.00744220421,1173.760455,1405000,7401357.260232569,1405000,.,800.1002214715096,939126,4947193.621617915,939126
Philadelphia,59.77125,68.06275000000001,68062.75000000001,1.1653283208068956,51.29133904392991,51.29133904392991,8264.906542677583,1139.3097942572194,4660.716538,5310000,9416288.972693143,5310000,.,550.5520404596638,2565967,4550261.161279568,2565967
Phoenix,63.75600000000001,70.47775000000001,70477.75000000001,1.2712116017778166,50.15372728728709,50.15372728728709,7902.3507279795485,1655.0541671588298,2069.418674,3425000,13078818.502693165,3425000,.,794.5956130866538,1644351,6279173.221524674,1644351
Pittsburgh,68.46525000000001,76.83725000000001,76837.25000000001,1.2535936164248203,54.61518717306421,54.61518717306421,9370.801220501744,822.1238464348299,2207.696575,1815000,7703959.143575093,1815000,.,483.8373226175794,1068166,4533943.373309109,1068166
Portland,60.938500000000005,71.44375000000001,71443.75000000001,1.4297790976947944,42.62091962195418,42.62091962195418,5706.837482176772,1466.3827908170226,1227.510314,1800000,8368408.273853566,1800000,.,771.7393403506668,947318,4404190.993983562,947318
Providence,61.542249999999996,68.06275000000001,68062.75000000001,1.2346713669311957,49.84504512562293,49.84504512562293,7805.376557298729,954.460898091342,1304.401262,1245000,7449926.718820452,1245000,.,487.5056614288985,635903,3805165.2612675354,635903
Raleigh,67.57974999999999,75.46875,75468.75,1.1953550018287182,56.53529695915679,56.53529695915679,10041.283481891443,1238.2323980039887,827.79291,1025000,12433442.524820283,1025000,.,839.8888074554782,695254,8433561.608928196,695254
Rochester,63.595000000000006,70.84,70840,1.2027779213679537,52.87343479640165,52.87343479640165,8782.636759058025,974.5649637496106,764.443652,745000,8559250.074717382,745000,.,596.126344705391,455705,5235561.148052462,455705
Sacramento,56.873250000000006,65.68800000000002,65688.00000000001,1.3967267442968094,40.71895253114322,40.71895253114322,5208.864591394294,1946.0452814625608,955.784543,1860000,10136686.359860275,1860000,.,727.9443940536712,695758,3791763.7786901426,695758
Salt Lake City,78.085,86.65825,86658.25,1.389992556329186,56.17655982720778,56.17655982720778,9914.256549976293,1631.618994212552,597.565978,975000,16176289.300437525,975000,.,1202.6186671557798,718644,11923069.99797295,718644
San Antonio,64.078,74.42224999999999,74422.24999999999,1.2757965860482567,50.22587511264611,50.22587511264611,7925.102676121607,1373.6608426756356,1055.573512,1450000,10886403.220372142,1450000,.,697.1252988394427,735867,5524789.571424543,735867
San Diego,60.49575000000001,69.67275000000001,69672.75000000001,1.3922798957924276,43.45085365580773,43.45085365580773,5931.25367877613,1455.9905696507528,2026.112024,2950000,8635849.42250438,2950000,.,586.5731933487602,1188463,3479114.4109212966,1188463
San Francisco1,53.25075000000001,64.11825,64118.25,1.3884703455577154,38.3520974505296,38.3520974505296,4620.916417297945,4044.244551759617,1107.747057,4480000,18688116.044793785,4480000,.,1773.25047950906,1964313,8194042.252744868,1964313
San Jose1,63.71575,74.382,74382,1.400679724544437,45.48916421327023,45.48916421327023,6500.784771815353,2530.861251594073,673.683711,1705000,16452584.283940297,1705000,.,1384.3499327238446,932614,8999360.961514778,932614
Seattle,52.92875,63.23275000000001,63232.75000000001,1.405297756277678,37.66372625556346,37.66372625556346,4456.525973670049,1255.1211285274092,2469.881137,3100000,5593479.909384463,3100000,.,637.5553772246167,1574686,2841282.09825451,1574686
South Florida,60.37500000000001,66.815,66815,1.2361288587570294,48.84199537312734,48.84199537312734,7494.396547429859,1874.9988406660766,2890.668454,5420000,14051984.837922834,5420000,.,693.0583814369187,2003402,5194054.34100817,2003402
St. Louis,59.77125,67.5395,67539.5,1.313394987102012,45.50896766545793,45.50896766545793,6506.446164163029,1031.684545690754,2146.974101,2215000,6712599.954935883,2215000,.,587.9684339983569,1262353,3825584.962037552,1262353
Tampa Bay,61.099500000000006,68.38475,68384.75,1.264854950694025,48.305538881335565,48.305538881335565,7330.671109815649,1116.5255971867098,2077.87444,2320000,8184881.9386662785,2320000,.,483.813160529565,1005303,3546675.158442683,1005303
Washington2,57.07450000000001,69.18974999999999,69189.74999999999,1.271908405391577,44.87312117607142,44.87312117607142,6325.901555315651,1445.2558415588917,2996.00934,4330000,9142546.175946424,4330000,.,824.5034376294701,2470220,5215727.578463366,2470220
