1.5,Network Speed (congested) [km/h],Network Speed (freeflow) [km/h],90 Minute Distance,Circuity [ ],Average Airline Speed [km/h],Airline Radius [km],Area covered in $A$1$ hrs [km2],Urbanized area density [people/km2],Area [km2],Population,Accessibility,"MinPA,P",.,Employment Density,Employment,Employment Accessibility,"Min EA, E"
Kansas City,63.43400000000001,69.552,104328,1.2226839970421781,51.88094401616002,77.82141602424004,19026.027952273645,1007.5137082249074,1513.627048,1525000,19168983.97498596,1525000,.,613.5044965184845,928617,11672553.699606257,928617
Las Vegas,59.52975000000001,69.83375000000001,104750.62500000001,1.3159071047354585,45.23856569037029,67.85784853555543,14466.052760974118,1897.3714766274206,740.498114,1405000,27447475.88805964,1405000,.,1137.2034365505488,842097,16450844.913101321,842097
Los Angeles2,52.92875,66.0905,99135.75,1.2534168829186265,42.22757066807134,63.341356002107005,12604.469902857723,2963.010761402072,4319.930311,12800000,37347179.963935964,12800000,.,1240.2952395682755,5357989,15633264.017796038,5357989
Louisville,63.47425000000001,71.28275000000001,106924.125,1.3216362304730513,48.027020246925865,72.0405303703888,16304.356984534,902.8520008323723,1013.455139,915000,14720421.325771786,915000,.,548.676481673058,556059,8945817.226215664,556059
Memphis,67.41875,75.14675000000001,112720.12500000003,1.2355569211642343,54.56547476297005,81.84821214445508,21045.93706327951,999.4953890602725,1035.522536,1035000,21035317.05320056,1035000,.,536.1216011237055,555166,11283181.47551415,555166
Milwaukee,65.688,72.49025,108735.375,1.1642077478462736,56.42291946735412,84.63437920103118,22503.15951106862,1161.3700459353722,1261.441179,1465000,26134495.395060774,1465000,.,630.2925679263876,795077,14183574.194688555,795077
Minneapolis-St.Paul,55.74625,65.688,98532.00000000001,1.2049005979112202,46.26626469987652,69.39939704981478,15130.778275912375,1090.234471481703,2316.01556,2525000,16496096.05674616,2525000,.,725.8496138946493,1681079,10982669.569496546,1681079
Nashville,67.57975,75.87125,113806.875,1.2404771540001511,54.478834843573246,81.71825226535987,20979.15598339041,891.8261097660705,1115.688349,995000,18709759.066842653,995000,.,651.3440788830895,726697,13664649.029746084,726697
New Orleans,56.14875000000001,67.137,100705.5,1.3966039300244457,40.20377488055414,60.30566232083122,11425.259050403058,2146.791112478396,512.392656,1100000,24527644.58716864,1100000,.,898.5706461803777,460421,10266402.407698885,460421
New York,55.142500000000005,67.66025,101490.375,1.2044434075797017,45.78255786281188,68.67383679421782,14816.052107523336,2098.879805390713,8683.203275,18225000,31097112.56409724,18225000,.,941.2058823418481,8172682,13944955.3966843,8172682
Oklahoma City,69.02875,75.95175000000002,113927.62500000003,1.2192662129771015,56.61499454778741,84.92249182168112,22656.630944347795,1048.044711192385,834.888045,875000,23745162.234661438,875000,.,575.9766269021136,480876,13049689.868291492,480876
Orlando,58.16125,69.069,103603.5,1.287340449469058,45.17938516107968,67.76907774161953,14428.228896723294,1197.00744220421,1173.760455,1405000,17270697.367203623,1405000,.,800.1002214715096,939126,11544029.135709943,939126
Philadelphia,59.77125,68.06275000000001,102094.12500000001,1.1493697375302219,52.00350074331791,78.00525111497686,19116.023301887806,1139.3097942572194,4660.716538,5310000,21779072.57509001,5310000,.,550.5520404596638,2565967,10524365.63432881,2565967
Phoenix,63.75600000000001,70.47775000000001,105716.62500000003,1.2523532277965723,50.90895969675761,76.36343954513642,18319.804543540613,1655.0541671588298,2069.418674,3425000,30320268.851322155,3425000,.,794.5956130866538,1644351,14556836.322902318,1644351
Pittsburgh,68.46525000000001,76.83725000000001,115255.87500000001,1.2344561116309156,55.461874549388696,83.19281182408304,21743.10079455437,822.1238464348299,2207.696575,1815000,17875521.65863925,1815000,.,483.8373226175794,1068166,10520123.67384135,1068166
Portland,60.938500000000005,71.44375000000001,107165.625,1.4320189723752634,42.55425464016195,63.83138196024292,12800.247494046915,1466.3827908170226,1227.510314,1800000,18770062.643469114,1800000,.,771.7393403506668,947318,9878454.557381041,947318
Providence,61.542249999999996,68.06275000000001,102094.12500000001,1.2398242295003903,49.63788296410336,74.45682444615504,17416.420121505667,954.460898091342,1304.401262,1245000,16623291.990708418,1245000,.,487.5056614288985,635903,8490603.411058197,635903
Raleigh,67.57974999999999,75.46875,113203.125,1.1881349038874762,56.878852543498894,85.31827881524833,22868.308575855765,1238.2323980039887,827.79291,1025000,28316280.566177063,1025000,.,839.8888074554782,695254,19206836.41829938,695254
Rochester,63.595000000000006,70.84,106260,1.1976784755170091,53.09855800201099,79.64783700301649,19929.56616998133,974.5649637496106,764.443652,745000,19422656.93199332,745000,.,596.126344705391,455705,11880539.43247519,455705
Sacramento,56.873250000000006,65.68800000000002,98532.00000000003,1.3982014018055617,40.67600699481274,61.01401049221911,11695.236742333374,1946.0452814625608,955.784543,1860000,22759460.278005432,1860000,.,727.9443940536712,695758,8513482.0237121,695758
Salt Lake City,78.085,86.65825,129987.37499999999,1.3874547008609153,56.27931488613522,84.41897232920283,22388.757617801002,1631.618994212552,597.565978,975000,36529922.18602508,975000,.,1202.6186671557798,718644,26925137.845593654,718644
San Antonio,64.078,74.42224999999999,111633.37499999999,1.2491587964112882,51.29692092317635,76.94538138476453,18600.087441294065,1373.6608426756356,1055.573512,1450000,25550211.788448513,1450000,.,697.1252988394427,735867,12966591.51595189,735867
San Diego,60.49575000000001,69.67275000000001,104509.12500000001,1.387483914467795,43.601046015156655,65.40156902273498,13437.739185285109,1455.9905696507528,2026.112024,2950000,19565221.531201508,2950000,.,586.5731933487602,1188463,7882217.585300454,1188463
San Francisco1,53.25075000000001,64.11825,96177.37500000001,1.3798353964556946,38.59210318620772,57.888154779311584,10527.59781962493,4044.244551759617,1107.747057,4480000,42576180.12513455,4480000,.,1773.25047950906,1964313,18668067.88172844,1964313
San Jose1,63.71575,74.382,111573.00000000001,1.353868833118102,47.0619815165225,70.59297227478375,15655.711465119286,2530.861251594073,673.683711,1705000,39622433.51320747,1705000,.,1384.3499327238446,932614,21672983.11348181,932614
Seattle,52.92875,63.23275000000001,94849.12500000001,1.3877189496448212,38.14082816520364,57.21124224780546,10282.829348401676,1255.1211285274092,2469.881137,3100000,12906196.376220675,3100000,.,637.5553772246167,1574686,6555873.14415659,1574686
South Florida,60.37500000000001,66.815,100222.5,1.2208577984067597,49.45293389515996,74.17940084273994,17286.875928857327,1874.9988406660766,2890.668454,5420000,32412872.325345796,5420000,.,693.0583814369187,2003402,11980814.25135469,2003402
St. Louis,59.77125,67.5395,101309.25,1.286841212715055,46.44803835112727,69.6720575266909,15249.905236055836,1031.684545690754,2146.974101,2215000,15733091.555287316,2215000,.,587.9684339983569,1262353,8966462.900267093,1262353
Tampa Bay,61.099500000000006,68.38475,102577.125,1.2582428496249867,48.55938582779185,72.83907874168777,16667.818444301796,1116.5255971867098,2077.87444,2320000,18610045.94232372,2320000,.,483.813160529565,1005303,8064109.9206706295,1005303
Washington2,57.07450000000001,69.18974999999999,103784.62499999997,1.2618164588235785,45.232014213233455,67.84802131985018,14461.86309890761,1445.2558415588917,2996.00934,4330000,20901092.123521198,4330000,.,824.5034376294701,2470220,11923855.839576107,2470220
