Area,MinA_E(10),MinA_E(20),MinA_E(30),MinA_E(40),MinA_E(50),MinA_E(60),MinA_E(70),MinA_E(80),MinA_E(90),,,MinA_E(10),MinA_E(20-10),MinA_E(30-20),MinA_E(40-30),MinA_E(50-40),MinA_E(60-50),MinA_E(70-60),MinA_E(80-70),MinA_E(90-80),,SUM,,Weighted Employment Accessibility,Rank,Area,10,20,30,40,50,60,Area
Detroit,86090.78058302615,376308.73609254614,881386.2045060091,1500978,1500978,1500978,1500978,1500978,1500978,,,86090.78058302615,290217.95550952,505077.468413463,619591.7954939909,0,0,0,0,0,,1500978.0000000002,,168352.59727462954,19,Detroit,33,31,17,12,13,13,Detroit
Grand Rapids,100659.20317123037,318367,318367,318367,318367,318367,318367,318367,318367,,,100659.20317123037,217707.7968287696,0,0,0,0,0,0,0,,318367,,89183.54160981035,51,Grand Rapids,23,47,51,51,51,51,Grand Rapids
Virginia Beach,82458.21931274296,362556.80311497266,593797,593797,593797,593797,593797,593797,593797,,,82458.21931274296,280098.5838022297,231240.19688502734,0,0,0,0,0,0,,593797,,114579.4324113003,41,Virginia Beach,36,35,39,39,39,39,Virginia Beach
Hartford,79707.74672576852,348096.11481386767,529323,529323,529323,529323,529323,529323,529323,,,79707.74672576852,268388.3680880992,181226.88518613233,0,0,0,0,0,0,,529323,,106442.20836076382,46,Hartford,40,36,41,41,41,41,Hartford
Honolulu,99156.22620175069,335934,335934,335934,335934,335934,335934,335934,335934,,,99156.22620175069,236777.7737982493,0,0,0,0,0,0,0,,335934,,92358.37247339822,49,Honolulu,24,42,50,50,50,50,Honolulu
Houston,98662.44890309745,437845.21990138304,1035578.6749075924,1908704.5896026618,2176567,2176567,2176567,2176567,2176567,,,98662.44890309745,339182.7709982856,597733.4550062093,873125.9146950694,267862.4103973382,0,0,0,0,,2176567,,207533.47985630354,10,Houston,27,21,11,7,8,8,Houston
Indianapolis,78645.09266656783,344407.9546937024,742919,742919,742919,742919,742919,742919,742919,,,78645.09266656783,265762.8620271346,398511.0453062976,0,0,0,0,0,0,,742919,,125146.22086975598,37,Indianapolis,41,38,27,31,31,31,Indianapolis
Riverside,163148.04251446438,659560.9270296787,957326,957326,957326,957326,957326,957326,957326,,,163148.04251446438,496412.88451521436,297765.0729703213,0,0,0,0,0,0,,957326,,200543.81179302157,11,Riverside,4,4,14,21,21,21,Riverside
Jacksonville,134775.98201775912,561077.2502842848,860640,860640,860640,860640,860640,860640,860640,,,134775.98201775912,426301.2682665257,299562.7497157152,0,0,0,0,0,0,,860640,,173803.21360359623,17,Jacksonville,9,7,19,27,27,27,Jacksonville
Kansas City,116870.79447588885,503402.2849127784,928617,928617,928617,928617,928617,928617,928617,,,116870.79447588885,386531.4904368896,425214.7150872216,0,0,0,0,0,0,,928617,,169127.4036931537,18,Kansas City,13,14,15,23,23,23,Kansas City
Las Vegas,130713.55913083299,527874.721026566,731876,731876,731876,731876,731876,731876,731876,,,130713.55913083299,397161.161895733,204001.278973434,0,0,0,0,0,0,,731876,,157425.42228668486,22,Las Vegas,11,10,29,33,33,33,Las Vegas
Los Angeles,237203.0038730845,1052716.3179601796,2458111.2110561877,4467004.2655740185,4852354,4852354,4852354,4852354,4852354,,,237203.0038730845,815513.3140870952,1405394.893096008,2008893.0545178307,385349.7344259815,0,0,0,0,,4852354.000000001,,487670.8618139101,1,Los Angeles,3,2,1,1,1,2,Los Angeles
Louisville,88446.23797840974,387514.6083124779,515000,515000,515000,515000,515000,515000,515000,,,88446.23797840974,299068.37033406814,127485.39168752212,0,0,0,0,0,0,,515000,,111687.53291187965,42,Louisville,32,30,43,43,43,43,Louisville
Memphis,78516.475043575,342608.440547871,509166,509166,509166,509166,509166,509166,509166,,,78516.475043575,264091.965504296,166557.559452129,0,0,0,0,0,0,,509166,,103708.73556152402,47,Memphis,42,39,44,44,44,44,Memphis
Milwaukee,127253.68181943308,552164.50384285,737279,737279,737279,737279,737279,737279,737279,,,127253.68181943308,424910.82202341687,185114.49615715002,0,0,0,0,0,0,,737279,,159759.98867238045,20,Milwaukee,12,9,28,32,32,32,Milwaukee
Minneapolis,145051.71280497365,639313.7113283693,1514330.304729677,1572381,1572381,1572381,1572381,1572381,1572381,,,145051.71280497365,494261.9985233957,875016.5934013077,58050.69527032296,0,0,0,0,0,,1572381,,246711.7010663762,5,Minneapolis,7,6,4,10,12,12,Minneapolis
Nashville,84487.13895333449,373577.80931835924,652935,652935,652935,652935,652935,652935,652935,,,84487.13895333449,289090.67036502477,279357.19068164076,0,0,0,0,0,0,,652935.0000000001,,121671.63093388735,39,Nashville,35,33,34,36,36,36,Nashville
New Orleans,146521.0037659615,446087,446087,446087,446087,446087,446087,446087,446087,,,146521.0037659615,299565.9962340385,0,0,0,0,0,0,0,,446087,,126317.46239282741,35,New Orleans,6,19,47,47,47,47,New Orleans
New York,150849.22922843814,654932.235396086,1537458.2694166068,2795654.7587670665,4432204.439419891,6438456.158940855,7273295,7273295,7273295,,,150849.22922843814,504083.0061676479,882526.0340205207,1258196.4893504598,1636549.6806528242,2006251.7195209647,834838.8410591446,0,0,,7273294.999999999,,350473.86650944635,3,New York,5,5,3,2,2,1,New York
Oklahoma City,82314.26445375066,344820.74432929925,452754,452754,452754,452754,452754,452754,452754,,,82314.26445375066,262506.4798755486,107933.25567070075,0,0,0,0,0,0,,452754,,99776.811463291,48,Oklahoma City,37,37,46,46,46,46,Oklahoma City
Orlando,98773.85171239886,418125.9880553757,855864,855864,855864,855864,855864,855864,855864,,,98773.85171239886,319352.1363429768,437738.0119446243,0,0,0,0,0,0,,855863.9999999999,,148568.7333341944,24,Orlando,26,24,21,29,29,29,Orlando
Philadelphia,81951.00085473937,366181.14658488357,851638.0414829758,1554465.5251636715,2421591,2421591,2421591,2421591,2421591,,,81951.00085473937,284230.1457301442,485456.89489809226,702827.4836806956,867125.4748363285,0,0,0,0,,2421591.0000000005,,182778.44528956627,14,Philadelphia,38,34,22,11,6,6,Philadelphia
Phoenix,101446.25434415594,412770.37485737307,968631.0303996082,1453359,1453359,1453359,1453359,1453359,1453359,,,101446.25434415594,311324.1205132171,555860.6555422351,484727.9696003918,0,0,0,0,0,,1453359,,178623.11763317196,15,Phoenix,22,26,13,13,14,14,Phoenix
Pittsburgh,68890.85308394146,305791.7994635096,725251.1505756844,1030938,1030938,1030938,1030938,1030938,1030938,,,68890.85308394146,236900.94637956814,419459.3511121748,305686.8494243156,0,0,0,0,0,,1030938.0000000001,,129297.0953677721,34,Pittsburgh,49,49,31,20,20,20,Pittsburgh
Portland,81313.05951025359,342382.3153428662,789545.4122648337,870794,870794,870794,870794,870794,870794,,,81313.05951025359,261069.25583261257,447163.0969219675,81248.58773516631,0,0,0,0,0,,870794,,133122.8789525357,31,Portland,39,40,24,25,25,25,Portland
Providence,76318.44924304809,335624.01236288453,590501,590501,590501,590501,590501,590501,590501,,,76318.44924304809,259305.56311983644,254876.98763711547,0,0,0,0,0,0,,590501,,109766.89869095988,44,Providence,45,43,40,40,40,40,Providence
Raleigh,72549.95827723222,325464.49812585657,410617,410617,410617,410617,410617,410617,410617,,,72549.95827723222,252914.53984862435,85152.50187414343,0,0,0,0,0,0,,410617,,91386.22323260932,50,Raleigh,48,45,49,49,49,49,Raleigh
Rochester,103745.16463286408,415085,415085,415085,415085,415085,415085,415085,415085,,,103745.16463286408,311339.83536713594,0,0,0,0,0,0,0,,415085,,109474.13603030943,45,Rochester,21,25,48,48,48,48,Rochester
Sacramento,105441.47642108904,441574.39415498247,621068,621068,621068,621068,621068,621068,621068,,,105441.47642108904,336132.91773389344,179493.60584501753,0,0,0,0,0,0,,621068,,131525.26759993195,32,Sacramento,19,20,38,38,38,38,Sacramento
Salt Lake City,136059.7416482447,526157,526157,526157,526157,526157,526157,526157,526157,,,136059.7416482447,390097.2583517553,0,0,0,0,0,0,0,,526157,,139894.8609133435,27,Salt Lake City,8,11,42,42,42,42,Salt Lake City
San Antonio,97780.03076119898,425275.0294017683,718175,718175,718175,718175,718175,718175,718175,,,97780.03076119898,327494.9986405693,292899.9705982317,0,0,0,0,0,0,,718174.9999999999,,136626.78567067563,29,San Antonio,28,22,32,35,35,35,San Antonio
San Diego,132348.40758081837,552996.3270954363,1101324,1101324,1101324,1101324,1101324,1101324,1101324,,,132348.40758081837,420647.9195146179,548327.6729045637,0,0,0,0,0,0,,1101324,,194138.48735039882,13,San Diego,10,8,8,17,17,17,San Diego
San Francisco,283549.01608170767,1161558.055736503,1767793,1767793,1767793,1767793,1767793,1767793,1767793,,,283549.01608170767,878009.0396547954,606234.9442634969,0,0,0,0,0,0,,1767793,,359670.14690269105,2,San Francisco,1,1,2,9,11,11,San Francisco
San Jose,237928.87404721085,857032,857032,857032,857032,857032,857032,857032,857032,,,237928.87404721085,619103.1259527891,0,0,0,0,0,0,0,,857032,,231903.0999186848,6,San Jose,2,3,20,28,28,28,San Jose
Seattle,77482.81458418448,307265.5526695552,716340.7674351037,1302873.2906042153,1435764,1435764,1435764,1435764,1435764,,,77482.81458418448,229782.73808537069,409075.2147655485,586532.5231691117,132890.70939578465,0,0,0,0,,1435764,,144660.41034799605,25,Seattle,43,48,33,14,15,15,Seattle
Miami,97777.72217404339,424736.92995978135,986066.2121998616,1791013.7473319578,1820909,1820909,1820909,1820909,1820909,,,97777.72217404339,326959.20778573793,561329.2822400803,804947.5351320961,29895.2526680422,0,0,0,0,,1820908.9999999998,,194227.91807396387,12,Miami,29,23,12,8,10,10,Miami
St. Louis,64088.55177592955,272799.5008285923,638031.2781802166,1169641,1169641,1169641,1169641,1169641,1169641,,,64088.55177592955,208710.94905266273,365231.7773516243,531609.7218197834,0,0,0,0,0,,1169641,,125737.51969763817,36,St. Louis,50,50,36,16,16,16,St. Louis
Tampa Bay,74681.65498400778,322791.9602180481,752040.4596576506,932231,932231,932231,932231,932231,932231,,,74681.65498400778,248110.3052340403,429248.4994396025,180190.54034234944,0,0,0,0,0,,932231,,129934.74625998696,33,Tampa Bay,46,46,25,22,22,22,Tampa Bay
Washington,108988.25484950817,481675.11236252356,1160713.212067951,2135912.4717155923,2370531,2370531,2370531,2370531,2370531,,,108988.25484950817,372686.8575130154,679038.0997054274,975199.2596476413,234618.5282844077,0,0,0,0,,2370531,,229865.1644795021,7,Washington,16,15,6,4,7,7,Washington
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WEIGHTED AVERAGE ACROSS CITIES,122131.53276028835,524030.1612125532,1097361.6034426326,1708090.453333667,2125494.1981406347,2367106.0802880656,2459544.5461067823,2459544.5461067823,2459544.5461067823,,,1,1,1,1,1,1,1,1,1,,,,0.8092510253174099,,,TIME COHORT,,,,,,
Beta,-0.08,,,,,,,,,,,,,,,,,,,,,,,,Weighted Average,Rank,10,20,30,40,50,60,Weighted Average
,,,,,,,,,,,,,,,,,,,,,,,,,Los Angeles,1,San Francisco,San Francisco,Los Angeles,Los Angeles,Los Angeles,New York,Los Angeles
"Source of Beta: Levinson, David and Ajay Kumar (1995) A Multi-modal Trip Distribution Model. Transportation Research Record #1466: 124-131.",,,,,,,,,,,,,,,,,,,,,,,,,San Francisco,2,San Jose,Los Angeles,San Francisco,New York,New York,Los Angeles,San Francisco
,,,,,,,,,,,,,,,,,,,,,,,,,New York,3,Los Angeles,San Jose,New York,Chicago,Chicago,Chicago,New York
,,,,,,,,,,,,,,,,,,,,,,,,,Chicago,4,Riverside,Riverside,Minneapolis,Washington,Boston,Boston,Chicago
,,,,,,,,,,,,,,,,,,,,,,,,,Minneapolis,5,New York,New York,Chicago,Dallas,Dallas,Dallas,Minneapolis
,,,,,,,,,,,,,,,,,,,,,,,,,San Jose,6,New Orleans,Minneapolis,Washington,Boston,Philadelphia,Philadelphia,San Jose
,,,,,,,,,,,,,,,,,,,,,,,,,Washington,7,Minneapolis,Jacksonville,Dallas,Houston,Washington,Washington,Washington
,,,,,,,,,,,,,,,,,,,,,,,,,Boston,8,Salt Lake City,San Diego,San Diego,Miami,Houston,Houston,Boston
,,,,,,,,,,,,,,,,,,,,,,,,,Dallas,9,Jacksonville,Milwaukee,Boston,San Francisco,Atlanta,Atlanta,Dallas
,,,,,,,,,,,,,,,,,,,,,,,,,Houston,10,San Diego,Las Vegas,Baltimore,Minneapolis,Miami,Miami,Houston
,,,,,,,,,,,,,,,,,,,,,,,,,Riverside,11,Las Vegas,Salt Lake City,Houston,Philadelphia,San Francisco,San Francisco,Riverside
,,,,,,,,,,,,,,,,,,,,,,,,,Miami,12,Milwaukee,Columbus,Miami,Detroit,Minneapolis,Minneapolis,Miami
,,,,,,,,,,,,,,,,,,,,,,,,,San Diego,13,Kansas City,Chicago,Phoenix,Phoenix,Detroit,Detroit,San Diego
,,,,,,,,,,,,,,,,,,,,,,,,,Philadelphia,14,Chicago,Kansas City,Riverside,Seattle,Phoenix,Phoenix,Philadelphia
,,,,,,,,,,,,,,,,,,,,,,,,,Phoenix,15,Columbus,Washington,Kansas City,Atlanta,Seattle,Seattle,Phoenix
,,,,,,,,,,,,,,,,,,,,,,,,,Baltimore,16,Washington,Baltimore,Denver,St. Louis,St. Louis,St. Louis,Baltimore
,,,,,,,,,,,,,,,,,,,,,,,,,Jacksonville,17,Dallas,Dallas,Detroit,San Diego,San Diego,San Diego,Jacksonville
,,,,,,,,,,,,,,,,,,,,,,,,,Kansas City,18,Baltimore,Boston,Cleveland,Baltimore,Baltimore,Baltimore,Kansas City
,,,,,,,,,,,,,,,,,,,,,,,,,Detroit,19,Sacramento,New Orleans,Jacksonville,Denver,Denver,Denver,Detroit
,,,,,,,,,,,,,,,,,,,,,,,,,Milwaukee,20,Boston,Sacramento,San Jose,Pittsburgh,Pittsburgh,Pittsburgh,Milwaukee
,,,,,,,,,,,,,,,,,,,,,,,,,Denver,21,Rochester,Houston,Orlando,Riverside,Riverside,Riverside,Denver
,,,,,,,,,,,,,,,,,,,,,,,,,Las Vegas,22,Phoenix,San Antonio,Philadelphia,Tampa Bay,Tampa Bay,Tampa Bay,Las Vegas
,,,,,,,,,,,,,,,,,,,,,,,,,Columbus,23,Grand Rapids,Miami,Cincinnati,Kansas City,Kansas City,Kansas City,Columbus
,,,,,,,,,,,,,,,,,,,,,,,,,Orlando,24,Honolulu,Orlando,Portland,Cincinnati,Cincinnati,Cincinnati,Orlando
,,,,,,,,,,,,,,,,,,,,,,,,,Seattle,25,Denver,Rochester,Tampa Bay,Portland,Portland,Portland,Seattle
,,,,,,,,,,,,,,,,,,,,,,,,,Cleveland,26,Orlando,Phoenix,Columbus,Cleveland,Cleveland,Cleveland,Cleveland
,,,,,,,,,,,,,,,,,,,,,,,,,Salt Lake City,27,Houston,Buffalo,Indianapolis,Jacksonville,Jacksonville,Jacksonville,Salt Lake City
,,,,,,,,,,,,,,,,,,,,,,,,,Atlanta,28,San Antonio,Denver,Milwaukee,San Jose,San Jose,San Jose,Atlanta
,,,,,,,,,,,,,,,,,,,,,,,,,San Antonio,29,Miami,Austin,Las Vegas,Orlando,Orlando,Orlando,San Antonio
,,,,,,,,,,,,,,,,,,,,,,,,,Cincinnati,30,Buffalo,Louisville,Charlotte,Columbus,Columbus,Columbus,Cincinnati
,,,,,,,,,,,,,,,,,,,,,,,,,Portland,31,Austin,Detroit,Pittsburgh,Indianapolis,Indianapolis,Indianapolis,Portland
,,,,,,,,,,,,,,,,,,,,,,,,,Sacramento,32,Louisville,Cleveland,San Antonio,Milwaukee,Milwaukee,Milwaukee,Sacramento
,,,,,,,,,,,,,,,,,,,,,,,,,Tampa Bay,33,Detroit,Nashville,Seattle,Las Vegas,Las Vegas,Las Vegas,Tampa Bay
,,,,,,,,,,,,,,,,,,,,,,,,,Pittsburgh,34,Cleveland,Philadelphia,Nashville,Charlotte,Charlotte,Charlotte,Pittsburgh
,,,,,,,,,,,,,,,,,,,,,,,,,New Orleans,35,Nashville,Virginia Beach,Austin,San Antonio,San Antonio,San Antonio,New Orleans
,,,,,,,,,,,,,,,,,,,,,,,,,St. Louis,36,Virginia Beach,Hartford,St. Louis,Nashville,Nashville,Nashville,St. Louis
,,,,,,,,,,,,,,,,,,,,,,,,,Indianapolis,37,Oklahoma City,Oklahoma City,Atlanta,Austin,Austin,Austin,Indianapolis
,,,,,,,,,,,,,,,,,,,,,,,,,Austin,38,Philadelphia,Indianapolis,Sacramento,Sacramento,Sacramento,Sacramento,Austin
,,,,,,,,,,,,,,,,,,,,,,,,,Nashville,39,Portland,Memphis,Virginia Beach,Virginia Beach,Virginia Beach,Virginia Beach,Nashville
,,,,,,,,,,,,,,,,,,,,,,,,,Charlotte,40,Hartford,Portland,Providence,Providence,Providence,Providence,Charlotte
,,,,,,,,,,,,,,,,,,,,,,,,,Virginia Beach,41,Indianapolis,Cincinnati,Hartford,Hartford,Hartford,Hartford,Virginia Beach
,,,,,,,,,,,,,,,,,,,,,,,,,Louisville,42,Memphis,Honolulu,Salt Lake City,Salt Lake City,Salt Lake City,Salt Lake City,Louisville
,,,,,,,,,,,,,,,,,,,,,,,,,Buffalo,43,Seattle,Providence,Louisville,Louisville,Louisville,Louisville,Buffalo
,,,,,,,,,,,,,,,,,,,,,,,,,Providence,44,Cincinnati,Charlotte,Memphis,Memphis,Memphis,Memphis,Providence
,,,,,,,,,,,,,,,,,,,,,,,,,Rochester,45,Providence,Raleigh,Buffalo,Buffalo,Buffalo,Buffalo,Rochester
,,,,,,,,,,,,,,,,,,,,,,,,,Hartford,46,Tampa Bay,Tampa Bay,Oklahoma City,Oklahoma City,Oklahoma City,Oklahoma City,Hartford
,,,,,,,,,,,,,,,,,,,,,,,,,Memphis,47,Charlotte,Grand Rapids,New Orleans,New Orleans,New Orleans,New Orleans,Memphis
,,,,,,,,,,,,,,,,,,,,,,,,,Oklahoma City,48,Raleigh,Seattle,Rochester,Rochester,Rochester,Rochester,Oklahoma City
,,,,,,,,,,,,,,,,,,,,,,,,,Honolulu,49,Pittsburgh,Pittsburgh,Raleigh,Raleigh,Raleigh,Raleigh,Honolulu
,,,,,,,,,,,,,,,,,,,,,,,,,Raleigh,50,St. Louis,St. Louis,Honolulu,Honolulu,Honolulu,Honolulu,Raleigh
,,,,,,,,,,,,,,,,,,,,,,,,,Grand Rapids,51,Atlanta,Atlanta,Grand Rapids,Grand Rapids,Grand Rapids,Grand Rapids,Grand Rapids
