Area,MinA_E(10),MinA_E(20),MinA_E(30),MinA_E(40),MinA_E(50),MinA_E(60),MinA_E(70),MinA_E(80),MinA_E(90),,MinA_E(10),MinA_E(20-10),MinA_E(30-20),MinA_E(40-30),MinA_E(50-40),MinA_E(60-50),MinA_E(70-60),MinA_E(80-70),MinA_E(90-80),,SUM,,Weighted Employment Accessibility,Rank,Area,10,20,30,40,50,60,Area
Houston,74925.90546219132,304631.4888460013,720473.3076716056,1327460.9070574115,1870780,1870780,1870780,1870780,1870780,,74925.90546219132,229705.58338380995,415841.81882560434,606987.5993858059,543319.0929425885,0,0,0,0,,1870780,,152460.84427819314,22,Houston,43,44,28,14,10,11,Houston
Indianapolis,77505.21906267684,337462.6914770328,802613.388246917,813465,813465,813465,813465,813465,813465,,77505.21906267684,259957.47241435596,465150.69676988426,10851.61175308295,0,0,0,0,0,,813465,,129949.70309614232,33,Indianapolis,38,36,21,29,29,29,Indianapolis
Inland Empire,120346.64770800371,470951.41978096985,877495,877495,877495,877495,877495,877495,877495,,120346.64770800371,350604.77207296615,406543.58021903015,0,0,0,0,0,0,,877495.0000000001,,161741.91874387965,18,Inland Empire,13,14,14,26,26,26,Inland Empire
Jacksonville,59815.64141760456,247342.31454258144,497222,497222,497222,497222,497222,497222,497222,,59815.64141760456,187526.6731249769,249879.68545741856,0,0,0,0,0,0,,497222.00000000006,,87406.45616453336,51,Jacksonville,48,48,47,47,47,47,Jacksonville
Kansas City,113674.25458411044,480572.4048525521,891412,891412,891412,891412,891412,891412,891412,,113674.25458411044,366898.15026844165,410839.5951474479,0,0,0,0,0,0,,891412,,162423.1212589812,16,Kansas City,16,11,12,25,25,25,Kansas City
Las Vegas,117543.4436134855,470620.82063936564,691875,691875,691875,691875,691875,691875,691875,,117543.4436134855,353077.37702588015,221254.17936063436,0,0,0,0,0,0,,691875.0000000001,,144172.49307015515,26,Las Vegas,14,15,29,33,33,33,Las Vegas
Los Angeles,141243.32374063993,597266.9822633074,1404799.4609376618,2548253.6515751663,4034903.832836986,5298837,5298837,5298837,5298837,,141243.32374063993,456023.6585226675,807532.4786743544,1143454.1906375044,1486650.1812618198,1263933.167163014,0,0,0,,5298836.999999999,,313032.5098889937,2,Los Angeles,4,4,2,1,1,1,Los Angeles
Louisville,75040.35608165537,321037.6080613518,516026,516026,516026,516026,516026,516026,516026,,75040.35608165537,245997.25197969645,194988.3919386482,0,0,0,0,0,0,,516026,,101072.74190798016,48,Louisville,42,40,46,46,46,46,Louisville
Memphis,76401.30943926323,325062.4024680884,537466,537466,537466,537466,537466,537466,537466,,76401.30943926323,248661.09302882513,212403.59753191163,0,0,0,0,0,0,,537466,,103801.94971021145,46,Memphis,40,39,43,44,44,44,Memphis
Milwaukee,106668.93664946579,464062.92986615334,781664,781664,781664,781664,781664,781664,781664,,106668.93664946579,357393.9932166876,317601.07013384666,0,0,0,0,0,0,,781664.0000000001,,148898.16463591444,23,Milwaukee,19,17,22,31,31,31,Milwaukee
Minneapolis-St.Paul,101849.47562285762,448817.96037573373,1062261.475377528,1642398,1642398,1642398,1642398,1642398,1642398,,101849.47562285762,346968.4847528761,613443.5150017943,580136.524622472,0,0,0,0,0,,1642398.0000000002,,195113.63179457566,9,Minneapolis-St.Paul,21,19,7,6,11,12,Minneapolis-St.Paul
Nashville,85218.07212078846,362541.3742805993,634772,634772,634772,634772,634772,634772,634772,,85218.07212078846,277323.30215981085,272230.6257194007,0,0,0,0,0,0,,634772,,118977.76232290619,40,Nashville,33,31,32,35,35,35,Nashville
New Orleans,152354.71315265074,541312,541312,541312,541312,541312,541312,541312,541312,,152354.71315265074,388957.28684734926,0,0,0,0,0,0,0,,541312,,146986.50730238517,24,New Orleans,3,8,42,43,43,43,New Orleans
New York,116053.85583693947,505200.66033362376,1196602.6823937611,2183554.546675822,3483335.1653547445,5100016.858559137,7036952.817848171,7884550,7884550,,116053.85583693947,389146.8044966843,691402.0220601374,986951.8642820611,1299780.6186789223,1616681.6932043927,1936935.959289034,847597.1821518289,0,,7884550,,279348.70349968417,3,New York,15,10,4,3,2,2,New York
Oklahoma City,88919.22168533753,376503.0511789454,441416,441416,441416,441416,441416,441416,441416,,88919.22168533753,287583.82949360786,64912.9488210546,0,0,0,0,0,0,,441416,,103904.92543533687,45,Oklahoma City,30,27,50,50,50,50,Oklahoma City
Orlando,67514.43414741033,284881.7603913985,664921.8382719256,818126,818126,818126,818126,818126,818126,,67514.43414741033,217367.32624398818,380040.07788052707,153204.16172807442,0,0,0,0,0,,818126,,114943.29437685045,42,Orlando,46,45,30,28,28,28,Orlando
Philadelphia,76949.59481407564,340444.43017490115,808059.6871390773,1478739.5821385428,2354557.139559864,2550674,2550674,2550674,2550674,,76949.59481407564,263494.8353608255,467615.2569641762,670679.8949994654,875817.5574213213,196116.86044013593,0,0,0,,2550674,,175189.01148643682,11,Philadelphia,39,35,20,10,6,6,Philadelphia
Phoenix,87258.03190966616,355080.0144910443,821576.9052740493,1402830,1402830,1402830,1402830,1402830,1402830,,87258.03190966616,267821.98258137814,466496.890783005,581253.0947259507,0,0,0,0,0,,1402830.0000000002,,159292.68717246788,20,Phoenix,31,33,17,13,15,15,Phoenix
Pittsburgh,69548.04014877183,313204.32324791176,745834.77332335,1038641,1038641,1038641,1038641,1038641,1038641,,69548.04014877183,243656.28309913992,432630.45007543825,292806.22667665,0,0,0,0,0,,1038641,,131626.0800811174,32,Pittsburgh,44,43,26,21,23,23,Pittsburgh
Portland,78417.56408901112,313402.9419976225,738058.2007912389,877359,877359,877359,877359,877359,877359,,78417.56408901112,234985.37790861138,424655.25879361643,139300.79920876108,0,0,0,0,0,,877359,,126880.07594315767,34,Portland,36,42,27,27,27,27,Portland
Providence,93647.66731983401,401285.340764868,629305,629305,629305,629305,629305,629305,629305,,93647.66731983401,307637.673445034,228019.65923513199,0,0,0,0,0,0,,629305,,124875.06121690488,35,Providence,25,24,33,36,36,36,Providence
Raleigh,130697.81828363871,579732.3626412342,614595,614595,614595,614595,614595,614595,614595,,130697.81828363871,449034.5443575955,34862.637358765816,0,0,0,0,0,0,,614595,,152547.49337434166,21,Raleigh,7,6,34,37,37,37,Raleigh
Rochester,120971.05053345671,455184,455184,455184,455184,455184,455184,455184,455184,,120971.05053345671,334212.9494665433,0,0,0,0,0,0,0,,455184,,121832.22759038897,38,Rochester,12,18,49,49,49,49,Rochester
Sacramento,69437.1445785466,280346.43790219794,585187,585187,585187,585187,585187,585187,585187,,69437.1445785466,210909.29332365133,304840.56209780206,0,0,0,0,0,0,,585187,,101436.48405260137,47,Sacramento,45,46,37,39,39,39,Sacramento
Salt Lake City,121278.76935308377,478800.1812265137,611285,611285,611285,611285,611285,611285,611285,,121278.76935308377,357521.4118734299,132484.8187734863,0,0,0,0,0,0,,611285,,138695.14356966052,29,Salt Lake City,11,12,36,38,38,38,Salt Lake City
San Antonio,89504.1910111991,379567.7614943049,635453,635453,635453,635453,635453,635453,635453,,89504.1910111991,290063.57048310584,255885.23850569507,0,0,0,0,0,0,,635453.0000000001,,121993.03542305822,37,San Antonio,28,26,31,34,34,34,San Antonio
San Diego,65657.85470436317,266243.5755319048,612935.0258126578,1081762,1081762,1081762,1081762,1081762,1081762,,65657.85470436317,200585.72082754166,346691.45028075296,468826.9741873422,0,0,0,0,0,,1081762,,120561.09397979194,39,San Diego,47,47,35,16,17,17,San Diego
San Francisco,225620.62082706077,904626.7311228247,2048499,2048499,2048499,2048499,2048499,2048499,2048499,,225620.62082706077,679006.1102957639,1143872.2688771752,0,0,0,0,0,0,,2048499,,342236.60026257124,1,San Francisco,1,1,1,4,8,9,San Francisco
San Jose,165044.43695978055,685650.6998033819,1042998,1042998,1042998,1042998,1042998,1042998,1042998,,165044.43695978055,520606.2628436014,357347.3001966181,0,0,0,0,0,0,,1042998,,211685.6532941162,6,San Jose,2,2,8,20,21,21,San Jose
Seattle,90377.58715320766,361348.46374000947,816532.6354065042,1462959.5415133936,1481715,1481715,1481715,1481715,1481715,,90377.58715320766,270970.87658680184,455184.1716664947,646426.9061068895,18755.458486606367,0,0,0,0,,1481715.0000000002,,163304.024107787,14,Seattle,26,32,18,11,14,14,Seattle
South Florida,90130.65642913642,395285.7516417508,917913.041810619,1485934,1485934,1485934,1485934,1485934,1485934,,90130.65642913642,305155.0952126144,522627.29016886814,568020.958189381,0,0,0,0,0,,1485934,,172673.52991927764,12,South Florida,27,25,10,9,13,13,South Florida
St. Louis,76186.34770295954,328248.7088759474,778592.7454923284,1220621,1220621,1220621,1220621,1220621,1220621,,76186.34770295954,252062.36117298785,450344.036616381,442028.2545076716,0,0,0,0,0,,1220621,,143995.58088395593,28,St. Louis,41,38,24,15,16,16,St. Louis
Tampa Bay,53011.94281876724,228331.03865435542,534028.0735686398,972301.9809666878,1042912,1042912,1042912,1042912,1042912,,53011.94281876724,175319.09583558817,305697.03491428436,438273.907398048,70610.01903331222,0,0,0,0,,1042912,,106106.60369613617,44,Tampa Bay,49,51,44,23,22,22,Tampa Bay
Washington,78450.6715718259,342742.7522613394,832937.8935741249,1549330.9669608616,2278636,2278636,2278636,2278636,2278636,,78450.6715718259,264292.0806895135,490195.1413127855,716393.0733867367,729305.0330391384,0,0,0,0,,2278636,,175638.75795971445,10,Washington,35,34,16,8,7,7,Washington
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,1,1,1,1,1,1,1,1,1,,,,0.8092510253174099,,,TIME COHORT,,,,,,
Beta,-0.08,,,,,,,,,,,,,,,,,,,,,,,Weighted Average,Rank,10,20,30,40,50,60,Weighted Average
,,,,,,,,,,,,,,,,,,,,,,,,San Francisco,1,San Francisco,San Francisco,San Francisco,Los Angeles,Los Angeles,Los Angeles,San Francisco
"Source of Beta: Levinson, David and Ajay Kumar (1995) A Multi-modal Trip Distribution Model. Transportation Research Record #1466: 124-131.",,,,,,,,,,,,,,,,,,,,,,,,Los Angeles,2,San Jose,San Jose,Los Angeles,Boston,New York,New York,Los Angeles
,,,,,,,,,,,,,,,,,,,,,,,,New York,3,New Orleans,Columbus,Boston,New York,Boston,Chicago,New York
,,,,,,,,,,,,,,,,,,,,,,,,Boston,4,Los Angeles,Los Angeles,New York,San Francisco,Dallas-Fort Worth,Boston,Boston
,,,,,,,,,,,,,,,,,,,,,,,,Dallas-Fort Worth,5,Columbus,Cleveland,Dallas-Fort Worth,Dallas-Fort Worth,Chicago,Dallas-Fort Worth,Dallas-Fort Worth
,,,,,,,,,,,,,,,,,,,,,,,,San Jose,6,Cleveland,Raleigh,Cleveland,Minneapolis-St.Paul,Philadelphia,Philadelphia,San Jose
,,,,,,,,,,,,,,,,,,,,,,,,Chicago,7,Raleigh,Boston,Minneapolis-St.Paul,Chicago,Washington,Washington,Chicago
,,,,,,,,,,,,,,,,,,,,,,,,Cleveland,8,Grand Rapids,New Orleans,San Jose,Washington,San Francisco,Atlanta,Cleveland
,,,,,,,,,,,,,,,,,,,,,,,,Minneapolis-St.Paul,9,Boston,Grand Rapids,Baltimore,South Florida,Detroit,San Francisco,Minneapolis-St.Paul
,,,,,,,,,,,,,,,,,,,,,,,,Washington,10,Honolulu,New York,South Florida,Philadelphia,Houston,Detroit,Washington
,,,,,,,,,,,,,,,,,,,,,,,,Philadelphia,11,Salt Lake City,Kansas City,Denver,Seattle,Minneapolis-St.Paul,Houston,Philadelphia
,,,,,,,,,,,,,,,,,,,,,,,,South Florida,12,Rochester,Salt Lake City,Kansas City,Detroit,Atlanta,Minneapolis-St.Paul,South Florida
,,,,,,,,,,,,,,,,,,,,,,,,Columbus,13,Inland Empire,Hartford,Cincinnati,Phoenix,South Florida,South Florida,Columbus
,,,,,,,,,,,,,,,,,,,,,,,,Seattle,14,Las Vegas,Inland Empire,Inland Empire,Houston,Seattle,Seattle,Seattle
,,,,,,,,,,,,,,,,,,,,,,,,Detroit,15,New York,Las Vegas,Chicago,St. Louis,Phoenix,Phoenix,Detroit
,,,,,,,,,,,,,,,,,,,,,,,,Kansas City,16,Kansas City,Dallas-Fort Worth,Washington,San Diego,St. Louis,St. Louis,Kansas City
,,,,,,,,,,,,,,,,,,,,,,,,Baltimore,17,Dallas-Fort Worth,Milwaukee,Phoenix,Denver,San Diego,San Diego,Baltimore
,,,,,,,,,,,,,,,,,,,,,,,,Inland Empire,18,Hartford,Rochester,Seattle,Cleveland,Denver,Denver,Inland Empire
,,,,,,,,,,,,,,,,,,,,,,,,Denver,19,Milwaukee,Minneapolis-St.Paul,Charlotte,Baltimore,Cleveland,Cleveland,Denver
,,,,,,,,,,,,,,,,,,,,,,,,Phoenix,20,Denver,Charlotte,Philadelphia,San Jose,Baltimore,Baltimore,Phoenix
,,,,,,,,,,,,,,,,,,,,,,,,Raleigh,21,Minneapolis-St.Paul,Baltimore,Indianapolis,Pittsburgh,San Jose,San Jose,Raleigh
,,,,,,,,,,,,,,,,,,,,,,,,Houston,22,Charlotte,Buffalo,Milwaukee,Atlanta,Tampa Bay,Tampa Bay,Houston
,,,,,,,,,,,,,,,,,,,,,,,,Milwaukee,23,Buffalo,Denver,Detroit,Tampa Bay,Pittsburgh,Pittsburgh,Milwaukee
,,,,,,,,,,,,,,,,,,,,,,,,New Orleans,24,Baltimore,Providence,St. Louis,Cincinnati,Cincinnati,Cincinnati,New Orleans
,,,,,,,,,,,,,,,,,,,,,,,,Charlotte,25,Providence,South Florida,Columbus,Kansas City,Kansas City,Kansas City,Charlotte
,,,,,,,,,,,,,,,,,,,,,,,,Las Vegas,26,Seattle,San Antonio,Pittsburgh,Inland Empire,Inland Empire,Inland Empire,Las Vegas
,,,,,,,,,,,,,,,,,,,,,,,,Cincinnati,27,South Florida,Oklahoma City,Portland,Portland,Portland,Portland,Cincinnati
,,,,,,,,,,,,,,,,,,,,,,,,St. Louis,28,San Antonio,Cincinnati,Houston,Orlando,Orlando,Orlando,St. Louis
,,,,,,,,,,,,,,,,,,,,,,,,Salt Lake City,29,Austin,Chicago,Las Vegas,Indianapolis,Indianapolis,Indianapolis,Salt Lake City
,,,,,,,,,,,,,,,,,,,,,,,,Grand Rapids,30,Oklahoma City,Austin,Orlando,Charlotte,Charlotte,Charlotte,Grand Rapids
,,,,,,,,,,,,,,,,,,,,,,,,Hartford,31,Phoenix,Nashville,San Antonio,Milwaukee,Milwaukee,Milwaukee,Hartford
,,,,,,,,,,,,,,,,,,,,,,,,Pittsburgh,32,Chicago,Seattle,Nashville,Columbus,Columbus,Columbus,Pittsburgh
,,,,,,,,,,,,,,,,,,,,,,,,Indianapolis,33,Nashville,Phoenix,Providence,Las Vegas,Las Vegas,Las Vegas,Indianapolis
,,,,,,,,,,,,,,,,,,,,,,,,Portland,34,Cincinnati,Washington,Raleigh,San Antonio,San Antonio,San Antonio,Portland
,,,,,,,,,,,,,,,,,,,,,,,,Providence,35,Washington,Philadelphia,San Diego,Nashville,Nashville,Nashville,Providence
,,,,,,,,,,,,,,,,,,,,,,,,Atlanta,36,Portland,Indianapolis,Salt Lake City,Providence,Providence,Providence,Atlanta
,,,,,,,,,,,,,,,,,,,,,,,,San Antonio,37,Detroit,Detroit,Sacramento,Raleigh,Raleigh,Raleigh,San Antonio
,,,,,,,,,,,,,,,,,,,,,,,,Rochester,38,Indianapolis,St. Louis,Austin,Salt Lake City,Salt Lake City,Salt Lake City,Rochester
,,,,,,,,,,,,,,,,,,,,,,,,San Diego,39,Philadelphia,Memphis,Hartford,Sacramento,Sacramento,Sacramento,San Diego
,,,,,,,,,,,,,,,,,,,,,,,,Nashville,40,Memphis,Louisville,Hampton Roads,Austin,Austin,Austin,Nashville
,,,,,,,,,,,,,,,,,,,,,,,,Austin,41,St. Louis,Honolulu,Atlanta,Hampton Roads,Hampton Roads,Hampton Roads,Austin
,,,,,,,,,,,,,,,,,,,,,,,,Orlando,42,Louisville,Portland,New Orleans,Hartford,Hartford,Hartford,Orlando
,,,,,,,,,,,,,,,,,,,,,,,,Buffalo,43,Houston,Pittsburgh,Memphis,New Orleans,New Orleans,New Orleans,Buffalo
,,,,,,,,,,,,,,,,,,,,,,,,Tampa Bay,44,Pittsburgh,Houston,Tampa Bay,Memphis,Memphis,Memphis,Tampa Bay
,,,,,,,,,,,,,,,,,,,,,,,,Oklahoma City,45,Sacramento,Orlando,Grand Rapids,Grand Rapids,Grand Rapids,Grand Rapids,Oklahoma City
,,,,,,,,,,,,,,,,,,,,,,,,Memphis,46,Orlando,Sacramento,Louisville,Louisville,Louisville,Louisville,Memphis
,,,,,,,,,,,,,,,,,,,,,,,,Sacramento,47,San Diego,San Diego,Jacksonville,Jacksonville,Jacksonville,Jacksonville,Sacramento
,,,,,,,,,,,,,,,,,,,,,,,,Louisville,48,Jacksonville,Jacksonville,Buffalo,Buffalo,Buffalo,Buffalo,Louisville
,,,,,,,,,,,,,,,,,,,,,,,,Honolulu,49,Tampa Bay,Atlanta,Rochester,Rochester,Rochester,Rochester,Honolulu
,,,,,,,,,,,,,,,,,,,,,,,,Hampton Roads,50,Atlanta,Hampton Roads,Oklahoma City,Oklahoma City,Oklahoma City,Oklahoma City,Hampton Roads
