1,Network Speed (congested) [km/h],Network Speed (freeflow) [km/h],60 min Distance [m],Circuity [ ],Average Airline Speed [km/h],Airline Radius [km],Area covered in $A$1$ hrs [km2],Urbanized area density [people/km2],Area [km2],Population,Accessibility,"MinPA,P",.,Employment Density,Employment,Employment Accessibility,"Min EA, E"
Milwaukee,64.48552107198695,67.06494191486644,64485.52107198695,1.171858273061906,55.02843010485822,55.02843010485822,9513.145055308896,927.6018099547512,1326,1230000,8824410.571666623,1230000,.,582.7692307692307,772752,5543968.226078476,772752
Minneapolis-St.Paul,63.564185114523426,66.10675251910436,63564.185114523425,1.2276619490486302,51.776619095983335,51.776619095983335,8422.039029798321,730.0860847771603,2753.1,2010000,6148813.50110589,2010000,.,474.96422214957687,1307624,4000167.216701537,1307624
Nashville,63.73443651931945,66.28381398009223,63734.43651931945,1.2812771919082664,49.74289476299563,49.74289476299563,7773.417310619679,451.2058776553266,1252.2,565000,3507411.5800192608,565000,.,395.8768567321514,495717,3077316.0109954122,495717
New Orleans,62.63669301231881,65.14216073281156,62636.69301231881,1.2748337749432137,49.13322367467782,49.13322367467782,7584.036102705418,1501.072194424589,699.5,1050000,11384185.715283329,1050000,.,735.8484631879915,514726,5580701.310938026,514726
New York,59.42988867805861,62.40138311196155,59429.88867805861,1.2333672126313162,48.185072595912814,48.185072595912814,7294.153659219967,2072.731059077716,7683.1,15925000,15118818.8391506,15118818.8391506,.,1112.89362366753,8550473,8117617.0973970825,8117617.0973970825
Oklahoma City,69.71442539828774,72.50300241421925,69714.42539828774,1.2574334899680917,55.44183923402326,55.44183923402326,9656.619762907661,411.8665313675163,1675.3,690000,3977238.4864837863,690000,.,268.6814301916075,450122,2594554.408714572,450122
Orlando,58.78311324728174,61.72226890964583,58783.11324728174,1.3074104676721685,44.96148279426315,44.96148279426315,6350.839300955911,841.4049505919186,1022.1,860000,5343627.628238023,860000,.,545.3947754622835,557448,3463714.5745418947,557448
Philadelphia,63.17625705355521,66.96683247676853,63176.257053555215,1.1669146309492935,54.139570606086984,54.139570606086984,9208.300566948392,1518.9201737803867,3015.3,4580000,13986673.497371284,4580000,.,926.9117500746194,2794917,8535281.993723243,2794917
Phoenix,62.02920484038443,65.13066508240365,62029.20484038443,1.2594367890944496,49.251542735212766,49.251542735212766,7620.606732892654,987.2876940710638,1919.4,1895000,7523731.248740012,1895000,.,519.1700531416067,996495,3956390.8024871647,996495
Pittsburgh,65.42916793409438,68.70062633079911,65429.16793409438,1.249961861513895,52.344931432427586,52.344931432427586,8607.938256380408,883.2870186581977,2015.2,1780000,7603280.119272095,1780000,.,474.4710202461294,956154,4084217.2467205008,956154
Portland,65.14077091573358,68.39780946152027,65140.770915733585,1.4058560685168755,46.335305849947076,46.335305849947076,6744.8755486296595,1184.1974325803562,1004.9,1190000,7987264.307761265,1190000,.,720.9991043884963,724532,4863049.229773852,724532
Providence,70.3388720650424,75.26259310959537,70338.8720650424,1.2326892306619415,57.06131790189417,57.06131790189417,10229.006832734789,1415.4601861427093,773.6,1095000,14478751.91551783,1095000,.,704.0692864529473,544668,7201929.541845905,544668
Raleigh,68.77871409522666,74.2810112228448,68778.71409522666,1.1916664069564715,57.716416015190205,57.716416015190205,10465.225311020009,1097.213078779899,455.7,500000,11482582.08362959,500000,.,877.1143296028089,399701,9179199.082817663,399701
Rochester,70.51493653768364,78.27157955682884,70514.93653768364,1.1981230153781832,58.85450461480857,58.85450461480857,10882.0142377058,1079.136690647482,569.9,615000,11743180.83205662,615000,.,844.8271626601158,481467,9193421.212467974,481467
Sacramento,61.557786724694,68.32914326441035,61557.786724694,1.434768533949549,42.9043328370474,42.9043328370474,5782.986504947209,1272.1174973979414,864.7,1100000,7356638.320159512,1100000,.,793.2751243205736,685945,4587499.338656196,685945
Salt Lake City,65.14395936703976,73.61267408475491,65143.95936703976,1.3538234278475918,48.11850498894854,48.11850498894854,7274.013855273628,1215.620726333384,658.1,800000,8842442.006106827,800000,.,728.3665096489894,479338,5298148.082904042,479338
San Antonio,68.13115721225047,77.66951922196553,68131.15721225047,1.2984360342390284,52.47170859069692,52.47170859069692,8649.684857218934,1031.2913177611283,1134.5,1170000,8920344.89461979,1170000,.,501.6738651388277,569149,4339320.834553812,569149
San Diego,59.33004339689815,68.22954990643287,59330.043396898145,1.4127898925574056,41.994951768447336,41.994951768447336,5540.437324073363,1283.9160839160838,1787.5,2295000,7113456.592306779,2295000,.,688.3613986013986,1230446,3813823.1852625306,1230446
San Francisco1,53.93632527694484,62.02677406848657,53936.325276944845,1.3778557245951841,39.14511825451929,39.14511825451929,4813.9889763761,1623.3049162948894,2263.9,3675000,7814571.972340725,3675000,.,870.3507222050443,1970387,4189858.782276061,1970387
San Jose1,57.58663731743308,66.80049928822237,57586.63731743308,1.3956926271635566,41.260257593009904,41.260257593009904,5348.275157431234,1608.4873374401095,876.6,1410000,8602632.867873648,1410000,.,1079.5836185261237,946363,5773910.2473329855,946363
Seattle,57.751551670614234,67.56931545461865,57751.55167061424,1.4076416923663035,41.027167626394686,41.027167626394686,5288.018237901665,1477.6384054639784,1522.7,2250000,7813778.837117453,2250000,.,859.2224338346358,1308338,4543583.900531811,1308338
South Florida,57.26708654428858,59.557770006060125,57267.086544288584,1.2199936384657204,46.940479637507295,46.940479637507295,6922.2123604637245,4280.709437267353,913.4,3910000,29631979.778205782,3910000,.,1616.0335012042917,1476085,11186527.076959817,1476085
St. Louis,65.02916552345445,79.98587359384898,65029.16552345445,1.3156220711743434,49.42845437778987,49.42845437778987,7675.451527655595,1039.2364793213148,1886,1960000,7976609.222802208,1960000,.,606.7529162248144,1144336,4657102.597747238,1144336
Tampa Bay,57.77265252370572,71.06036260415804,57772.65252370572,1.2531993864468807,46.100128318371574,46.100128318371574,6676.581291425022,1022.1667558091162,1682.7,1720000,6824579.438551755,1720000,.,543.5971949842515,914711,3629370.8621029733,914711
Washington2,57.16639723788157,76.03130832638249,57166.39723788157,1.292257630499715,44.237616314771046,44.237616314771046,6147.992199283919,1267.0644976702363,2446.6,3100000,7789902.64766621,3100000,.,905.0723452955122,2214350,5564377.7186644105,2214350
,,,,,,,,,,,,,,,,,
