Area,MinA_E(10),MinA_E(20),MinA_E(30),MinA_E(40),MinA_E(50),MinA_E(60),MinA_E(70),MinA_E(80),MinA_E(90),Area,Total,,MinA_E(10),MinA_E(20-10),MinA_E(30-20),MinA_E(40-30),MinA_E(50-40),MinA_E(60-50),MinA_E(70-60),MinA_E(80-70),MinA_E(90-80),,SUM,,Weighted Employment Accessibility,Rank,Area,10,20,30,40,50,60,Area
Detroit,8239.78058302615,44409.73609254614,102747.20450600912,77627,-452290,-452290,-452290,-452290,-452290,Detroit,-452290,,8239.78058302615,36169.95550952002,58337.46841346298,-25120.20450600912,-529917,0,0,0,0,,-452290,,5567.492568819573,28,Detroit,23,23,12,41,50,2,Detroit
Grand Rapids,-25723.796828769628,-212598,-212598,-212598,-212598,-212598,-212598,-212598,-212598,Grand Rapids,-212598,,-25723.796828769628,-186874.2031712304,0,0,0,0,0,0,0,,-212598,,-49287.69790553013,49,Grand Rapids,48,50,31,13,7,2,Grand Rapids
Virginia Beach,30511.219312742964,132620.80311497266,41391,20163,20163,20163,20163,20163,20163,Virginia Beach,20162.00000000003,,30511.219312742964,102108.58380222972,-91229.80311497266,-21228,0,0,0,0,0,,20162.00000000003,,25183.46101114466,12,Virginia Beach,13,12,44,40,7,2,Virginia Beach
Hartford,-30412.25327423148,-129674.88518613233,-38598,-38598,-38598,-38598,-38598,-38598,-38598,Hartford,-38597.99999999997,,-30412.25327423148,-99262.63191190083,91076.88518613233,0,0,0,0,0,0,,-38597.99999999997,,-25443.577394118205,47,Hartford,49,48,9,13,7,2,Hartford
Honolulu,-24574.773798249313,15473,15473,15473,15473,15473,15473,15473,15473,Honolulu,15473,,-24574.773798249313,40047.77379824931,0,0,0,0,0,0,0,,15473,,-2956.651570878271,36,Honolulu,47,21,31,13,7,2,Honolulu
Houston,23736.44890309745,133214.21990138304,315105.67490759236,581243.5896026618,305787,305787,305787,305787,305787,Houston,305786,,23736.44890309745,109476.77099828562,181891.45500620932,266137.9146950694,-275456.5896026618,0,0,0,0,,305786,,55072.477922791695,6,Houston,14,10,6,4,48,2,Houston
Indianapolis,1140.092666567827,6944.954693702399,-59694,-70546,-70546,-70546,-70546,-70546,-70546,Indianapolis,-70546,,1140.092666567827,5805.862027134572,-66639.9546937024,-10852,0,0,0,0,0,,-70546,,-4803.331750582667,38,Indianapolis,30,33,41,39,7,2,Indianapolis
Riverside,42801.04251446438,188609.9270296787,79831,79831,79831,79831,79831,79831,79831,Riverside,79830.00000000003,,42801.04251446438,145807.88451521436,-108778.92702967871,0,0,0,0,0,0,,79830.00000000003,,38801.65065479925,9,Riverside,7,6,45,13,7,2,Riverside
Jacksonville,74959.98201775912,313735.2502842848,363418,363418,363418,363418,363418,363418,363418,Jacksonville,363417,,74959.98201775912,238774.2682665257,49682.74971571518,0,0,0,0,0,0,,363417,,86396.50178801836,2,Jacksonville,2,2,15,13,7,2,Jacksonville
Kansas City,3196.794475888848,22830.284912778414,37205,37205,37205,37205,37205,37205,37205,Kansas City,37205.000000000015,,3196.794475888848,19633.49043688958,14374.715087221586,0,0,0,0,0,0,,37205.000000000015,,6704.390437467346,26,Kansas City,27,30,25,13,7,2,Kansas City
Las Vegas,13170.55913083299,57253.721026565996,40001,40001,40001,40001,40001,40001,40001,Las Vegas,40001.99999999997,,13170.55913083299,44084.16189573298,-17252.721026565996,0,0,0,0,0,0,,40001.99999999997,,13253.220936359676,21,Las Vegas,20,19,37,13,7,2,Las Vegas
Los Angeles,95960.0038730845,455449.31796017964,1053312.2110561877,1918750.2655740185,817450,-446483,-446483,-446483,-446483,Los Angeles,-446482,,95960.0038730845,359489.3140870952,597862.8930960081,865439.0545178307,-1101300.2655740185,-1263933,0,0,0,,-446481.99999999994,,174638.48433867624,1,Los Angeles,1,1,1,1,51,51,Los Angeles
Louisville,13406.237978409743,66476.60831247788,-1026,-1026,-1026,-1026,-1026,-1026,-1026,Louisville,-1025,,13406.237978409743,53071.37033406814,-67502.60831247788,0,0,0,0,0,0,,-1025,,10615.037431396135,23,Louisville,19,17,42,13,7,2,Louisville
Memphis,2115.475043575003,17546.440547870996,-28300,-28300,-28300,-28300,-28300,-28300,-28300,Memphis,-28299.999999999985,,2115.475043575003,15430.965504296008,-45846.440547870996,0,0,0,0,0,0,,-28299.999999999985,,-93.09283754919306,31,Memphis,29,31,39,13,7,2,Memphis
Milwaukee,20584.681819433084,88101.50384284998,-44385,-44385,-44385,-44385,-44385,-44385,-44385,Milwaukee,-44385.00000000003,,20584.681819433084,67516.82202341687,-132486.50384284998,0,0,0,0,0,0,,-44385.00000000003,,10861.800564107964,22,Milwaukee,16,16,49,13,7,2,Milwaukee
Minneapolis,43202.71280497365,190495.71132836933,452069.30472967704,-70017,-70017,-70017,-70017,-70017,-70017,Minneapolis,-70017,,43202.71280497365,147293.99852339568,261572.5934013077,-522086.30472967704,0,0,0,0,0,,-70017,,51598.317477363904,8,Minneapolis,6,5,2,51,7,2,Minneapolis
Nashville,-730.8610466655082,11036.809318359243,18163,18163,18163,18163,18163,18163,18163,Nashville,18163.000000000015,,-730.8610466655082,11767.670365024765,7126.190681640757,0,0,0,0,0,0,,18163.000000000015,,2693.928067984087,29,Nashville,33,32,30,13,7,2,Nashville
New Orleans,-5833.9962340384955,-95225,-95225,-95225,-95225,-95225,-95225,-95225,-95225,New Orleans,-95225,,-5833.9962340384955,-89391.0037659615,0,0,0,0,0,0,0,,-95225,,-20669.11588489904,45,New Orleans,37,47,31,13,7,2,New Orleans
New York,34795.22922843814,149731.235396086,340855.26941660675,612099.7587670665,948869.4394198908,1338439.1589408554,236342,-611255,-611255,New York,-611256,,34795.22922843814,114936.0061676479,191124.03402052075,271244.4893504598,336768.68065282423,389569.71952096466,-1102097.1589408554,-847597,0,,-611256,,71125.0458738957,4,New York,9,8,4,3,2,1,New York
Oklahoma City,-6604.735546249343,-31682.255670700746,11338,11338,11338,11338,11338,11338,11338,Oklahoma City,11338.00000000003,,-6604.735546249343,-25077.520124451374,43020.255670700746,0,0,0,0,0,0,,11338.00000000003,,-4128.053429898824,37,Oklahoma City,39,39,17,13,7,2,Oklahoma City
Orlando,31259.851712398857,133243.9880553757,190942,37738,37738,37738,37738,37738,37738,Orlando,37739,,31259.851712398857,101985.13634297682,57698.011944624304,-153204,0,0,0,0,0,,37738.999999999985,,33625.71355743011,10,Orlando,10,13,13,47,7,2,Orlando
Philadelphia,5001.000854739366,25737.146584883565,43578.04148297582,75725.52516367147,67034,-129083,-129083,-129083,-129083,Philadelphia,-129083.99999999997,,5001.000854739366,20735.145730144228,17841.894898092258,32147.483680695645,-8692.525163671467,-196117,0,0,0,,-129083.99999999997,,7589.228277839,25,Philadelphia,26,29,24,9,45,48,Philadelphia
Phoenix,14188.25434415594,57690.37485737307,147054.0303996082,50529,50529,50529,50529,50529,50529,Phoenix,50529,,14188.25434415594,43502.120513217116,89363.65554223512,-96525.0303996082,0,0,0,0,0,,50528.999999999985,,19330.43523517847,16,Phoenix,18,20,10,46,7,2,Phoenix
Pittsburgh,-657.1469160585402,-7412.200536490418,-20583.849424315616,-7703,-7703,-7703,-7703,-7703,-7703,Pittsburgh,-7701.999999999985,,-657.1469160585402,-6755.053620431863,-13170.648887825198,12880.849424315616,0,0,0,0,0,,-7701.999999999985,,-2328.8594468461993,34,Pittsburgh,32,37,35,11,7,2,Pittsburgh
Portland,2895.059510253588,28979.315342866175,51487.41226483369,-6565,-6565,-6565,-6565,-6565,-6565,Portland,-6565.000000000015,,2895.059510253588,26084.255832612573,22508.096921967517,-58052.41226483369,0,0,0,0,0,,-6565.000000000015,,6242.6987329114745,27,Portland,28,27,22,43,7,2,Portland
Providence,-17329.55075695191,-65660.98763711547,-38804,-38804,-38804,-38804,-38804,-38804,-38804,Providence,-38805,,-17329.55075695191,-48332.43688016356,26856.987637115468,0,0,0,0,0,0,,-38805,,-15108.408852581333,41,Providence,43,43,21,13,7,2,Providence
Raleigh,-58148.04172276778,-254267.50187414343,-203978,-203978,-203978,-203978,-203978,-203978,-203978,Raleigh,-203979,,-58148.04172276778,-196120.46015137565,50289.50187414343,0,0,0,0,0,0,,-203979,,-61161.47668284216,51,Raleigh,51,51,14,13,7,2,Raleigh
Rochester,-17225.835367135922,-40099,-40099,-40099,-40099,-40099,-40099,-40099,-40099,Rochester,-40098.999999999985,,-17225.835367135922,-22873.164632864064,0,0,0,0,0,0,0,,-40098.999999999985,,-12358.079056462737,40,Rochester,42,38,31,13,7,2,Rochester
Sacramento,36004.47642108904,161228.39415498247,35881,35881,35881,35881,35881,35881,35881,Sacramento,35881,,36004.47642108904,125223.91773389344,-125347.39415498247,0,0,0,0,0,0,,35881.000000000015,,30088.86800609185,11,Sacramento,8,7,47,13,7,2,Sacramento
Salt Lake City,14780.7416482447,47357,-85128,-85128,-85128,-85128,-85128,-85128,-85128,Salt Lake City,-85127.99999999997,,14780.7416482447,32576.25835175533,-132485,0,0,0,0,0,0,,-85127.99999999997,,1199.6804226559616,30,Salt Lake City,17,24,48,13,7,2,Salt Lake City
San Antonio,8276.030761198985,45707.02940176829,82722,82722,82722,82722,82722,82722,82722,San Antonio,82721.99999999997,,8276.030761198985,37430.998640569276,37014.97059823171,0,0,0,0,0,0,,82721.99999999997,,14633.77099326478,19,San Antonio,22,22,19,13,7,2,San Antonio
San Diego,66690.40758081837,286752.3270954363,488389,19562,19562,19562,19562,19562,19562,San Diego,19562,,66690.40758081837,220061.91951461788,201636.67290456372,-468827,0,0,0,0,0,,19561.99999999997,,73577.31151748914,3,San Diego,4,3,3,50,7,2,San Diego
San Francisco,57928.01608170767,256931.0557365031,-280706,-280706,-280706,-280706,-280706,-280706,-280706,San Francisco,-280706,,57928.01608170767,199003.03965479543,-537637.0557365031,0,0,0,0,0,0,,-280706,,17433.422927053616,17,San Francisco,5,4,51,13,7,2,San Francisco
San Jose,72884.87404721085,171381,-185966,-185966,-185966,-185966,-185966,-185966,-185966,San Jose,-185965.00000000006,,72884.87404721085,98497.1259527891,-357347,0,0,0,0,0,0,,-185965.00000000006,,20217.723263684842,15,San Jose,3,14,50,13,7,2,San Jose
Seattle,-12895.185415815518,-54082.44733044482,-100192.23256489635,-160086.70939578465,-45951,-45951,-45951,-45951,-45951,Seattle,-45951,,-12895.185415815518,-41188.261914629315,-46108.78523445153,-59894.47683088831,114135.70939578465,0,0,0,0,,-45951.000000000015,,-18643.804037089456,44,Seattle,41,41,40,44,4,2,Seattle
Miami,7646.722174043389,29450.92995978135,68153.21219986165,305079.7473319578,334975,334975,334975,334975,334975,Miami,334975,,7646.722174043389,21804.207785737934,38702.2822400803,236926.53513209615,29895.2526680422,0,0,0,0,,334975,,21554.27762067419,14,Miami,24,28,18,6,6,2,Miami
St. Louis,-12097.448224070453,-55449.49917140772,-140561.72181978344,-50980,-50980,-50980,-50980,-50980,-50980,St. Louis,-50979,,-12097.448224070453,-43351.050947337266,-85112.22264837573,89581.72181978344,0,0,0,0,0,,-50979,,-18257.81833768175,43,St. Louis,40,42,43,7,7,2,St. Louis
Tampa Bay,21669.65498400778,94460.96021804807,218012.45965765056,-40071,-110681,-110681,-110681,-110681,-110681,Tampa Bay,-110681,,21669.65498400778,72791.30523404031,123551.49943960248,-258083.45965765056,-70610,0,0,0,0,,-110680.99999999999,,23828.13596083829,13,Tampa Bay,15,15,8,49,46,2,Tampa Bay
Washington,30537.254849508172,138932.11236252356,327775.212067951,586581.4717155923,91895,91895,91895,91895,91895,Washington,91895,,30537.254849508172,108394.85751301539,188843.09970542742,258806.25964764133,-494686.4717155923,0,0,0,0,,91895,,54226.291654572924,7,Washington,12,11,5,5,49,2,Washington
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,PERCENTAGE CHANGES,,,1,1,1,1,1,1,1,1,1,,,,0.8092510253174099,,,TIME COHORT,,,,,,
Beta,-0.08,,,,,,,,,Area,Total,Weighted Average,MinA_E(10),MinA_E(20-10),MinA_E(30-20),MinA_E(40-30),MinA_E(50-40),MinA_E(60-50),MinA_E(70-60),MinA_E(80-70),MinA_E(90-80),,,,,Weighted Average,Rank,10,20,30,40,50,60,Weighted Average
,,,,,,,,,,Atlanta,-5.9244153525121535,10.682078025554793,13.115169386680453,15.038231723027092,15.452909751400432,15.784246411558772,16.64404724493183,-79.32055051753768,#DIV/0!,#DIV/0!,#DIV/0!,,,,,Los Angeles,1,Los Angeles,Los Angeles,Los Angeles,Los Angeles,Chicago,New York,Los Angeles
"Source of Beta: Levinson, David and Ajay Kumar (1995) A Multi-modal Trip Distribution Model. Transportation Research Record #1466: 124-131.",,,,,,,,,,Austin,10.349621437246443,7.250725464332297,0.46990452030211577,11.147859530127228,13.407127586305137,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,Jacksonville,2,Jacksonville,Jacksonville,Minneapolis,Chicago,New York,Austin,Jacksonville
,,,,,,,,,,Baltimore,-0.38300848748313016,8.129036995874335,13.901960060358448,16.49718768424154,2.14103206304663,-100,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,San Diego,3,San Jose,San Diego,San Diego,New York,Boston,#N/A,San Diego
,,,,,,,,,,Boston,-5.611914420947073,-15.985797790839392,-16.022580055860473,-15.777731542378126,-16.343178219044653,-15.669358689397884,29.49512464500349,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,New York,4,San Diego,San Francisco,New York,Houston,Seattle,#N/A,New York
,,,,,,,,,,Buffalo,-4.188988032664185,-2.462060487448517,-2.166228868283905,-0.4377125230258305,-25.765351060473517,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,Chicago,5,San Francisco,Minneapolis,Washington,Washington,Atlanta,#N/A,Chicago
,,,,,,,,,,Charlotte,-10.3662691757434,-20.760160297767236,-24.76980430388794,-23.39841903608453,5.394634332227706,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,Houston,6,Minneapolis,Riverside,Houston,Miami,Miami,#N/A,Houston
,,,,,,,,,,Chicago,-9.356485493660898,23.385439800837755,35.95760021146624,38.59536270635084,36.12021285832769,37.87278516168783,36.94742984940172,-76.21261645031427,-100,#DIV/0!,#DIV/0!,,,,,Washington,7,Riverside,Sacramento,Chicago,St. Louis,Austin,#N/A,Washington
,,,,,,,,,,Cincinnati,-6.460859529837328,-8.268785998479686,-7.338915474400996,-9.029000222245443,-7.2197929109703685,15.202481450254195,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,Minneapolis,8,Sacramento,New York,Tampa Bay,Atlanta,#N/A,#N/A,Minneapolis
,,,,,,,,,,Cleveland,-19.256065830546472,-38.66593602192983,-36.05188242482278,-36.794039020083076,1.794510919002834,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,Riverside,9,New York,Chicago,Hartford,Philadelphia,#N/A,#N/A,Riverside
,,,,,,,,,,Columbus,-2.9966076627520355,-10.987835848197333,-16.607601256320496,-12.80912986229017,35.214100282175984,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,Orlando,10,Orlando,Houston,Phoenix,Dallas-Fort Worth,#N/A,#N/A,Orlando
,,,,,,,,,,Dallas-Fort Worth,-3.491006057474497,-0.18531768607585236,-2.476246752899106,1.5953008093890801,2.098595682407542,1.9290599177434846,-22.459255540658447,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,Sacramento,11,Chicago,Washington,Columbus,Pittsburgh,#N/A,#N/A,Sacramento
,,,,,,,,,,Denver,-3.920741131502715,-1.394048767752137,-3.124752475328839,0.4388870396869627,2.413356394379261,-32.07832951929887,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,Virginia Beach,12,Washington,Virginia Beach,Detroit,Cincinnati,#N/A,#N/A,Virginia Beach
,,,,,,,,,,Detroit,-23.155552643057685,3.307042872488303,10.584039489571296,14.237449422754764,13.058483326647039,-3.896345113168224,-100,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,Tampa Bay,13,Virginia Beach,Orlando,Orlando,Austin,#N/A,#N/A,Tampa Bay
,,,,,,,,,,Grand Rapids,-40.039927302176224,-55.2654638017968,-20.35384254905298,-46.1894506357748,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,Miami,14,Houston,San Jose,Raleigh,#N/A,#N/A,#N/A,Miami
,,,,,,,,,,Virginia Beach,3.5147785612802616,21.979041509600776,58.73528656658318,57.36759582124261,-28.290942759007866,-100,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,San Jose,15,Tampa Bay,Tampa Bay,Jacksonville,#N/A,#N/A,#N/A,San Jose
,,,,,,,,,,Hartford,-6.796367804677053,-23.90365418564266,-27.61737493119459,-26.99914644918709,101.02815883098428,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,Phoenix,16,Milwaukee,Milwaukee,Atlanta,#N/A,#N/A,#N/A,Phoenix
,,,,,,,,,,Honolulu,4.828356648702963,-3.2012815857380645,-19.861452504424363,20.356719259009463,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,San Francisco,17,Salt Lake City,Louisville,Oklahoma City,#N/A,#N/A,#N/A,San Francisco
,,,,,,,,,,Houston,16.345365919367367,26.536671558210244,31.67985599537871,47.65951738234335,43.740520439544184,43.845663290718996,-50.698869283544624,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,Atlanta,18,Phoenix,Baltimore,Miami,#N/A,#N/A,#N/A,Atlanta
,,,,,,,,,,Indianapolis,-8.672284609663599,-3.8381756294356353,1.47099240896436,2.233393225469817,-14.326520784369462,-100,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,San Antonio,19,Louisville,Las Vegas,San Antonio,#N/A,#N/A,#N/A,San Antonio
,,,,,,,,,,Riverside,9.097477367418202,19.348216386175945,35.56469418802661,41.58750859662993,-26.75698744285458,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,Baltimore,20,Las Vegas,Phoenix,Austin,#N/A,#N/A,#N/A,Baltimore
,,,,,,,,,,Jacksonville,73.08933818427546,49.70938108490227,125.31761070241929,127.32794118528304,19.882643555192566,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,Las Vegas,21,Baltimore,Honolulu,Providence,#N/A,#N/A,#N/A,Las Vegas
,,,,,,,,,,Kansas City,4.173715408812089,3.9641065203313,2.812247722336548,5.351212172562833,3.49885967462311,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,Milwaukee,22,San Antonio,San Antonio,Portland,#N/A,#N/A,#N/A,Milwaukee
,,,,,,,,,,Las Vegas,5.781688573352947,8.418729798433986,11.20488598285988,12.485707620641668,-7.797699036657415,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,Louisville,23,Detroit,Detroit,Charlotte,#N/A,#N/A,#N/A,Louisville
,,,,,,,,,,Los Angeles,-8.426039228238052,35.810727688158735,67.93965284869657,78.83122688435152,74.03581444401065,75.68639005310496,-74.07932368573763,-100,#DIV/0!,#DIV/0!,#DIV/0!,,,,,Austin,24,Miami,Salt Lake City,Philadelphia,#N/A,#N/A,#N/A,Austin
,,,,,,,,,,Louisville,-0.19863378712271693,9.504227691886877,17.865455728157972,21.57399087552618,-34.6188526024565,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,Philadelphia,25,Atlanta,Austin,Kansas City,#N/A,#N/A,#N/A,Philadelphia
,,,,,,,,,,Memphis,-5.265449349354189,-0.08976373788104552,2.76891014983443,6.205623521298477,-21.58454668832555,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,Kansas City,26,Philadelphia,Atlanta,Dallas-Fort Worth,#N/A,#N/A,#N/A,Kansas City
,,,,,,,,,,Milwaukee,-5.6782709706472385,6.798824070013075,19.297717068157652,18.891425715993236,-41.714762813357005,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,Portland,27,Kansas City,Portland,Denver,#N/A,#N/A,#N/A,Portland
,,,,,,,,,,Minneapolis,-4.263095790423515,20.914418430231528,42.418396650898536,42.45175305025123,42.640011704623035,-89.99362301140542,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,Detroit,28,Portland,Miami,Baltimore,#N/A,#N/A,#N/A,Detroit
,,,,,,,,,,Nashville,2.861342340241853,2.2140971131124934,-0.8576369389864913,4.243308476045898,2.6176999245643433,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,Nashville,29,Memphis,Philadelphia,Cleveland,#N/A,#N/A,#N/A,Nashville
,,,,,,,,,,New Orleans,-17.591518384960985,-16.362833367109094,-3.8292121912890913,-22.98223293730708,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,Salt Lake City,30,Indianapolis,Kansas City,Nashville,#N/A,#N/A,#N/A,Salt Lake City
,,,,,,,,,,New York,-7.752578428372142,20.293965590720774,29.981930160475418,29.535369967556708,27.642968059178415,27.483047741983373,25.909647906287613,24.096867505233845,-56.89899712436836,-100,#DIV/0!,,,,,Memphis,31,Austin,Memphis,Grand Rapids,#N/A,#N/A,#N/A,Memphis
,,,,,,,,,,Oklahoma City,2.5685521141055214,-4.137287381064067,-7.4278113184463885,-8.72006791909542,66.2737135407403,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,Dallas-Fort Worth,32,Pittsburgh,Nashville,#N/A,#N/A,#N/A,#N/A,Dallas-Fort Worth
,,,,,,,,,,Orlando,4.612864782276547,22.633102405060924,46.301288195631805,46.918408195805625,15.182089239191743,-100,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,Denver,33,Nashville,Indianapolis,#N/A,#N/A,#N/A,#N/A,Denver
,,,,,,,,,,Philadelphia,-5.060778029345172,4.152146204009879,6.49902645190301,7.869274836389392,3.8155095320065135,4.793267084257119,-0.9925035981986516,-100,#DIV/0!,#DIV/0!,#DIV/0!,,,,,Pittsburgh,34,Buffalo,Dallas-Fort Worth,#N/A,#N/A,#N/A,#N/A,Pittsburgh
,,,,,,,,,,Phoenix,3.6019332349607582,10.821911234847144,16.260118664369962,16.242922729729862,19.1563194494788,-16.606371132640724,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,Buffalo,35,Dallas-Fort Worth,Denver,Pittsburgh,#N/A,#N/A,#N/A,Buffalo
,,,,,,,,,,Pittsburgh,-0.7415466379111131,-1.8011691911732446,-0.9448825502653423,-2.772373190248491,-3.0443216808416427,4.399107062121547,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,Honolulu,36,Denver,Buffalo,Buffalo,#N/A,#N/A,#N/A,Honolulu
