0.16666666666666666,Network Speed (congested) [km/h],Network Speed (freeflow) [km/h],10 Minute Distance,Circuity [ ],Average Airline Speed [km/h],Airline Radius [km],Area covered in $A$1$ hrs [km2],Urbanized area density [people/km2],Area [km2],Population,Accessibility,"MinPA,P",.,Employment Density,Employment,Employment Accessibility,"Min EA, E",,
Columbus,73.17450000000001,79.77550000000001,13295.916666666666,1.3249637252937287,55.22754970803302,9.204591618005502,266.1698883123523,1034.7499169004755,1322.092399,1368035,275419.2698126154,275419.2698126154,.,599.7841002639333,792970,159644.46697877586,159644.46697877586,,
Dallas-Fort Worth,53.894749999999995,63.393750000000004,10565.625,1.3824701219183075,38.98438682003192,6.497397803338654,132.62603534234728,1111.5370303722236,4607.936452,5121892,147418.74947447426,147418.74947447426,.,577.1468482048415,2659456,76544.69828773965,76544.69828773965,,
Denver,54.78025,64.11825,10686.375,1.3957008737903487,39.24927685345038,6.54154614224173,134.4344859787668,1372.380626126141,1729.988718,2374203,184495.2840404859,184495.2840404859,.,661.2014217771332,1143871,88888.27326503868,88888.27326503868,,
Detroit,57.557500000000005,65.1245,10854.083333333332,1.3026208565751525,44.18591926382174,7.364319877303623,170.37864549370371,1078.2087468947925,3463.23475,3734090,183703.74585539836,183703.74585539836,.,492.3330709822659,1705065,83883.04176571395,83883.04176571395,,
Grand Rapids,72.65,79.78,13296.666666666666,1.3210528558171648,54.99401456958422,9.165669094930703,263.92359648314886,784.2973750588556,726.682274,569935,206994.58393782625,206994.58393782625,.,733.4333299012052,532973,193570.36220813787,193570.36220813787,,
Hampton Roads,63.393750000000004,72.08775000000001,12014.625000000002,1.404082410081675,45.149593460338565,7.5249322433897605,177.8914439211356,1078.4020248075806,1334.999348,1439666,191838.49332049678,191838.49332049678,.,477.00023296191154,636795,84854.2601923125,84854.2601923125,,
Hartford,65.96974999999999,73.8185,12303.083333333334,1.3288885485099737,49.64280117694525,8.273800196157541,215.0601431411732,691.7059567557736,1337.06959,924859,148758.38207149884,148758.38207149884,.,423.744586098918,566576,91130.5713417305,91130.5713417305,,
Honolulu,61.743500000000004,74.74425,12457.374999999998,1.4170125027894218,43.57301003234375,7.262168338723958,165.6847344964755,1820.7093992818395,440.739747,802459,301663.753415249,301663.753415249,.,810.4193062487735,357184,134274.1075866459,134274.1075866459,,
Houston,58.40275000000001,69.59225,11598.708333333334,1.4112669682919152,41.38320481679383,6.897200802798971,149.44989451776962,1149.9995031423985,4299.420988,4944332,171867.30444011893,171867.30444011893,.,527.0588775383259,2266048,78768.89365275686,78768.89365275686,,
Indianapolis,54.53875,64.44025,10740.041666666666,1.3307390130691796,40.98380633946647,6.8306343899110775,146.57906710976616,813.7826434009975,1827.862774,1487483,119283.5006998377,119283.5006998377,.,435.24164467720595,795562,63797.31424410517,63797.31424410517,,
Inland Empire2,60.173750000000005,67.82125,11303.541666666668,1.3734377415845354,43.81250651418501,7.302084419030835,167.5110927339087,1369.2709398652264,1411.456231,1932666,229368.07138561027,229368.07138561027,.,777.8533799961666,1097906,130299.06966992219,130299.06966992219,,
Jacksonville,66.33200000000001,74.18075,12363.458333333334,1.3923352643282094,47.640824519376565,7.940137419896094,198.06416634647613,775.485851329188,1373.615003,1065219,153595.95865700295,153595.95865700295,.,393.33583196164324,540292,77905.7336516805,77905.7336516805,,
Kansas City,63.43400000000001,69.552,11592,1.3476779649684636,47.06910823572336,7.84485137262056,193.3389308020826,865.4747964993128,1755.587807,1519417,167329.97179132715,167329.97179132715,.,528.9493332645366,928617,102266.49854183996,102266.49854183996,,
Las Vegas,59.52975000000001,69.83375000000001,11638.958333333336,1.3286382614132926,44.80508482171612,7.467514136952687,175.1870419550541,1746.9193703498715,1079.621093,1886011,306037.63702557964,306037.63702557964,.,779.9930970781802,842097,136644.68342248775,136644.68342248775,,
Los Angeles2,52.92875,66.0905,11015.083333333334,1.3492227990003094,39.229065829021664,6.538177638170277,134.29607022506204,2702.463769306689,4496.266014,12150996,362930.2641434969,362930.2641434969,.,1191.6530257144168,5357989,160034.31842525097,160034.31842525097,,
Louisville,63.47425000000001,71.28275000000001,11880.458333333334,1.415233679267091,44.850720365043536,7.475120060840589,175.54409193473194,787.6776339629688,1234.70054,972546,138272.15499132752,138272.15499132752,.,450.3594045565089,556059,79057.93271713893,79057.93271713893,,
Memphis,67.41875,75.14675000000001,12524.458333333336,1.3836709660756512,48.72455349064102,8.120758915106837,207.1777479107571,823.0143769923415,1288.022457,1060061,170510.26512344813,170510.26512344813,.,431.02198799628536,555166,89298.16477308777,89298.16477308777,,
Milwaukee,65.688,72.49025,12081.708333333334,1.259277972938473,52.16322480946742,8.693870801577903,237.45222123225955,974.0478763670035,1413.15025,1376476,231289.8318299103,231289.8318299103,.,562.6273639338775,795077,133597.1172921501,133597.1172921501,,
Minneapolis-St.Paul,55.74625,65.688,10948,1.367956699688347,40.751472625339915,6.791912104223319,144.92188912052808,1001.6752173390063,2646.45661,2650890,145164.66478198432,145164.66478198432,.,635.2188030016482,1681079,92057.10893587943,92057.10893587943,,
Nashville,67.57975,75.87125,12645.208333333332,1.4297597712771255,47.26650683396606,7.877751138994343,194.96398227510315,664.384827305228,1459.375591,969587,129531.11169458393,129531.11169458393,.,497.9506334637606,726697,97082.438476505,97082.438476505,,
New Orleans,56.14875000000001,67.137,11189.499999999998,1.416322547079509,39.64404161734209,6.607340269557015,137.15233906527945,1381.8089483990395,651.105206,899703,189518.3294142623,189518.3294142623,.,707.1376419005319,460421,96985.58162776391,96985.58162776391,,
New York,55.142500000000005,67.66025,11276.708333333334,1.3157627494011674,41.90915119393414,6.984858532322357,153.27280374944533,2053.640698283641,8935.98136,18351295,314767.2677199024,314767.2677199024,.,914.5813616603158,8172682,140180.44955866208,140180.44955866208,,
Oklahoma City,69.02875,75.95175000000002,12658.625000000002,1.3330075580666654,51.78421501234113,8.630702502056854,234.01417584624065,810.0396797726283,1063.53432,861505,189560.7680647443,189560.7680647443,.,452.14901950695867,480876,105809.28015960671,105809.28015960671,,
Orlando,58.16125,69.069,11511.5,1.4073453796667255,41.32692005836777,6.887820009727961,149.04364126163537,975.7775860793671,1548.012602,1510516,145433.4444907577,145433.4444907577,.,606.6656038760077,939126,90419.65062986908,90419.65062986908,,
Philadelphia,59.77125,68.06275000000001,11343.791666666668,1.2908066509637137,46.305347090809384,7.71755784846823,187.11545487488723,1060.3784681288619,5131.721516,5441567,198413.1994034681,198413.1994034681,.,500.0207029940477,2565967,93561.60128759213,93561.60128759213,,
Phoenix,63.75600000000001,70.47775000000001,11746.291666666668,1.344427913754184,47.422401266548825,7.903733544424804,196.2521638589527,1222.0875996258867,2969.60218,3629114,239837.3358517737,239837.3358517737,.,553.7277050355614,1644351,108670.26030188083,108670.26030188083,,
Pittsburgh,68.46525000000001,76.83725000000001,12806.208333333334,1.4115605231076185,48.503233746768764,8.083872291128127,205.29991073395976,739.5753515526226,2344.389921,1733853,151834.75365479031,151834.75365479031,.,455.62642563502135,1068166,93540.06451090304,93540.06451090304,,
Portland,60.938500000000005,71.44375000000001,11907.291666666668,1.5301276739734433,39.825761625338494,6.637626937556416,138.4125761545955,1362.0759506608479,1358.145997,1849898,188528.4412491877,188528.4412491877,.,697.5082223063828,947318,96543.90993843874,96543.90993843874,,
Providence,61.542249999999996,68.06275000000001,11343.791666666668,1.3413795461632436,45.87981841234249,7.646636402057081,183.69221567784905,843.6559568888318,1411.660749,1190956,154973.03199072543,154973.03199072543,.,450.46446212410774,635903,82746.81513170786,82746.81513170786,,
Raleigh,67.57974999999999,75.46875,12578.125,1.3599560158886321,49.69259976826644,8.282099961377739,215.4918296525913,659.394274407944,1341.975559,884891,142094.0786546107,142094.0786546107,.,518.0824608445794,695254,111642.5373983154,111642.5373983154,,
"Rochester, NY",63.595000000000006,70.84,11806.666666666666,1.3054372101690606,48.715479767704906,8.119246627950817,207.1005918032579,857.4454035556953,840.370707,720572,177577.4505153678,177577.4505153678,.,542.2666404291981,455705,112303.74214805139,112303.74214805139,,
Sacramento,56.873250000000006,65.68800000000002,10948.000000000002,1.4338792967235054,39.663903461022535,6.610650576837089,137.28980137237696,1413.0147860308737,1219.827292,1723634,193992.51931041037,193992.51931041037,.,570.374187036963,695758,78306.55884623564,78306.55884623564,,
Salt Lake City,78.085,86.65825,14443.041666666666,1.3973954385618328,55.87895726950653,9.313159544917754,272.4858525412318,1418.9468389746553,719.719,1021243,386642.9391286949,386642.9391286949,.,998.5063615105339,718644,272078.85718404123,272078.85718404123,,
San Antonio,64.078,74.42224999999999,12403.70833333333,1.4317823771593792,44.75400802678489,7.459001337797481,174.78785099731473,1136.9073371227814,1546.484874,1758210,198717.5902387706,198717.5902387706,.,475.832006100824,735867,83169.65378210419,83169.65378210419,,
San Diego,60.49575000000001,69.67275000000001,11612.125,1.4519495177769537,41.66518825848963,6.944198043081604,151.4935242498101,1558.6954968295993,1896.936256,2956746,236132.2740470247,236132.2740470247,.,626.5170989488431,1188463,94913.28332252723,94913.28332252723,,
San Francisco1,53.25075000000001,64.11825,10686.375,1.4529772069649314,36.64940492165976,6.10823415360996,117.21446959327005,2419.4675820015173,1356.171095,3281212,283596.60932241945,283596.60932241945,.,1448.4256501573645,1964313,169776.44432848282,169776.44432848282,,
San Jose1,63.71575,74.382,12397,1.3990667972183513,45.541606824406635,7.590267804067772,180.99395538158936,2247.211920874815,740.693828,1664496,406731.77413979196,406731.77413979196,.,1259.1086421203445,932614,227891.0533925032,227891.0533925032,,
Seattle,52.92875,63.23275000000001,10538.791666666668,1.4725838457083096,35.94277511209651,5.990462518682752,112.73806672477238,1169.1810890127867,2616.697301,3059393,131811.2156264656,131811.2156264656,.,601.7837827089194,1574686,67843.94024892407,67843.94024892407,,
South Florida,60.37500000000001,66.815,11135.833333333332,1.336871859668785,45.16139640710078,7.526899401183464,177.98446436823548,1715.2084870415904,3207.994271,5502379,305280.46384594904,305280.46384594904,.,624.5029855915226,2003402,111151.82938687103,111151.82938687103,,
St. Louis,59.77125,67.5395,11256.583333333334,1.443560196227148,41.40544340043222,6.90090723340537,149.61056100082774,899.0472029916936,2392.205874,2150706,134506.95640581232,134506.95640581232,.,527.6941310612299,1262353,78948.61498491492,78948.61498491492,,
Tampa Bay,61.099500000000006,68.38475,11397.458333333332,1.3634427948695305,44.81266117647913,7.468776862746521,175.24629377451737,985.1457564595692,2478.587543,2441770,172643.1426472328,172643.1426472328,.,405.59511518532634,1005303,71079.04070927692,71079.04070927692,,
Washington2,57.07450000000001,69.18974999999999,11531.624999999998,1.428075576367832,39.96602206807802,6.661003678013003,139.38923019464218,1339.8831695910785,3423.26115,4586770,186765.28356005764,186765.28356005764,.,721.5984675898887,2470220,100583.05490698805,100583.05490698805,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Notes:,,,,,,,,,,,,,,,,,,,
1 San Francisco-San Jose were combined for the circuity analysis used the same commute distance for cicuity,,,,,,,,,,,,,,,,,,,
"2 Los Angeles-Inland Empire and Baltimore-Washington used the same average commute distance, as they were grouped together in the NHTS data",,,,,,,,,,,,,,,,,,,
3 Circuitry is from a sample of OD points with network distance matched to average commute distance with circuity weighted by matching network distance to each work commute distance interval,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Data Sources:,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
"Circuity: Networks are Census Tiger 2008 2010 county-level shapefiles merged together, commute distances are from 2009 NHTS",,,,,,,,,,,,,,,,,,,
Urbanized Area: Census 2000 2010 Urbanized Area (census.gov),,,,,,,,,,,,,,,,,,,
Employment: 2008 MSA Business Patterns (NAICS - from Censtats),,,,,,,,,,,,,,,,,,,
"Speeds - 2010 Urban Mobility Report, Exhibit A-8. Composite Freeway and Arterial (25% Freeway, 75% Arterial), converted to km/h",,,,,,,,,,,,,,,,,,,
