Area,MinA_E(10),MinA_E(20),MinA_E(30),MinA_E(40),MinA_E(50),MinA_E(60),MinA_E(70),MinA_E(80),MinA_E(90),Area,Total,MinA_E(10),MinA_E(20-10),MinA_E(30-20),MinA_E(40-30),MinA_E(50-40),MinA_E(60-50),MinA_E(70-60),MinA_E(80-70),MinA_E(90-80),,SUM,,Weighted Employment Accessibility,Rank,Area,10,20,30,40,50,60,Area
Detroit,-55124.970108679845,-245463.16043188062,-569929.9272699899,-656529,-126612,-126612,-126612,-126612,-126612,Detroit,-126612,-55124.970108679845,-190338.19032320078,-324466.76683810924,-86599.07273001014,529917,0,0,0,0,,-126612,,-86457.02523552715,47,Detroit,39,46,48,44,7,4,Detroit
Grand Rapids,-17405.43839776184,193630,193630,193630,193630,193630,193630,193630,193630,Grand Rapids,193630,-17405.43839776184,211035.43839776184,0,0,0,0,0,0,0,,193630,,34786.55258071127,4,Grand Rapids,16,3,29,19,12,4,Grand Rapids
Virginia Beach,-26875.47127154717,-109081.02397313435,-146593,-125365,-125365,-125365,-125365,-125365,-125365,Virginia Beach,-125364,-26875.47127154717,-82204.55270158718,-37511.976026865654,21228,0,0,0,0,0,,-125364,,-31210.450243311032,32,Virginia Beach,24,31,36,17,12,4,Virginia Beach
Hartford,-120906.1610082562,-84198,5952,5952,5952,5952,5952,5952,5952,Hartford,5952,-120906.1610082562,36708.1610082562,90150,0,0,0,0,0,0,,5952,,-38737.16670263511,35,Hartford,50,12,21,19,12,4,Hartford
Honolulu,-84124.66101103494,-117057,-117057,-117057,-117057,-117057,-117057,-117057,-117057,Honolulu,-117057,-84124.66101103494,-32932.33898896506,0,0,0,0,0,0,0,,-117057,,-44448.57136009242,39,Honolulu,45,20,29,19,12,4,Honolulu
Houston,-24876.206290804956,-125572.29673756764,-295187.11795512703,-432335,110984,110984,110984,110984,110984,Houston,110985,-24876.206290804956,-100695.09044676268,-169614.8212175594,-137147.88204487297,543319,0,0,0,0,,110985,,-42533.91291030444,38,Houston,22,33,40,47,6,4,Houston
Indianapolis,-36550.55181646344,-165813.22652186808,177642,188494,188494,188494,188494,188494,188494,Indianapolis,188493.99999999997,-36550.55181646344,-129263.67470540467,343456.2265218681,10852,0,0,0,0,0,,188493.99999999997,,-10921.110059677423,22,Indianapolis,29,38,3,18,12,4,Indianapolis
Riverside,-3903.1927685893024,-50197.28145969735,110542,110542,110542,110542,110542,110542,110542,Riverside,110543,-3903.1927685893024,-46293.088691108045,160739.28145969735,0,0,0,0,0,0,,110543,,3481.7076498220213,15,Riverside,12,23,15,19,12,4,Riverside
Jacksonville,12206.22533680631,51201.25323164396,53340,53340,53340,53340,53340,53340,53340,Jacksonville,53341.000000000015,12206.22533680631,38996.027894837665,2138.746768356039,0,0,0,0,0,0,,53341.000000000015,,13551.795563388345,11,Jacksonville,6,11,28,19,12,4,Jacksonville
Kansas City,38833.50918287411,153396.3781161043,138177.51153109001,120103,120103,120103,120103,120103,120103,Kansas City,120103,38833.50918287411,114562.86893323017,-15218.866585014272,-18074.511531090015,0,0,0,0,0,,120103,,38461.483429457934,3,Kansas City,2,4,34,43,12,4,Kansas City
Las Vegas,10869.000325070112,99493,320747,320747,320747,320747,320747,320747,320747,Las Vegas,320746,10869.000325070112,88622.99967492989,221254,0,0,0,0,0,0,,320746,,42848.14174275899,2,Las Vegas,7,5,6,19,12,4,Las Vegas
Los Angeles,-1349.216382023762,13259.424241310568,40128.13403097214,66725.93640242331,111829.83163060341,-335809.9301491892,-743253,-743253,-743253,Los Angeles,-743254,-1349.216382023762,14608.64062333433,26868.709789661574,26596.802371451166,45103.8952281801,-447639.7617797926,-407443.0698508108,0,0,,-743254,,1500.286022674074,18,Los Angeles,11,14,27,16,10,50,Los Angeles
Louisville,-24452.539570919776,-117582.30367429147,69150,69150,69150,69150,69150,69150,69150,Louisville,69148.99999999999,-24452.539570919776,-93130.76410337171,186732.30367429147,0,0,0,0,0,0,,69148.99999999999,,-12850.038863740378,23,Louisville,20,32,10,19,12,4,Louisville
Memphis,-24623.215803885498,-105970.16790527344,89229,89229,89229,89229,89229,89229,89229,Memphis,89228.99999999999,-24623.215803885498,-81346.95210138796,195199.16790527344,0,0,0,0,0,0,,89228.99999999999,,-9779.521432980124,21,Memphis,21,29,9,19,12,4,Memphis
Milwaukee,-25646.0481906356,-105552.87246055983,8912,8912,8912,8912,8912,8912,8912,Milwaukee,8912.00000000003,-25646.0481906356,-79906.8242699242,114464.87246055983,0,0,0,0,0,0,,8912.00000000003,,-17272.40289815153,24,Milwaukee,23,28,19,19,12,4,Milwaukee
Minneapolis,9031.45540786811,49239.51710616733,119114.353385085,334774,334774,334774,334774,334774,334774,Minneapolis,334774.0000000001,9031.45540786811,40207.06169829925,69875.83627891773,215659.646614915,0,0,0,0,0,,334774.0000000001,,27305.515615400185,5,Minneapolis,8,10,23,8,12,4,Minneapolis
Nashville,13239.989007952056,57103.44297513034,139055,139055,139055,139055,139055,139055,139055,Nashville,139055,13239.989007952056,43863.4539671783,81951.55702486966,0,0,0,0,0,0,,139055,,22239.4666912354,6,Nashville,5,9,22,19,12,4,Nashville
New Orleans,21368.179437959305,26586,26586,26586,26586,26586,26586,26586,26586,New Orleans,26585.99999999997,21368.179437959305,5217.820562040666,0,0,0,0,0,0,0,,26585.99999999997,,10654.801734926094,12,New Orleans,4,15,29,19,12,4,New Orleans
New York,-78282.2212446231,-326695.5231086591,-737739.6809945675,-1311765.3365995153,-2083907.7241644524,-3017600.0973970825,-1513520,-665923,-665923,New York,-665922,-78282.2212446231,-248413.301864036,-411044.1578859084,-574025.6556049478,-772141.3875649371,-933692.3732326301,1504080.0973970825,847597,0,,-665922,,-160871.9863281799,50,New York,42,48,49,49,51,51,New York
Oklahoma City,22627.12412263293,102502.35451166582,-8706,-8706,-8706,-8706,-8706,-8706,-8706,Oklahoma City,-8706,22627.12412263293,79875.23038903289,-111208.35451166582,0,0,0,0,0,0,,-8706,,16204.958822559347,9,Oklahoma City,3,6,38,19,12,4,Oklahoma City
Orlando,-18238.71878481403,-73891.80851274577,107474,260678,260678,260678,260678,260678,260678,Orlando,260676.99999999997,-18238.71878481403,-55654.08972793177,181365.80851274577,153204,0,0,0,0,0,,260676.99999999997,,3266.516096620081,16,Orlando,17,24,12,11,12,4,Orlando
Philadelphia,-118836.99562763842,-517977.4255784239,-1202072.7595336526,-1316177,-440360,-244243,-244243,-244243,-244243,Philadelphia,-244242,-118836.99562763842,-399139.4299507855,-684096.3339552288,-114104.24046634743,875818,196117,0,0,0,,-244242.00000000012,,-183037.56531723336,51,Philadelphia,48,50,51,46,1,3,Philadelphia
Phoenix,-10154.8523041671,-53762.88818430732,-115831.25267269276,406335,406335,406335,406335,406335,406335,Phoenix,406335.00000000006,-10154.8523041671,-43608.0358801402,-62068.364488385385,522166.25267269276,0,0,0,0,0,,406335.00000000006,,2286.7524442747526,17,Phoenix,15,22,37,3,12,4,Phoenix
Pittsburgh,-21344.7411089699,-87587.64968775539,-201311.31043710664,82487,82487,82487,82487,82487,82487,Pittsburgh,82486,-21344.7411089699,-66242.90857878549,-113724.66074935126,283798.31043710664,0,0,0,0,0,,82486,,-21713.646838699693,25,Pittsburgh,18,27,39,7,12,4,Pittsburgh
Portland,-38171.37511700606,-188891.93370311422,13526,152827,152827,152827,152827,152827,152827,Portland,152827,-38171.37511700606,-150720.55858610815,202417.93370311422,139301,0,0,0,0,0,,152827,,-23540.30397799001,27,Portland,31,42,8,12,12,4,Portland
Providence,-81472.1248535213,-143383,84637,84637,84637,84637,84637,84637,84637,Providence,84638,-81472.1248535213,-61909.875146478706,228020,0,0,0,0,0,0,,84638,,-28421.665977367727,30,Providence,43,26,5,19,12,4,Providence
Raleigh,-73652.72840486871,180031,214894,214894,214894,214894,214894,214894,214894,Raleigh,214895,-73652.72840486871,253684.7284048687,34863,0,0,0,0,0,0,,214895.00000000003,,21286.45918032491,7,Raleigh,41,2,26,19,12,4,Raleigh
Rochester,-97018.62123334655,-26283,-26283,-26283,-26283,-26283,-26283,-26283,-26283,Rochester,-26283.00000000003,-97018.62123334655,70735.62123334652,0,0,0,0,0,0,0,,-26283.00000000003,,-29312.00095365921,31,Rochester,46,7,29,19,12,4,Rochester
Sacramento,-54278.41529699377,-216635.0488804049,-100758,-100758,-100758,-100758,-100758,-100758,-100758,Sacramento,-100757.99999999997,-54278.41529699377,-162356.6335834111,115877.04888040491,0,0,0,0,0,0,,-100757.99999999997,,-46655.97440549985,41,Sacramento,38,43,18,19,12,4,Sacramento
Salt Lake City,-24268.917224376783,-538,131947,131947,131947,131947,131947,131947,131947,Salt Lake City,131947.00000000003,-24268.917224376783,23730.91722437681,132485,0,0,0,0,0,0,,131947.00000000003,,5905.230161293071,14,Salt Lake City,19,13,16,19,12,4,Salt Lake City
San Antonio,-6889.3728551608365,-28171.427479098435,66304,66304,66304,66304,66304,66304,66304,San Antonio,66304.00000000001,-6889.3728551608365,-21282.054623937584,94475.42747909843,0,0,0,0,0,0,,66304.00000000001,,1178.2499242743534,19,San Antonio,13,18,20,19,12,4,San Antonio
San Diego,-39211.090652210565,-163013.90887911152,-350647.44394702336,-148684,-148684,-148684,-148684,-148684,-148684,San Diego,-148684,-39211.090652210565,-123802.81822690094,-187633.53506791184,201963.44394702336,0,0,0,0,0,,-148684,,-51403.29183407707,44,San Diego,32,37,43,9,12,4,San Diego
San Francisco,114849.60771851572,464184.19564861764,1038180.8038161511,248789.44345927075,78112,78112,78112,78112,78112,San Francisco,78112,114849.60771851572,349334.5879301019,573996.6081675335,-789391.3603568804,-170677.44345927075,0,0,0,0,,78112.00000000004,,138903.09160115928,1,San Francisco,1,1,1,51,50,4,San Francisco
San Jose,7813.717389994097,56726.58033415652,96635,96635,96635,96635,96635,96635,96635,San Jose,96634.00000000003,7813.717389994097,48911.86294416245,39908.41966584348,0,0,0,0,0,0,,96634.00000000003,,17006.47450890924,8,San Jose,9,8,25,19,12,4,San Jose
Seattle,-29282.326952967065,-110748.97806937766,-286272.5340848048,154622,173377,173377,173377,173377,173377,Seattle,173376.99999999988,-29282.326952967065,-81465.65111641062,-175524.55601542722,440894.5340848048,18755,0,0,0,0,,173376.9999999999,,-27212.914668371843,29,Seattle,25,30,41,4,11,4,Seattle
Miami,-175165.826662905,-739375.7791264467,-558172,9849,9849,9849,9849,9849,9849,Miami,9849,-175165.826662905,-564209.9524635416,181203.7791264467,568021,0,0,0,0,0,,9849.000000000058,,-153026.8804268454,49,Miami,51,51,13,2,12,4,Miami
St. Louis,-32801.37359124416,-149417.73430719285,-345354.6440254252,76285,76285,76285,76285,76285,76285,St. Louis,76284,-32801.37359124416,-116617.36071594869,-195936.90971823235,421639.6440254252,0,0,0,0,0,,76284,,-38871.280532012825,36,St. Louis,26,35,44,5,12,4,St. Louis
Tampa Bay,-33396.31978165914,-136759.31324181554,-314900.0085215026,57591,128201,128201,128201,128201,128201,Tampa Bay,128201,-33396.31978165914,-103362.99346015637,-178140.69527968706,372491.0085215026,70610,0,0,0,0,,128201.00000000003,,-35558.299783862036,33,Tampa Bay,27,34,42,6,9,4,Tampa Bay
Washington,-46798.77216503282,-193767.49229908513,-452106.9811851359,-665019,64286,64286,64286,64286,64286,Washington,64286,-46798.77216503282,-146968.72013405233,-258339.48888605076,-212912.0188148641,729305,0,0,0,0,,64285.999999999985,,-69457.62247427265,46,Washington,35,41,46,48,2,4,Washington
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,,,,0.8092510253174099,,,TIME COHORT,,,,,,
Beta,-0.08,,,,,,,,,,,,,,,,,,,,,,,,Weighted Average,Rank,10,20,30,40,50,60,Weighted Average
,,,,,,,,,,,,,,,,,,,,,,,,,San Francisco,1,San Francisco,San Francisco,San Francisco,Boston,Philadelphia,Chicago,San Francisco
"Source of Beta: Levinson, David and Ajay Kumar (1995) A Multi-modal Trip Distribution Model. Transportation Research Record #1466: 124-131.",,,,,,,,,,,,,,,,,,,,,,,,,Las Vegas,2,Kansas City,Raleigh,Charlotte,Miami,Washington,Atlanta,Las Vegas
,,,,,,,,,,,,,,,,,,,,,,,,,Kansas City,3,Oklahoma City,Grand Rapids,Indianapolis,Phoenix,Boston,Philadelphia,Kansas City
,,,,,,,,,,,,,,,,,,,,,,,,,Grand Rapids,4,New Orleans,Kansas City,Cincinnati,Seattle,Atlanta,Austin,Grand Rapids
,,,,,,,,,,,,,,,,,,,,,,,,,Minneapolis,5,Nashville,Las Vegas,Providence,St. Louis,Dallas-Fort Worth,#N/A,Minneapolis
,,,,,,,,,,,,,,,,,,,,,,,,,Nashville,6,Jacksonville,Oklahoma City,Las Vegas,Tampa Bay,Houston,#N/A,Nashville
,,,,,,,,,,,,,,,,,,,,,,,,,Raleigh,7,Las Vegas,Rochester,Austin,Pittsburgh,Detroit,#N/A,Raleigh
,,,,,,,,,,,,,,,,,,,,,,,,,San Jose,8,Minneapolis,San Jose,Portland,Minneapolis,Chicago,#N/A,San Jose
,,,,,,,,,,,,,,,,,,,,,,,,,Oklahoma City,9,San Jose,Nashville,Memphis,San Diego,Tampa Bay,#N/A,Oklahoma City
,,,,,,,,,,,,,,,,,,,,,,,,,Dallas-Fort Worth,10,Dallas-Fort Worth,Minneapolis,Louisville,Denver,Los Angeles,#N/A,Dallas-Fort Worth
,,,,,,,,,,,,,,,,,,,,,,,,,Jacksonville,11,Los Angeles,Jacksonville,Denver,Orlando,Seattle,#N/A,Jacksonville
,,,,,,,,,,,,,,,,,,,,,,,,,New Orleans,12,Riverside,Hartford,Orlando,Portland,Austin,#N/A,New Orleans
,,,,,,,,,,,,,,,,,,,,,,,,,Austin,13,San Antonio,Salt Lake City,Miami,Baltimore,#N/A,#N/A,Austin
,,,,,,,,,,,,,,,,,,,,,,,,,Salt Lake City,14,Austin,Los Angeles,Columbus,Dallas-Fort Worth,#N/A,#N/A,Salt Lake City
,,,,,,,,,,,,,,,,,,,,,,,,,Riverside,15,Phoenix,New Orleans,Riverside,Cincinnati,#N/A,#N/A,Riverside
,,,,,,,,,,,,,,,,,,,,,,,,,Orlando,16,Grand Rapids,Dallas-Fort Worth,Salt Lake City,Los Angeles,#N/A,#N/A,Orlando
,,,,,,,,,,,,,,,,,,,,,,,,,Phoenix,17,Orlando,Buffalo,Cleveland,Virginia Beach,#N/A,#N/A,Phoenix
,,,,,,,,,,,,,,,,,,,,,,,,,Los Angeles,18,Pittsburgh,San Antonio,Sacramento,Indianapolis,#N/A,#N/A,Los Angeles
,,,,,,,,,,,,,,,,,,,,,,,,,San Antonio,19,Salt Lake City,Austin,Milwaukee,Austin,#N/A,#N/A,San Antonio
,,,,,,,,,,,,,,,,,,,,,,,,,Columbus,20,Louisville,Honolulu,San Antonio,#N/A,#N/A,#N/A,Columbus
,,,,,,,,,,,,,,,,,,,,,,,,,Memphis,21,Memphis,Columbus,Hartford,#N/A,#N/A,#N/A,Memphis
,,,,,,,,,,,,,,,,,,,,,,,,,Indianapolis,22,Houston,Phoenix,Nashville,#N/A,#N/A,#N/A,Indianapolis
,,,,,,,,,,,,,,,,,,,,,,,,,Louisville,23,Milwaukee,Riverside,Minneapolis,#N/A,#N/A,#N/A,Louisville
,,,,,,,,,,,,,,,,,,,,,,,,,Milwaukee,24,Virginia Beach,Orlando,Buffalo,#N/A,#N/A,#N/A,Milwaukee
,,,,,,,,,,,,,,,,,,,,,,,,,Pittsburgh,25,Seattle,Charlotte,San Jose,#N/A,#N/A,#N/A,Pittsburgh
,,,,,,,,,,,,,,,,,,,,,,,,,Cincinnati,26,St. Louis,Providence,Raleigh,#N/A,#N/A,#N/A,Cincinnati
,,,,,,,,,,,,,,,,,,,,,,,,,Portland,27,Tampa Bay,Pittsburgh,Los Angeles,#N/A,#N/A,#N/A,Portland
,,,,,,,,,,,,,,,,,,,,,,,,,Charlotte,28,Atlanta,Milwaukee,Jacksonville,#N/A,#N/A,#N/A,Charlotte
,,,,,,,,,,,,,,,,,,,,,,,,,Seattle,29,Indianapolis,Memphis,Grand Rapids,#N/A,#N/A,#N/A,Seattle
,,,,,,,,,,,,,,,,,,,,,,,,,Providence,30,Columbus,Seattle,#N/A,#N/A,#N/A,#N/A,Providence
,,,,,,,,,,,,,,,,,,,,,,,,,Rochester,31,Portland,Virginia Beach,#N/A,#N/A,#N/A,#N/A,Rochester
,,,,,,,,,,,,,,,,,,,,,,,,,Virginia Beach,32,San Diego,Louisville,#N/A,#N/A,#N/A,#N/A,Virginia Beach
,,,,,,,,,,,,,,,,,,,,,,,,,Tampa Bay,33,Baltimore,Houston,Dallas-Fort Worth,#N/A,#N/A,#N/A,Tampa Bay
,,,,,,,,,,,,,,,,,,,,,,,,,Denver,34,Cincinnati,Tampa Bay,Kansas City,#N/A,#N/A,#N/A,Denver
,,,,,,,,,,,,,,,,,,,,,,,,,Hartford,35,Washington,St. Louis,Baltimore,#N/A,#N/A,#N/A,Hartford
,,,,,,,,,,,,,,,,,,,,,,,,,St. Louis,36,Boston,Atlanta,Virginia Beach,#N/A,#N/A,#N/A,St. Louis
,,,,,,,,,,,,,,,,,,,,,,,,,Boston,37,Denver,San Diego,Phoenix,#N/A,#N/A,#N/A,Boston
,,,,,,,,,,,,,,,,,,,,,,,,,Houston,38,Sacramento,Indianapolis,Oklahoma City,#N/A,#N/A,#N/A,Houston
,,,,,,,,,,,,,,,,,,,,,,,,,Honolulu,39,Detroit,Cincinnati,Pittsburgh,#N/A,#N/A,#N/A,Honolulu
,,,,,,,,,,,,,,,,,,,,,,,,,Baltimore,40,Cleveland,Baltimore,Houston,#N/A,#N/A,#N/A,Baltimore
,,,,,,,,,,,,,,,,,,,,,,,,,Sacramento,41,Raleigh,Washington,Seattle,#N/A,#N/A,#N/A,Sacramento
,,,,,,,,,,,,,,,,,,,,,,,,,Atlanta,42,New York,Portland,Tampa Bay,#N/A,#N/A,#N/A,Atlanta
,,,,,,,,,,,,,,,,,,,,,,,,,Buffalo,43,Providence,Sacramento,San Diego,Kansas City,#N/A,#N/A,Buffalo
,,,,,,,,,,,,,,,,,,,,,,,,,San Diego,44,Chicago,Denver,St. Louis,Detroit,#N/A,#N/A,San Diego
,,,,,,,,,,,,,,,,,,,,,,,,,Cleveland,45,Honolulu,Boston,Atlanta,Atlanta,#N/A,#N/A,Cleveland
,,,,,,,,,,,,,,,,,,,,,,,,,Washington,46,Rochester,Detroit,Washington,Philadelphia,#N/A,#N/A,Washington
,,,,,,,,,,,,,,,,,,,,,,,,,Detroit,47,Charlotte,Cleveland,Boston,Houston,#N/A,#N/A,Detroit
,,,,,,,,,,,,,,,,,,,,,,,,,Chicago,48,Philadelphia,New York,Detroit,Washington,#N/A,#N/A,Chicago
,,,,,,,,,,,,,,,,,,,,,,,,,Miami,49,Buffalo,Chicago,New York,New York,#N/A,#N/A,Miami
,,,,,,,,,,,,,,,,,,,,,,,,,New York,50,Hartford,Philadelphia,Chicago,Chicago,San Francisco,Los Angeles,New York
,,,,,,,,,,,,,,,,,,,,,,,,,Philadelphia,51,Miami,Miami,Philadelphia,San Francisco,New York,New York,Philadelphia
