1,Network Speed (congested) [km/h],Network Speed (freeflow) [km/h],60 Minute Distance,Circuity [ ],Average Airline Speed [km/h],Airline Radius [km],Area covered in $A$1$ hrs [km2],Urbanized area density [people/km2],Area [km2],Population,Accessibility,"MinPA,P",.,Employment Density,Employment,Employment Accessibility,"Min EA, E",,,,,Accessibility Ratio
Grand Rapids,67.78467421688788,73.48493042683263,73484.93042683264,1.2335421845251597,54.95124128485394,54.95124128485394,9486.475443627003,784.2973750588556,726.682274,569935,7440217.788996951,569935,.,438.1103150453344,318367,4156122.745277255,318367,,,,,0.5586022967531385
Virginia Beach,64.71536663352344,75.51148714210532,75511.48714210532,1.3154823264242705,49.19516236256251,49.19516236256251,7603.169442502001,1078.4020248075806,1334.999348,1439666,8199273.321749282,1439666,.,444.7919775313628,593797,3381828.7718364946,593797,,,,,0.412454694352718
Hartford,63.83101673639741,74.74296813468234,74742.96813468235,1.222907563059109,52.1961092273596,52.1961092273596,8559.061269310932,691.7059567557736,1337.06959,924859,5920353.664220004,924859,.,395.88290987905873,529323,3388386.081127962,529323,,,,,0.5723283224794267
Honolulu,54.71093280537417,67.86037611584707,67860.37611584707,1.4453004287893763,37.854366964522086,37.854366964522086,4501.75492650995,1820.7093992818395,440.739747,802459,8196387.507959992,802459,.,762.2049118252091,335934,3431259.716819217,335934,,,,,0.41863073378203747
Houston,66.693022833823,78.91617432556015,78916.17432556015,1.2531681942574937,53.21953041853159,53.21953041853159,8897.990734518504,1149.9995031423985,4299.420988,4944332,10232684.923661944,4944332,.,506.2465401910998,2176567,4504577.024002455,2176567,,,,,0.4402145729696145
Indianapolis,62.662263546111326,72.3337016692045,72333.7016692045,1.1942370623952343,52.47053999515983,52.47053999515983,8649.299587867676,813.7826434009975,1827.862774,1487483,7038649.882182115,1487483,.,406.4413426256472,742919,3515432.9372643954,742919,,,,,0.49944705250412946
Inland Empire2,72.10742814017156,84.09990192548348,84099.90192548349,1.3458390291766396,53.57804802576249,53.57804802576249,9018.278585898008,1369.2709398652264,1411.456231,1932666,12348466.79527901,1932666,.,678.2541172543097,957326,6116684.581431697,957326,,,,,0.49533959825443197
Jacksonville,69.12706830003765,78.49714718776768,78497.14718776768,1.291552719838574,53.522451881544235,53.522451881544235,8999.572365648048,775.485851329188,1373.615003,1065219,6979041.037573211,1065219,.,626.5511064747741,860640,5638692.023496584,860640,,,,,0.8079465349378859
Kansas City,67.81228876979557,74.59272660637487,74592.72660637487,1.2416589206724986,54.61426454623106,54.61426454623106,9370.48461700465,865.4747964993128,1755.587807,1519417,8109918.26700204,1519417,.,528.9493332645366,928617,4956511.5905302055,928617,,,,,0.6111666514195906
Las Vegas,62.45400827588758,72.98090363429576,72980.90363429576,1.3134289998384046,47.550349720899646,47.550349720899646,7103.253328658317,1746.9193703498715,1079.621093,1886011,12408810.832335416,1886011,.,677.9007975532394,731876,4815301.096720175,731876,,,,,0.38805500073965626
Los Angeles2,67.71265423726469,83.33378992309329,83333.7899230933,1.234819235892737,54.836086342881174,54.836086342881174,9446.757690924162,2702.463769306689,4496.266014,12150996,25529520.397141863,12150996,.,1079.1963787042962,4852354,10194906.690542314,4852354,,,,,0.39933796373564767
Louisville,69.76239089959542,80.63340522748912,80633.40522748911,1.3030928137601026,53.536010760656815,53.536010760656815,9004.132678776703,787.6776339629688,1234.70054,972546,7092353.924307481,972546,.,417.10518730314965,515000,3755670.447483567,515000,,,,,0.5295379344524578
Memphis,66.0117975254536,76.86486532283301,76864.86532283301,1.2434385553193854,53.088105755654354,53.088105755654354,8854.09814477531,823.0143769923415,1288.022457,1060061,7287050.0684512975,1060061,.,395.30832496967867,509166,3500098.706728267,509166,,,,,0.48031764209795474
Milwaukee,66.57502481511119,73.72364096292551,73723.64096292552,1.1641474476052645,57.187794340021824,57.187794340021824,10274.402283529118,974.0478763670035,1413.15025,1376476,10007759.725211829,1376476,.,521.7272544090765,737279,5360435.694079993,737279,,,,,0.5356279368474278
Minneapolis-St.Paul,72.35417413894163,80.92665935101023,80926.65935101022,1.2240781563469771,59.109113060940956,59.109113060940956,10976.370507178486,1001.6752173390063,2646.45661,2650890,10994758.313371468,2650890,.,594.1457698790686,1572381,6521564.105465463,1572381,,,,,0.5931521111777553
Nashville,66.5094342428732,79.19224446351299,79192.244463513,1.2671990831726268,52.485386965682345,52.485386965682345,8654.195061182792,664.384827305228,1459.375591,969587,5749715.891189686,969587,.,447.40709932841406,652935,3871948.30934608,652935,,,,,0.6734155882865591
New Orleans,70.11391631549093,78.21449678598356,78214.49678598356,1.3385224152730324,52.381578011294685,52.381578011294685,8619.995275198824,1381.8089483990395,651.105206,899703,11911186.606427176,899703,.,685.1227664734722,446087,5905755.009932478,446087,,,,,0.49581584144990076
New York,60.63606006157278,75.64626217318956,75646.26217318955,1.208396652771828,50.17893745607901,50.17893745607901,7910.297083161439,2053.640698283641,8935.98136,18351295,16244908.025494708,16244908.025494708,.,813.9335465220801,7273295,6438456.158940855,6438456.158940855,,,,,0.39633687976788556
Oklahoma City,62.746727907823015,70.34379555446684,70343.79555446684,1.2344875734787604,50.828156763866026,50.828156763866026,8116.309395808202,810.0396797726283,1063.53432,861505,6574532.66391605,861505,.,425.70699552037024,452754,3455169.687603261,452754,,,,,0.5255384472521923
Orlando,63.67703994300269,76.27854176282709,76278.5417628271,1.3109961293844155,48.571493474128374,48.571493474128374,7411.613904272863,975.7775860793671,1548.012602,1510516,7232086.724463647,1510516,.,552.8792200362203,855864,4097727.314603986,855864,,,,,0.5666037301160662
Philadelphia,57.5831982772522,70.0901022214275,70090.1022214275,1.1653283208068956,49.4137122123493,49.4137122123493,7670.873763547022,1060.3784681288619,5131.721516,5441567,8134029.370599868,5441567,.,471.8866743742453,2421591,3619783.109824855,2421591,,,,,0.445017216548101
Phoenix,65.52311377460158,75.05827255325492,75058.27255325492,1.2712116017778166,51.543829275130996,51.543829275130996,8346.477604562511,1222.0875996258867,2969.60218,3629114,10200126.78109102,3629114,.,489.41201949144585,1453359,4084866.460089064,1453359,,,,,0.40047212625450734
Pittsburgh,59.80744482262588,71.24156349899795,71241.56349899794,1.2535936164248203,47.708798161555265,47.708798161555265,7150.671470837673,739.5753515526226,2344.389921,1733853,5288460.366882081,1733853,.,439.74681462555225,1030938,3144485.001734679,1030938,,,,,0.5945936593240603
Portland,58.33103065050781,69.29589065244727,69295.89065244727,1.4297790976947944,40.79723276452553,40.79723276452553,5228.911427155142,1362.0759506608479,1358.145997,1849898,7122174.50306371,1849898,.,641.1637643695827,870794,3352588.5341899176,870794,,,,,0.470725412968715
Providence,61.333480923569354,68.9471086871926,68947.1086871926,1.2346713669311957,49.67595634457381,49.67595634457381,7752.510197949567,843.6559568888318,1411.660749,1190956,6540451.409341569,1190956,.,418.3023438303448,590501,3242893.186370954,590501,,,,,0.4958210043024259
Raleigh,70.88814311356755,80.32960797886341,80329.60797886341,1.1953550018287182,59.30300455104891,59.30300455104891,11048.498653136763,659.394274407944,1341.975559,884891,7285316.752682262,884891,.,305.9794921346999,410617,3380614.0067377025,410617,,,,,0.4640311631602084
Rochester,64.0446957598947,72.19612416499113,72196.12416499114,1.2027779213679537,53.24731575306507,53.24731575306507,8907.2842471174,857.4454035556953,840.370707,720572,7637509.935854867,720572,.,493.93082902876574,415085,4399582.292573564,415085,,,,,0.5760493052741434
Sacramento,69.85125988721772,81.45538801610311,81455.38801610311,1.3967267442968094,50.01068403138852,50.01068403138852,7857.338480034745,1413.0147860308737,1219.827292,1723634,11102535.451138444,1723634,.,509.14420760475986,621068,4000518.3742996785,621068,,,,,0.36032475571960176
Salt Lake City,64.533357950474,73.63082092404174,73630.82092404175,1.389992556329186,46.42712484799152,46.42712484799152,6771.633603633752,1418.9468389746553,719.719,1021243,9608588.096570665,1021243,.,731.0589271646295,526157,4950463.197424444,526157,,,,,0.5152123441727385
San Antonio,70.32926978564988,78.44122099660329,78441.2209966033,1.2757965860482567,55.12577048312441,55.12577048312441,9546.830630335786,1136.9073371227814,1546.484874,1758210,10853861.789897263,1758210,.,464.39186834232174,718175,4433470.513169341,718175,,,,,0.40846940922870417
San Diego,74.20890235679654,85.35836948386564,85358.36948386564,1.3922798957924276,53.30027574273055,53.30027574273055,8925.011498420054,1558.6954968295993,1896.936256,2956746,13911375.231739732,2956746,.,580.5803945791629,1101324,5181686.69737628,1101324,,,,,0.37247839347715356
San Francisco1,72.54220040456146,85.18341725224566,85183.41725224566,1.3884703455577154,52.24612872478957,52.24612872478957,8575.473415083281,2419.4675820015173,1356.171095,3281212,20748079.92810984,3281212,.,1303.5176804148005,1767793,11178281.214488145,1767793,,,,,0.5387622012841596
San Jose1,67.91398003597122,78.19454265262493,78194.54265262494,1.400679724544437,48.486444721015616,48.486444721015616,7385.681135667535,2247.211920874815,740.693828,1664496,16597190.691852327,1664496,.,1157.0664795656971,857032,8545724.070841614,857032,,,,,0.5148897924657073
Seattle,59.237163329958236,69.52987656850078,69529.87656850078,1.405297756277678,42.15274881450344,42.15274881450344,5582.15220369459,1169.1810890127867,2616.697301,3059393,6526546.792550768,3059393,.,548.6931940699853,1435764,3062888.922429992,1435764,,,,,0.4692970141462702
South Florida,59.3962086848502,72.01367449916108,72013.67449916109,1.2361288587570294,48.050175565494975,48.050175565494975,7253.369977147956,1715.2084870415904,3207.994271,5502379,12441041.74445684,5502379,.,567.6160386135552,1820909,4117129.1330272164,1820909,,,,,0.33093122084102167
St. Louis,55.946693712217225,67.15525630651524,67155.25630651524,1.313394987102012,42.59700566975882,42.59700566975882,5700.435238702509,899.0472029916936,2392.205874,2150706,5124960.357190778,2150706,.,488.93826936569087,1169641,2787160.9402424037,1169641,,,,,0.5438404877282158
Tampa Bay,65.03700942892235,76.22383170739074,76223.83170739074,1.264854950694025,51.41855150524302,51.41855150524302,8305.954523105112,985.1457564595692,2478.587543,2441770,8182575.851783166,2441770,.,376.1138082989228,932231,3123984.187242727,932231,,,,,0.38178493469900937
Washington2,60.64773014173051,74.54500532214232,74545.00532214231,1.271908405391577,47.68246666556084,47.68246666556084,7142.780435036642,1339.8831695910785,3423.26115,4586770,9570491.28899004,4586770,.,692.4774056457832,2370531,4946214.0647516325,2370531,,,,,0.5168192431711204
