Area,MinA_E(10),MinA_E(20),MinA_E(30),MinA_E(40),MinA_E(50),MinA_E(60),MinA_E(70),MinA_E(80),MinA_E(90),Area,Total,,MinA_E(10),MinA_E(20-10),MinA_E(30-20),MinA_E(40-30),MinA_E(50-40),MinA_E(60-50),MinA_E(70-60),MinA_E(80-70),MinA_E(90-80),,SUM,,Weighted Employment Accessibility,Rank,Area,10,20,30,40,50,60,Area,
Detroit,-46885.189525653695,-201053.42433933448,-467182.72276398074,-578902,-578902,-578902,-578902,-578902,-578902,Detroit,-578902,,-46885.189525653695,-154168.23481368076,-266129.29842464626,-111719.27723601926,0,0,0,0,0,,-578902,,-80889.53266670759,46,Detroit,36,43,46,46,10,3,Detroit,
Grand Rapids,-43129.23522653147,-18968,-18968,-18968,-18968,-18968,-18968,-18968,-18968,Grand Rapids,-18968.000000000015,,-43129.23522653147,24161.235226531455,0,0,0,0,0,0,0,,-18968.000000000015,,-14501.145324818859,25,Grand Rapids,33,16,29,15,10,3,Grand Rapids,
Virginia Beach,3635.748041195795,23539.779141838313,-105202,-105202,-105202,-105202,-105202,-105202,-105202,Virginia Beach,-105201.99999999997,,3635.748041195795,19904.031100642547,-128741.77914183831,0,0,0,0,0,0,,-105201.99999999997,,-6026.989232166368,20,Virginia Beach,15,17,42,15,10,3,Virginia Beach,
Hartford,-151318.41428248768,-213872.88518613233,-32646,-32646,-32646,-32646,-32646,-32646,-32646,Hartford,-32645.99999999997,,-151318.41428248768,-62554.47090364463,181226.88518613233,0,0,0,0,0,0,,-32645.99999999997,,-64180.74409675333,44,Hartford,50,30,14,15,10,3,Hartford,
Honolulu,-108699.43480928426,-101584,-101584,-101584,-101584,-101584,-101584,-101584,-101584,Honolulu,-101584,,-108699.43480928426,7115.434809284256,0,0,0,0,0,0,0,,-101584,,-47405.222930970696,40,Honolulu,43,20,29,15,10,3,Honolulu,
Houston,-1139.7573877075047,7641.9231638154015,19918.556952465326,148908.58960266178,416771,416771,416771,416771,416771,Houston,416771,,-1139.7573877075047,8781.680551522935,12276.633788649924,128990.03265019646,267862.4103973382,0,0,0,0,,416771,,12538.565012487257,16,Houston,18,19,27,8,6,3,Houston,
Indianapolis,-35410.459149895614,-158868.27182816569,117948,117948,117948,117948,117948,117948,117948,Indianapolis,117947.99999999997,,-35410.459149895614,-123457.8126782701,276816.2718281657,0,0,0,0,0,0,,117947.99999999997,,-15724.44181026009,27,Indianapolis,31,39,4,15,10,3,Indianapolis,
Riverside,38897.84974587508,138412.64556998137,190373,190373,190373,190373,190373,190373,190373,Riverside,190373.00000000003,,38897.84974587508,99514.79582410632,51960.35443001863,0,0,0,0,0,0,,190373.00000000003,,42283.358304621266,7,Riverside,7,8,21,15,10,3,Riverside,
Jacksonville,87166.20735456543,364936.50351592875,416758,416758,416758,416758,416758,416758,416758,Jacksonville,416758,,87166.20735456543,277770.29616136337,51821.49648407122,0,0,0,0,0,0,,416758.00000000006,,99948.2973514067,3,Jacksonville,3,3,22,15,10,3,Jacksonville,
Kansas City,42030.30365876296,176226.6630288827,175382.51153109001,157308,157308,157308,157308,157308,157308,Kansas City,157308,,42030.30365876296,134196.35937011975,-844.1514977926854,-18074.511531090015,0,0,0,0,0,,157308,,45165.873866925285,6,Kansas City,6,6,34,43,10,3,Kansas City,
Las Vegas,24039.5594559031,156746.721026566,360748,360748,360748,360748,360748,360748,360748,Las Vegas,360748,,24039.5594559031,132707.16157066287,204001.278973434,0,0,0,0,0,0,,360748,,56101.36267911867,5,Las Vegas,9,7,12,15,10,3,Las Vegas,
Los Angeles,94610.78749106074,468708.7422014902,1093440.34508716,1985476.2019764418,929279.8316306034,-782292.9301491892,-1189736,-1189736,-1189736,Los Angeles,-1189736,,94610.78749106074,374097.95471042953,624731.6028856697,892035.8568892819,-1056196.3703458384,-1711572.7617797926,-407443.0698508108,0,0,,-1189736,,176138.77036135033,1,Los Angeles,2,2,1,1,51,51,Los Angeles,
Louisville,-11046.301592510034,-51105.69536181359,68124,68124,68124,68124,68124,68124,68124,Louisville,68123.99999999999,,-11046.301592510034,-40059.39376930357,119229.69536181359,0,0,0,0,0,0,,68123.99999999999,,-2235.001432344243,19,Louisville,22,29,18,15,10,3,Louisville,
Memphis,-22507.740760310495,-88423.72735740244,60929,60929,60929,60929,60929,60929,60929,Memphis,60929,,-22507.740760310495,-65915.98659709195,149352.72735740244,0,0,0,0,0,0,,60929,,-9872.614270529319,22,Memphis,27,31,15,15,10,3,Memphis,
Milwaukee,-5061.366371202515,-17451.368617709843,-35473,-35473,-35473,-35473,-35473,-35473,-35473,Milwaukee,-35473,,-5061.366371202515,-12390.002246507327,-18021.631382290157,0,0,0,0,0,0,,-35473,,-6410.602334043563,21,Milwaukee,19,25,36,15,10,3,Milwaukee,
Minneapolis,52234.16821284176,239735.22843453666,571183.658114762,264757,264757,264757,264757,264757,264757,Minneapolis,264757.0000000001,,52234.16821284176,187501.06022169493,331448.42968022544,-306426.65811476205,0,0,0,0,0,,264757.0000000001,,78903.83309276408,4,Minneapolis,5,4,3,49,10,3,Minneapolis,
Nashville,12509.127961286547,68140.25229348958,157218,157218,157218,157218,157218,157218,157218,Nashville,157218.00000000003,,12509.127961286547,55631.124332203064,89077.74770651042,0,0,0,0,0,0,,157218.00000000003,,24933.394759219485,10,Nashville,13,12,19,15,10,3,Nashville,
New Orleans,15534.18320392081,-68639,-68639,-68639,-68639,-68639,-68639,-68639,-68639,New Orleans,-68639.00000000003,,15534.18320392081,-84173.18320392084,0,0,0,0,0,0,0,,-68639.00000000003,,-10014.314149972946,23,New Orleans,11,34,29,15,10,3,New Orleans,
New York,-43486.99201618496,-176964.28771257307,-396884.4115779607,-699665.5778324488,-1135038.2847445616,-1679160.938456227,-1277178,-1277178,-1277178,New York,-1277178,,-43486.99201618496,-133477.29569638812,-219920.12386538764,-302781.16625448805,-435372.7069121129,-544122.6537116654,401982.9384562271,0,0,,-1277178,,-89746.94045428414,47,New York,34,41,44,48,50,50,New York,
Oklahoma City,16022.388576383586,70820.09884096507,2632,2632,2632,2632,2632,2632,2632,Oklahoma City,2632.000000000029,,16022.388576383586,54797.71026458152,-68188.09884096507,0,0,0,0,0,0,,2632.000000000029,,12076.905392660521,17,Oklahoma City,10,13,39,15,10,3,Oklahoma City,
Orlando,13021.132927584826,59352.17954262992,298416,298416,298416,298416,298416,298416,298416,Orlando,298415.99999999994,,13021.132927584826,46331.04661504505,239063.82045737008,0,0,0,0,0,0,,298415.99999999994,,36892.22965405019,9,Orlando,12,15,7,15,10,3,Orlando,
Philadelphia,-113835.99477289905,-492240.2789935403,-1158494.7180506769,-1240451.4748363285,-373326,-373326,-373326,-373326,-373326,Philadelphia,-373326,,-113835.99477289905,-378404.28422064125,-666254.4390571365,-81956.75678565179,867125.4748363285,0,0,0,0,,-373326.0000000001,,-175448.33703939433,51,Philadelphia,44,49,51,45,2,3,Philadelphia,
Phoenix,4033.4020399888395,3927.4866730657523,31222.777726915432,456864,456864,456864,456864,456864,456864,Phoenix,456864.00000000006,,4033.4020399888395,-105.91536692308728,27295.291053849738,425641.22227308457,0,0,0,0,0,,456864.00000000006,,21617.18767945322,12,Phoenix,14,23,25,5,10,3,Phoenix,
Pittsburgh,-22001.888025028442,-94999.8502242458,-221895.15986142226,74784,74784,74784,74784,74784,74784,Pittsburgh,74784,,-22001.888025028442,-72997.96219921735,-126895.30963717645,296679.15986142226,0,0,0,0,0,,74784.00000000001,,-24042.50628554589,30,Pittsburgh,26,32,41,7,10,3,Pittsburgh,
Portland,-35276.31560675247,-159912.61836024805,65013.41226483369,146262,146262,146262,146262,146262,146262,Portland,146262,,-35276.31560675247,-124636.30275349558,224926.03062508174,81248.58773516631,0,0,0,0,0,,146262,,-17297.605245078536,29,Portland,30,40,9,12,10,3,Portland,
Providence,-98801.6756104732,-209043.98763711547,45833,45833,45833,45833,45833,45833,45833,Providence,45833,,-98801.6756104732,-110242.31202664226,254876.98763711547,0,0,0,0,0,0,,45833,,-43530.07482994905,38,Providence,42,37,5,15,10,3,Providence,
Raleigh,-131800.7701276365,-74236.50187414343,10916,10916,10916,10916,10916,10916,10916,Raleigh,10916,,-131800.7701276365,57564.268253493065,85152.50187414343,0,0,0,0,0,0,,10916,,-39875.01750251726,36,Raleigh,49,10,20,15,10,3,Raleigh,
Rochester,-114244.45660048247,-66382,-66382,-66382,-66382,-66382,-66382,-66382,-66382,Rochester,-66382.00000000001,,-114244.45660048247,47862.45660048246,0,0,0,0,0,0,0,,-66382.00000000001,,-41670.08001012195,37,Rochester,45,14,29,15,10,3,Rochester,
Sacramento,-18273.93887590473,-55406.65472542244,-64877,-64877,-64877,-64877,-64877,-64877,-64877,Sacramento,-64876.999999999956,,-18273.93887590473,-37132.71584951767,-9470.345274577558,0,0,0,0,0,0,,-64876.999999999956,,-16567.106399408,28,Sacramento,25,27,35,15,10,3,Sacramento,
Salt Lake City,-9488.175576132082,46819,46819,46819,46819,46819,46819,46819,46819,Salt Lake City,46819.00000000006,,-9488.175576132082,56307.17557613214,0,0,0,0,0,0,0,,46819.00000000006,,7104.910583949033,18,Salt Lake City,21,11,29,15,10,3,Salt Lake City,
San Antonio,1386.6579060381482,17535.601922669855,149026,149026,149026,149026,149026,149026,149026,San Antonio,149026,,1386.6579060381482,16148.944016631693,131490.39807733014,0,0,0,0,0,0,,149026,,15812.020917539132,14,San Antonio,16,18,17,15,10,3,San Antonio,
San Diego,27479.316928607805,123738.41821632476,137741.55605297664,-129122,-129122,-129122,-129122,-129122,-129122,San Diego,-129122,,27479.316928607805,96259.10128771694,14003.137836651877,-266863.55605297664,0,0,0,0,0,,-129122.00000000001,,22174.019683412065,11,San Diego,8,9,26,47,10,3,San Diego,
San Francisco,172777.6238002234,721115.2513851207,757474.8038161511,-31916.556540729245,-202594,-202594,-202594,-202594,-202594,San Francisco,-202594,,172777.6238002234,548337.6275848973,36359.55243103043,-789391.3603568804,-170677.44345927075,0,0,0,0,,-202593.99999999994,,156336.51452821292,2,San Francisco,1,1,24,51,49,3,San Francisco,
San Jose,80698.59143720494,228107.58033415652,-89331,-89331,-89331,-89331,-89331,-89331,-89331,San Jose,-89331.00000000003,,80698.59143720494,147408.98889695155,-317438.5803341565,0,0,0,0,0,0,,-89331.00000000003,,37224.197772594096,8,San Jose,4,5,49,15,10,3,San Jose,
Seattle,-42177.51236878258,-164831.42539982247,-386464.76664970117,-5464.709395784652,127426,127426,127426,127426,127426,Seattle,127425.99999999988,,-42177.51236878258,-122653.91303103993,-221633.34124987875,381000.0572539165,132890.70939578465,0,0,0,0,,127425.9999999999,,-45856.7187054613,39,Seattle,32,38,45,6,8,3,Seattle,
Miami,-167519.1044888616,-709924.8491666653,-490018.78780013835,314928.7473319578,344824,344824,344824,344824,344824,Miami,344824,,-167519.1044888616,-542405.7446778037,219906.061366527,804947.5351320961,29895.2526680422,0,0,0,0,,344823.9999999999,,-131472.60280617123,50,Miami,51,51,10,2,9,3,Miami,
St. Louis,-44898.821815314615,-204867.23347860057,-485916.36584520864,25305,25305,25305,25305,25305,25305,St. Louis,25305,,-44898.821815314615,-159968.41166328595,-281049.1323666081,511221.36584520864,0,0,0,0,0,,25305,,-57129.09886969457,43,St. Louis,35,45,47,4,10,3,St. Louis,
Tampa Bay,-11726.664797651363,-42298.35302376747,-96887.54886385205,17520,17520,17520,17520,17520,17520,Tampa Bay,17520.000000000044,,-11726.664797651363,-30571.688226116064,-54589.195840084576,114407.54886385205,0,0,0,0,0,,17520.000000000044,,-11730.163823023759,24,Tampa Bay,23,26,38,9,10,3,Tampa Bay,
Washington,-16261.517315524645,-54835.37993656157,-124331.76911718491,-78437.52828440769,156181,156181,156181,156181,156181,Washington,156181,,-16261.517315524645,-38573.86262103694,-69496.38918062334,45894.24083277723,234618.5282844077,0,0,0,0,,156181,,-15231.330819699715,26,Washington,24,28,40,14,7,3,Washington,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,PERCENTAGE CHANGES,,,1,1,1,1,1,1,1,1,1,,,,0.8092510253174099,,,TIME COHORT,,,,,,,
Beta,-0.08,,,,,,,,,Area,Total,Weighted Average,MinA_E(10),MinA_E(20-10),MinA_E(30-20),MinA_E(40-30),MinA_E(50-40),MinA_E(60-50),MinA_E(70-60),MinA_E(80-70),MinA_E(90-80),,,,,Weighted Average,Rank,10,20,30,40,50,60,Weighted Average,
,,,,,,,,,,Atlanta,35.178342818540656,-23.250922092607702,-32.07248883808872,-30.671656906538868,-29.359747360675883,-5.3503555932309155,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,Los Angeles,1,San Francisco,San Francisco,Los Angeles,Los Angeles,Boston,Chicago,Los Angeles,
"Source of Beta: Levinson, David and Ajay Kumar (1995) A Multi-modal Trip Distribution Model. Transportation Research Record #1466: 124-131.",,,,,,,,,,Austin,58.548918854698826,14.657090458812066,-9.216912848794124,0.025671167590334498,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,San Francisco,2,Los Angeles,Los Angeles,Charlotte,Miami,Philadelphia,Atlanta,San Francisco,
,,,,,,,,,,Baltimore,-11.092595902209496,-17.821503439491817,-21.447527779580444,-17.606062244913932,-3.830809011917137,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,Jacksonville,3,Jacksonville,Jacksonville,Minneapolis,Boston,Atlanta,Austin,Jacksonville,
,,,,,,,,,,Boston,35.53363959850905,-34.49381468657036,-40.260728649918335,-40.907205842781515,-40.505948310171355,198.69663807177267,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,Minneapolis,4,San Jose,Minneapolis,Indianapolis,St. Louis,Chicago,#N/A,Minneapolis,
,,,,,,,,,,Buffalo,-14.199750716407902,-45.962163369954126,-56.299589291857586,-0.3582462516796784,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,Las Vegas,5,Minneapolis,San Jose,Providence,Phoenix,Dallas,#N/A,Las Vegas,
,,,,,,,,,,Charlotte,20.25738357559486,-41.724052912618596,-63.54706219851768,-34.99033557064285,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,Kansas City,6,Kansas City,Kansas City,Austin,Seattle,Houston,#N/A,Kansas City,
,,,,,,,,,,Chicago,-1.1341103371039822,-34.994019922792894,-31.349970598173755,-30.661549748534018,-31.381216257790744,-31.259842934665784,103.30045413080067,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,Riverside,7,Riverside,Las Vegas,Orlando,Pittsburgh,Washington,#N/A,Riverside,
,,,,,,,,,,Cincinnati,7.601326827155663,-24.727187402543073,-39.38991594434287,-37.17690736529731,77.5512484354011,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,San Jose,8,San Diego,Riverside,Columbus,Houston,Seattle,#N/A,San Jose,
,,,,,,,,,,Cleveland,-29.944553533977558,-83.6655383019309,-57.54900484071277,-57.41066702265365,36.68940135821268,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,Orlando,9,Las Vegas,San Diego,Portland,Tampa Bay,Miami,#N/A,Orlando,
,,,,,,,,,,Columbus,10.691013912922886,-16.53335082610721,-34.07674430379499,-19.162806104704902,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,Nashville,10,Oklahoma City,Raleigh,Miami,Denver,Austin,#N/A,Nashville,
,,,,,,,,,,Dallas,26.999513307153777,6.2304001769989,1.175118115926246,1.9103634424474336,1.7207583127746378,9.446615406661202,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,San Diego,11,New Orleans,Salt Lake City,Cincinnati,Dallas,#N/A,#N/A,San Diego,
,,,,,,,,,,Denver,7.589707662460412,-24.794326973938226,-36.62562297817806,-36.76189461753436,60.004238891914966,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,Phoenix,12,Orlando,Nashville,Las Vegas,Portland,#N/A,#N/A,Phoenix,
,,,,,,,,,,Detroit,-27.833432698040273,-48.04768918103143,-35.25839254064846,-34.69240002745239,-34.508164330009286,-15.276574005500457,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,Austin,13,Nashville,Oklahoma City,Denver,Cincinnati,#N/A,#N/A,Austin,
,,,,,,,,,,Grand Rapids,-5.622897120073522,-16.25988950771126,-29.994925674916296,12.483422607210013,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,San Antonio,14,Phoenix,Rochester,Hartford,Washington,#N/A,#N/A,San Antonio,
,,,,,,,,,,Virginia Beach,-15.050379185091819,-5.260096952244949,4.612578091684629,7.6496724831400105,-35.76339586852822,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,Dallas,15,Virginia Beach,Orlando,Memphis,Austin,#N/A,#N/A,Dallas,
,,,,,,,,,,Hartford,-5.809217234402604,-60.296328951787615,-65.49838928288298,-18.901895896652174,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,Houston,16,San Antonio,Grand Rapids,Cleveland,#N/A,#N/A,#N/A,Houston,
,,,,,,,,,,Honolulu,-23.218244735073757,-51.327477586966694,-52.2956335567466,3.0982157721672174,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,Oklahoma City,17,Dallas,Virginia Beach,San Antonio,#N/A,#N/A,#N/A,Oklahoma City,
,,,,,,,,,,Houston,23.682915519753426,6.041707112109803,-1.1420162239564773,2.6578848573557967,2.0969324028232394,17.334204110106075,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,Salt Lake City,18,Houston,San Antonio,Louisville,#N/A,#N/A,#N/A,Salt Lake City,
,,,,,,,,,,Indianapolis,18.87255568658385,-12.564855495416888,-31.046677330427208,-31.719232995963914,227.4676750007744,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,Louisville,19,Milwaukee,Houston,Nashville,#N/A,#N/A,#N/A,Louisville,
,,,,,,,,,,Riverside,24.82199039576089,21.084349562608953,31.306067925641507,25.07313556290648,21.138875908722273,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,Virginia Beach,20,Austin,Honolulu,Raleigh,#N/A,#N/A,#N/A,Virginia Beach,
,,,,,,,,,,Jacksonville,93.88936699393082,57.50658763960773,183.0846879053854,187.01170013530745,20.917588737478813,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,Milwaukee,21,Salt Lake City,Dallas,Riverside,#N/A,#N/A,#N/A,Milwaukee,
,,,,,,,,,,Kansas City,20.394938993321745,26.705236928291832,56.15984502488737,53.181797874434835,-0.19813025006586654,-100,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,Memphis,22,Louisville,Austin,Jacksonville,#N/A,#N/A,#N/A,Memphis,
,,,,,,,,,,Las Vegas,97.20312129507879,35.636787161957486,22.535537740367285,50.181567080678526,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,New Orleans,23,Tampa Bay,Phoenix,Buffalo,#N/A,#N/A,#N/A,New Orleans,
,,,,,,,,,,Los Angeles,-19.69080235481431,36.11837084262028,66.35059745307956,84.74964605642703,80.02574358496412,79.87018025073968,-73.26830316766191,-100,-100,#DIV/0!,#DIV/0!,,,,,Tampa Bay,24,Washington,Buffalo,San Francisco,#N/A,#N/A,#N/A,Tampa Bay,
,,,,,,,,,,Louisville,15.244497354970951,-2.00111988695071,-11.10264311288995,-11.812478366440327,1444.2112531504836,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,Grand Rapids,25,Sacramento,Milwaukee,Phoenix,#N/A,#N/A,#N/A,Grand Rapids,
,,,,,,,,,,Memphis,13.593032257488785,-9.519559000574743,-22.27955008728197,-19.974060072601116,868.085933853318,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,Washington,26,Pittsburgh,Tampa Bay,San Diego,#N/A,#N/A,#N/A,Washington,
,,,,,,,,,,Milwaukee,-4.590476634159471,-4.012645711430147,-3.825238656082601,-2.833290393905041,-8.871701750241913,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,Indianapolis,27,Memphis,Sacramento,Houston,#N/A,#N/A,#N/A,Indianapolis,
,,,,,,,,,,Minneapolis,20.247181146874034,31.982201392035115,56.27617972698411,61.12286044623022,60.97642426503468,-84.07289376660117,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,Sacramento,28,Atlanta,Washington,Dallas,#N/A,#N/A,#N/A,Sacramento,
,,,,,,,,,,Nashville,31.7152730287644,20.492365038459564,17.379096461374214,23.82902103492567,46.81417304661384,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,Portland,29,Baltimore,Louisville,Grand Rapids,#N/A,#N/A,#N/A,Portland,
,,,,,,,,,,New Orleans,-13.335055932670981,-7.9278937054878496,11.859348243790059,-21.93499848704645,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,Pittsburgh,30,Portland,Hartford,#N/A,#N/A,#N/A,#N/A,Pittsburgh,
,,,,,,,,,,New York,-14.936928050647023,-25.607313135247757,-22.377193370167046,-20.93563468524316,-19.948377731853554,-19.39689304118495,-21.012983378387656,-21.335011025145437,92.86761160907353,#DIV/0!,#DIV/0!,,,,,Columbus,31,Indianapolis,Memphis,#N/A,#N/A,#N/A,#N/A,Columbus,
,,,,,,,,,,Oklahoma City,0.5847303619907557,12.10391995449138,24.169460230727672,26.38199165457296,-38.71654236934027,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,Baltimore,32,Seattle,Pittsburgh,#N/A,#N/A,#N/A,#N/A,Baltimore,
,,,,,,,,,,Orlando,53.53252680070606,24.83175889442622,15.184513228390772,16.96976840185291,120.32958013708944,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,Atlanta,33,Grand Rapids,Baltimore,#N/A,#N/A,#N/A,#N/A,Atlanta,
,,,,,,,,,,Philadelphia,-13.357319734360626,-95.98962107454233,-58.142776239030916,-57.10604024133574,-57.849082440568935,-10.443221532704337,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,Cincinnati,34,New York,New Orleans,Kansas City,#N/A,#N/A,#N/A,Cincinnati,
,,,,,,,,,,Phoenix,45.84709406469677,12.102122035428359,4.140523498269745,-0.03400936156455083,5.164033227994363,720.3666499278972,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,Denver,35,St. Louis,Atlanta,Sacramento,#N/A,#N/A,#N/A,Denver,
