0.3333333333333333,Network Speed (congested) [km/h],Network Speed (freeflow) [km/h],20 Minute Distance,20 Minute Circuity [ ],Average Airline Speed [km/h],Airline Radius [km],Area covered in $A$1$ hrs [km2],Urbanized area density [people/km2],Area [km2],Population,Accessibility,"MinPA,P",.,Employment Density,Employment,Employment Accessibility,"Min EA, E"
Minneapolis-St.Paul,55.74625,65.688,21896,1.3031870861864812,42.776858818583264,14.258952939527754,638.741514972213,1090.234471481703,2316.01556,2525000,696378.0179891529,696378.0179891529,.,725.8496138946493,1681079,463630.2820210642,463630.2820210642
Nashville,67.57975,75.87125,25290.416666666664,1.359871384808002,49.69569236839371,16.565230789464568,862.0746103681606,891.8261097660705,1115.688349,995000,768820.6460927377,768820.6460927377,.,651.3440788830895,726697,561507.1930187478,561507.1930187478
New Orleans,56.14875000000001,67.137,22378.999999999996,1.3838875737878413,40.573201944660255,13.524400648220084,574.62686781888,2146.791112478396,512.392656,1100000,1233603.8528248696,1100000,.,898.5706461803777,460421,516342.83592861745,460421
New York,55.142500000000005,67.66025,22553.416666666668,1.2629348483479246,43.66218896575167,14.554062988583889,665.4545104306407,2098.879805390713,8683.203275,18225000,1396709.0333490353,1396709.0333490353,.,941.2058823418481,8172682,626329.6996482337,626329.6996482337
Oklahoma City,69.02875,75.95175000000002,25317.250000000004,1.302577181329865,52.99398069412299,17.664660231374327,980.3032662005576,1048.044711192385,834.888045,875000,1027401.6535061151,875000,.,575.9766269021136,480876,564631.7686073219,480876
Orlando,58.16125,69.069,23023,1.368037812411222,42.51435850116485,14.171452833721617,630.9262895543184,1197.00744220421,1173.760455,1405000,755223.4640788075,755223.4640788075,.,800.1002214715096,939126,504804.2640046079,504804.2640046079
Philadelphia,59.77125,68.06275000000001,22687.583333333336,1.221294302281372,48.940906289620436,16.31363542987348,836.0868213347237,1139.3097942572194,4660.716538,5310000,952561.9043960366,952561.9043960366,.,550.5520404596638,2565967,460309.3054872665,460309.3054872665
Phoenix,63.75600000000001,70.47775000000001,23492.583333333336,1.3330034239016018,47.828834387679926,15.942944795893307,798.5221314117167,1655.0541671588298,2069.418674,3425000,1321597.3811615126,1321597.3811615126,.,794.5956130866538,1644351,634502.1825723546,634502.1825723546
Pittsburgh,68.46525000000001,76.83725000000001,25612.416666666668,1.3399770609126298,51.094344819134285,17.03144827304476,911.2825044645773,822.1238464348299,2207.696575,1815000,749187.0777591834,749187.0777591834,.,483.8373226175794,1068166,440912.48710838344,440912.48710838344
Portland,60.938500000000005,71.44375000000001,23814.583333333336,1.4913588455422746,40.861057807882645,13.620352602627548,582.8094353085473,1466.3827908170226,1227.510314,1800000,854621.7262622407,854621.7262622407,.,771.7393403506668,947318,449776.9691551629,449776.9691551629
Providence,61.542249999999996,68.06275000000001,22687.583333333336,1.2792927288201636,48.10646430919509,16.035488103065028,807.8193291020511,954.460898091342,1304.401262,1245000,771031.9623502891,771031.9623502891,.,487.5056614288985,635903,393816.4963489445,393816.4963489445
Raleigh,67.57974999999999,75.46875,25156.25,1.2841673699040268,52.62534431555492,17.541781438518306,966.7123435150634,1238.2323980039887,827.79291,1025000,1197014.5432907126,1025000,.,839.8888074554782,695254,811930.8773473571,695254
Rochester,63.595000000000006,70.84,23613.333333333332,1.2619074783498458,50.3959292508204,16.798643083606798,886.5398836135197,974.5649637496106,764.443652,745000,863990.7095363938,745000,.,596.126344705391,455705,528489.7802540703,455705
Sacramento,56.873250000000006,65.68800000000002,21896.000000000004,1.4013492588209344,40.584636301054566,13.52821210035152,574.9507966159326,1946.0452814625608,955.784543,1860000,1118880.2848275763,1118880.2848275763,.,727.9443940536712,695758,418532.20925326063,418532.20925326063
Salt Lake City,78.085,86.65825,28886.083333333332,1.375166222769001,56.78222654623523,18.927408848745074,1125.4655330456915,1631.618994212552,597.565978,975000,1836330.9410489048,975000,.,1202.6186671557798,718644,1353505.8592811788,718644
San Antonio,64.078,74.42224999999999,24807.41666666666,1.3730841421652697,46.66720562292193,15.555735207640641,760.2054109953466,1373.6608426756356,1055.573512,1450000,1044264.4054744458,1044264.4054744458,.,697.1252988394427,735867,529958.4243194924,529958.4243194924
San Diego,60.49575000000001,69.67275000000001,23224.25,1.4206259686722074,42.58386889586606,14.194622965288687,632.9910878431314,1455.9905696507528,2026.112024,2950000,921629.0545725706,921629.0545725706,.,586.5731933487602,1188463,371295.6037574512,371295.6037574512
San Francisco1,53.25075000000001,64.11825,21372.75,1.4357618484653247,37.0888459370329,12.362948645677633,480.1688726922288,4044.244551759617,1107.747057,4480000,1941920.3473101035,1941920.3473101035,.,1773.25047950906,1964313,851459.6837468194,851459.6837468194
San Jose1,63.71575,74.382,24794,1.4014055067960625,45.46560555885709,15.155201852952363,721.561450564292,2530.861251594073,673.683711,1705000,1826171.915877179,1705000,.,1384.3499327238446,932614,998893.5455447974,932614
Seattle,52.92875,63.23275000000001,21077.583333333336,1.4789578076803838,35.78787016447354,11.929290054824513,447.0736454913847,1255.1211285274092,2469.881137,3100000,561131.5784640096,561131.5784640096,.,637.5553772246167,1574686,285034.2066984443,285034.2066984443
South Florida,60.37500000000001,66.815,22271.666666666664,1.2828613575676235,47.0627629742269,15.687587658075632,773.1472291995029,1874.9988406660766,2890.668454,5420000,1449650.1584132574,1449650.1584132574,.,693.0583814369187,2003402,535836.1672814459,535836.1672814459
St. Louis,59.77125,67.5395,22513.166666666668,1.399372508003506,42.7128942852222,14.237631428407399,636.8327139362872,1031.684545690754,2146.974101,2215000,657010.4691583683,657010.4691583683,.,587.9684339983569,1262353,374437.53353204235,374437.53353204235
Tampa Bay,61.099500000000006,68.38475,22794.916666666664,1.3116335868847857,46.58275040449006,15.527583468163353,757.4563619477607,1116.5255971867098,2077.87444,2320000,845719.4168665961,845719.4168665961,.,483.813160529565,1005303,366467.3564371722,366467.3564371722
Washington2,57.07450000000001,69.18974999999999,23063.249999999996,1.358607266196716,42.00956480953787,14.003188269845957,616.032646901612,1445.2558415588917,2996.00934,4330000,890324.7815255409,890324.7815255409,.,824.5034376294701,2470220,507921.03506236064,507921.03506236064
