,Time Interval Circuities,,,,,,,,
Oklahoma City,1.3330075580666654,1.302577181329865,1.2782037611934325,1.2586490530021517,1.243847517949237,1.2344875734787604,1.227948305822975,1.2226100071300814,1.2192662129771015
Orlando,1.4073453796667255,1.368037812411222,1.3529409382116724,1.3357222696848219,1.3227647345428062,1.3109961293844155,1.3015389438384548,1.2938955646318264,1.287340449469058
Philadelphia,1.2908066509637137,1.221294302281372,1.20124627478735,1.1855169545716866,1.1733077141049333,1.1653283208068956,1.1592931878775155,1.153822612145486,1.1493697375302219
Phoenix,1.344427913754184,1.3330034239016018,1.3052617006945595,1.2881022315645838,1.2802850434359947,1.2712116017778166,1.2658272140371463,1.2585556789471462,1.2523532277965723
Pittsburgh,1.4115605231076185,1.3399770609126298,1.3051406812780726,1.2817943808930483,1.2648153813211274,1.2535936164248203,1.245412074800628,1.238920592591702,1.2344561116309156
Portland,1.5301276739734433,1.4913588455422746,1.4731281162210448,1.456269971547138,1.4407046826983154,1.4297790976947944,1.4261614774445286,1.4293416108501145,1.4320189723752634
Providence,1.3413795461632436,1.2792927288201636,1.249214553394799,1.2359886141697098,1.2335825315465978,1.2346713669311957,1.2378648301781199,1.2391867314568445,1.2398242295003903
Raleigh,1.3599560158886321,1.2841673699040268,1.2442193027437145,1.2214655452556848,1.205287459552572,1.1953550018287182,1.1908050726732355,1.188697239807107,1.1881349038874762
"Rochester, NY",1.3054372101690606,1.2619074783498458,1.235017216450139,1.2194277529157018,1.2093921289472145,1.2027779213679537,1.1983418382894222,1.1972716138765835,1.1976784755170091
Sacramento,1.4338792967235054,1.4013492588209344,1.4014419587257636,1.400056122836252,1.3967920476447633,1.3967267442968094,1.3968698866346807,1.396881747806089,1.3982014018055617
Salt Lake City,1.3973954385618328,1.375166222769001,1.37473562290319,1.3815334547515212,1.3850097173055014,1.389992556329186,1.392535279077659,1.3909277673330938,1.3874547008609153
San Antonio,1.4317823771593792,1.3730841421652697,1.3398515854253352,1.3117239067101567,1.2913153607253793,1.2757965860482567,1.2642616847774233,1.2555532060267511,1.2491587964112882
San Diego,1.4519495177769537,1.4206259686722074,1.4062579681100151,1.4002313458230131,1.3933131344330476,1.3922798957924276,1.388411640565134,1.3873822171543784,1.387483914467795
San Francisco,1.4529772069649314,1.4357618484653247,1.424503733426794,1.4139365512475086,1.4012673218427656,1.3884703455577154,1.380969480590264,1.3779719461955984,1.3798353964556946
San Jose,1.3990667972183513,1.4014055067960625,1.3973659459287573,1.4014142336739903,1.4030034944504302,1.400679724544437,1.390719665503456,1.369575739479599,1.353868833118102
Seattle,1.4725838457083096,1.4789578076803838,1.4529281790243918,1.43645368206512,1.4185698685624268,1.405297756277678,1.398191420136368,1.3911691748531416,1.3877189496448212
South Florida,1.336871859668785,1.2828613575676235,1.2629261489074812,1.2494539986202935,1.2404318709255826,1.2361288587570294,1.2330872661002497,1.2273165367301029,1.2208577984067597
St. Louis,1.443560196227148,1.399372508003506,1.3725412244961106,1.3484888260380745,1.3285645889956852,1.313394987102012,1.3009918403315728,1.293200263777403,1.286841212715055
Tampa Bay,1.3634427948695305,1.3116335868847857,1.288975134924683,1.2770054812680482,1.270428052024559,1.264854950694025,1.2632713910422415,1.261409388199902,1.2582428496249867
Washington,1.428075576367832,1.358607266196716,1.3128038200118335,1.290355289731063,1.2769936789718903,1.271908405391577,1.267661900840625,1.2644910226602037,1.2618164588235785
