1.1666666666666667,Network Speed (congested) [km/h],Network Speed (freeflow) [km/h],70 Minute Distance,Circuity [ ],Average Airline Speed [km/h],Airline Radius [km],Area covered in $A$1$ hrs [km2],Urbanized area density [people/km2],Area [km2],Population,Accessibility,"MinPA,P",.,Employment Density,Employment,Employment Accessibility,"Min EA, E"
Milwaukee,65.688,72.49025,84571.95833333334,1.1632682250826336,56.46848988360686,65.879904864208,13635.020630214127,1161.3700459353722,1261.441179,1465000,15835304.535641529,1465000,.,630.2925679263876,795077,8594052.166746935,795077
Minneapolis-St.Paul,55.74625,65.688,76636.00000000001,1.2154627812004615,45.8642180264391,53.50825436417895,8994.798494723836,1090.234471481703,2316.01556,2525000,9806439.38297966,2525000,.,725.8496138946493,1681079,6528871.014455469,1681079
Nashville,67.57975,75.87125,88516.45833333334,1.256154400874191,53.79891990424861,62.76540655495672,12376.292509288753,891.8261097660705,1115.688349,995000,11037500.801885948,995000,.,651.3440788830895,726697,8061224.844450364,726697
New Orleans,56.14875000000001,67.137,78326.50000000001,1.3505891851756389,41.57352259021538,48.50244302191795,7390.555811188603,2146.791112478396,512.392656,1100000,15865979.531735254,1100000,.,898.5706461803777,460421,6640936.510891888,460421
New York,55.142500000000005,67.66025,78936.95833333336,1.205914352002741,45.726713434018954,53.347832339688786,8940.945094304367,2098.879805390713,8683.203275,18225000,18765969.0995426,18225000,.,941.2058823418481,8172682,8415270.11645476,8172682
Oklahoma City,69.02875,75.95175000000002,88610.37500000003,1.227948305822975,56.21470356094242,65.5838208210995,13512.73629940155,1048.044711192385,834.888045,875000,14161951.812325153,875000,.,575.9766269021136,480876,7783020.273947054,480876
Orlando,58.16125,69.069,80580.50000000001,1.3015389438384548,44.68652303900551,52.13427687883976,8538.794877738028,1197.00744220421,1173.760455,1405000,10221001.016107608,1405000,.,800.1002214715096,939126,6831891.672777988,939126
Philadelphia,59.77125,68.06275000000001,79406.54166666669,1.1592931878775155,51.55835523318464,60.15141443871542,11366.887476718124,1139.3097942572194,4660.716538,5310000,12950406.23244469,5310000,.,550.5520404596638,2565967,6258063.093982562,2565967
Phoenix,63.75600000000001,70.47775000000001,82224.04166666669,1.2658272140371463,50.36706376114383,58.761574388001144,10847.676350720976,1655.0541671588298,2069.418674,3425000,17953491.94825104,3425000,.,794.5956130866538,1644351,8619516.04046673,1644351
Pittsburgh,68.46525000000001,76.83725000000001,89643.45833333336,1.245412074800628,54.97397318149519,64.13630204507773,12922.83217883577,822.1238464348299,2207.696575,1815000,10624168.497696258,1815000,.,483.8373226175794,1068166,6252548.522044199,1068166
Portland,60.938500000000005,71.44375000000001,83351.04166666669,1.4261614774445286,42.729032415875395,49.850537818521296,7807.0968847035765,1466.3827908170226,1227.510314,1800000,11448192.517970514,1800000,.,771.7393403506668,947318,6025043.799854884,947318
Providence,61.542249999999996,68.06275000000001,79406.54166666669,1.2378648301781199,49.71645409066554,58.00252977244314,10569.23961846609,954.460898091342,1304.401262,1245000,10087925.938383738,1245000,.,487.5056614288985,635903,5152564.15100083,635903
Raleigh,67.57974999999999,75.46875,88046.875,1.1908050726732355,56.75131182326119,66.20986379380473,13771.944428590632,1238.2323980039887,827.79291,1025000,17052867.77499145,1025000,.,839.8888074554782,695254,11566901.982472103,695254
Rochester,63.595000000000006,70.84,82646.66666666667,1.1983418382894222,53.06916438032318,61.91402511037705,12042.81321992947,974.5649637496106,764.443652,745000,11736503.829123896,745000,.,596.126344705391,455705,7179038.224766316,455705
Sacramento,56.873250000000006,65.68800000000002,76636.00000000003,1.3968698866346807,40.714779911977516,47.50057656397377,7088.390501975028,1946.0452814625608,955.784543,1860000,13794328.889532536,1860000,.,727.9443940536712,695758,5159954.12877601,695758
Salt Lake City,78.085,86.65825,101101.29166666667,1.392535279077659,56.07398331173292,65.41964719702175,13445.169079391075,1631.618994212552,597.565978,975000,21937393.25033377,975000,.,1202.6186671557798,718644,16169411.317941397,718644
San Antonio,64.078,74.42224999999999,86825.95833333333,1.2642616847774233,50.68412716413304,59.131481691488545,10984.679643320796,1373.6608426756356,1055.573512,1450000,15089224.295365946,1450000,.,697.1252988394427,735867,7657698.079005553,735867
San Diego,60.49575000000001,69.67275000000001,81284.87500000001,1.388411640565134,43.57191212785859,50.83389748250169,8118.142870904903,1455.9905696507528,2026.112024,2950000,11819939.463115027,2950000,.,586.5731933487602,1188463,4761884.987848162,1188463
San Francisco1,53.25075000000001,64.11825,74804.62500000001,1.380969480590264,38.5604104568909,44.98714553303939,6358.0911277204505,4044.244551759617,1107.747057,4480000,25713675.402874593,4480000,.,1773.25047950906,1964313,11274488.140992587,1964313
San Jose1,63.71575,74.382,86779.00000000001,1.390719665503456,45.814948605716445,53.450773373335856,8975.483634705895,2530.861251594073,673.683711,1705000,22715703.745393883,1705000,.,1384.3499327238446,932614,12425210.165869074,932614
Seattle,52.92875,63.23275000000001,73771.54166666667,1.398191420136368,37.85515290519932,44.164345056065876,6127.643088989849,1255.1211285274092,2469.881137,3100000,7690934.309066119,3100000,.,637.5553772246167,1574686,3906711.801098739,1574686
South Florida,60.37500000000001,66.815,77950.83333333333,1.2330872661002497,48.962471399888365,57.12288329986976,10251.091587543357,1874.9988406660766,2890.668454,5420000,19220784.842205565,5420000,.,693.0583814369187,2003402,7104604.943624412,2003402
St. Louis,59.77125,67.5395,78796.08333333334,1.3009918403315728,45.942832343027305,53.599971066865194,9025.660285995496,1031.684545690754,2146.974101,2215000,9311634.231716344,2215000,.,587.9684339983569,1262353,5306803.344157934,1262353
Tampa Bay,61.099500000000006,68.38475,79782.20833333333,1.2632713910422415,48.366091746596794,56.42710703769627,10002.888841489497,1116.5255971867098,2077.87444,2320000,11168481.437336337,2320000,.,483.813160529565,1005303,4839529.2648269525,1005303
Washington2,57.07450000000001,69.18974999999999,80721.375,1.267661900840625,45.023440368565296,52.52734709665952,8668.038011926028,1445.2558415588917,2996.00934,4330000,12527532.571590614,4330000,.,824.5034376294701,2470220,7146827.138335928,2470220
