0.3333333333333333,Network Speed (congested) [km/h],Network Speed (freeflow) [km/h],20 Minute Distance,20 Minute Circuity [ ],Average Airline Speed [km/h],Airline Radius [km],Area covered in $A$1$ hrs [km2],Urbanized area density [people/km2],Area [km2],Population,Accessibility,"MinPA,P",.,Employment Density,Employment,Employment Accessibility,"Min EA, E",,,,,Accessibility Ratio
Hartford,63.83101673639741,74.74296813468234,24914.322711560777,1.2718012066329836,50.18946074550924,16.729820248503078,879.2905834712849,691.7059567557736,1337.06959,924859,608210.5343063476,608210.5343063476,.,395.88290987905873,529323,348096.11481386767,348096.11481386767,,,,,0.5723283224794266
Honolulu,54.71093280537417,67.86037611584707,22620.125371949023,1.4172580385913462,38.603367428949596,12.867789142983199,520.1849035020896,1820.7093992818395,440.739747,802459,947105.5431707712,802459,.,762.2049118252091,335934,396487.4885066151,335934,,,,,0.41863073378203747
Houston,66.693022833823,78.91617432556015,26305.391441853382,1.3398457759675975,49.77664148372543,16.592213827908473,864.8853575100061,1149.9995031423985,4299.420988,4944332,994617.7314116426,994617.7314116426,.,506.2465401910998,2176567,437845.21990138304,437845.21990138304,,,,,0.4402145729696145
Indianapolis,62.662263546111326,72.3337016692045,24111.233889734835,1.271809639354645,49.27015931244873,16.42338643748291,847.3743159807425,813.7826434009975,1827.862774,1487483,689578.5108089207,689578.5108089207,.,406.4413426256472,742919,344407.9546937024,344407.9546937024,,,,,0.4994470525041294
Inland Empire2,72.10742814017156,84.09990192548348,28033.300641827824,1.3661627731164396,52.78099327482243,17.59366442494081,972.4392528565779,1369.2709398652264,1411.456231,1932666,1331532.809720765,1331532.809720765,.,678.2541172543097,957326,659560.9270296787,659560.9270296787,,,,,0.4953395982544319
Jacksonville,69.12706830003765,78.49714718776768,26165.715729255895,1.3647991426543529,50.64999393653977,16.883331312179923,895.5011721886963,775.485851329188,1373.615003,1065219,694448.4888810369,694448.4888810369,.,626.5511064747741,860640,561077.2502842848,561077.2502842848,,,,,0.807946534937886
Kansas City,67.81228876979557,74.59272660637487,24864.242202124955,1.2987080429934756,52.215191193773364,17.405063731257787,951.7022770515874,865.4747964993128,1755.587807,1519417,823674.3345591553,823674.3345591553,.,528.9493332645366,928617,503402.2849127784,503402.2849127784,,,,,0.6111666514195905
Las Vegas,62.45400827588758,72.98090363429576,24326.967878098585,1.3223049937334725,47.23116722077205,15.743722406924016,778.6902197664239,1746.9193703498715,1079.621093,1886011,1360309.0284119642,1360309.0284119642,.,677.9007975532394,731876,527874.721026566,527874.721026566,,,,,0.3880550007396564
Los Angeles2,67.71265423726469,83.33378992309329,27777.92997436443,1.280908423606628,52.8629939419147,17.620997980638233,975.4631675322067,2702.463769306689,4496.266014,12150996,2636153.8685489297,2636153.8685489297,.,1079.1963787042962,4852354,1052716.3179601796,1052716.3179601796,,,,,0.3993379637356476
Louisville,69.76239089959542,80.63340522748912,26877.801742496373,1.3522400482999783,51.590241678835014,17.196747226278337,929.0572740607862,787.6776339629688,1234.70054,972546,731797.6354482855,731797.6354482855,.,417.10518730314965,515000,387514.6083124779,387514.6083124779,,,,,0.5295379344524579
Memphis,66.0117975254536,76.86486532283301,25621.62177427767,1.3247813076937356,49.82844877270436,16.609482924234786,866.6866314392698,823.0143769923415,1288.022457,1060061,713295.5580215817,713295.5580215817,.,395.30832496967867,509166,342608.440547871,342608.440547871,,,,,0.48031764209795474
Milwaukee,66.57502481511119,73.72364096292551,24574.54698764184,1.2090730434913919,55.06286421113579,18.354288070378594,1058.3393893582338,974.0478763670035,1413.15025,1376476,1030873.2346799389,1030873.2346799389,.,521.7272544090765,737279,552164.50384285,552164.50384285,,,,,0.5356279368474278
Minneapolis-St.Paul,72.35417413894163,80.92665935101023,26975.55311700341,1.3031870861864812,55.520941625251815,18.506980541750604,1076.0216494657434,1001.6752173390063,2646.45661,2650890,1077824.2195900746,1077824.2195900746,.,594.1457698790686,1572381,639313.7113283693,639313.7113283693,,,,,0.5931521111777553
Nashville,66.5094342428732,79.19224446351299,26397.414821170998,1.359871384808002,48.90862105482391,16.302873684941304,834.9840891642597,664.384827305228,1459.375591,969587,554750.7598820097,554750.7598820097,.,447.40709932841406,652935,373577.80931835924,373577.80931835924,,,,,0.6734155882865591
New Orleans,70.11391631549093,78.21449678598356,26071.498928661185,1.3838875737878413,50.66445977514054,16.88815325838018,896.0127625877705,1381.8089483990395,651.105206,899703,1238118.4532235253,899703,.,685.1227664734722,446087,613878.7426996718,446087,,,,,0.49581584144990076
New York,60.63606006157278,75.64626217318956,25215.420724396517,1.2629348483479246,48.01202543495594,16.004008478318646,804.6507459909926,2053.640698283641,8935.98136,18351295,1652463.5198713948,1652463.5198713948,.,813.9335465220801,7273295,654932.235396086,654932.235396086,,,,,0.39633687976788556
Oklahoma City,62.746727907823015,70.34379555446684,23447.931851488946,1.302577181329865,48.17121688233614,16.057072294112047,809.9954850584536,810.0396797726283,1063.53432,861505,656128.4833340246,656128.4833340246,.,425.70699552037024,452754,344820.74432929925,344820.74432929925,,,,,0.5255384472521923
Orlando,63.67703994300269,76.27854176282709,25426.18058760903,1.368037812411222,46.54625724911019,15.51541908303673,756.270036750492,975.7775860793671,1548.012602,1510516,737951.3508845493,737951.3508845493,.,552.8792200362203,855864,418125.9880553757,418125.9880553757,,,,,0.5666037301160662
Philadelphia,57.5831982772522,70.0901022214275,23363.367407142498,1.221294302281372,47.149321969067614,15.716440656355871,775.9938274808572,1060.3784681288619,5131.721516,5441567,822847.1460616037,822847.1460616037,.,471.8866743742453,2421591,366181.14658488357,366181.14658488357,,,,,0.445017216548101
Phoenix,65.52311377460158,75.05827255325492,25019.424184418305,1.3330034239016018,49.15449773026112,16.384832576753706,843.4005672486097,1222.0875996258867,2969.60218,3629114,1030709.3747519647,1030709.3747519647,.,489.41201949144585,1453359,412770.37485737307,412770.37485737307,,,,,0.4004721262545073
Pittsburgh,59.80744482262588,71.24156349899795,23747.187832999316,1.3399770609126298,44.633185572514435,14.877728524171477,695.3814997475164,739.5753515526226,2344.389921,1733853,514287.0171389594,514287.0171389594,.,439.74681462555225,1030938,305791.7994635096,305791.7994635096,,,,,0.5945936593240603
Portland,58.33103065050781,69.29589065244727,23098.630217482423,1.4913588455422746,39.11267286532773,13.03755762177591,534.0013493736813,1362.0759506608479,1358.145997,1849898,727350.3956023324,727350.3956023324,.,641.1637643695827,870794,342382.3153428662,342382.3153428662,,,,,0.470725412968715
Providence,61.333480923569354,68.9471086871926,22982.36956239753,1.2792927288201636,47.943273296124,15.981091098708,802.3479124922308,843.6559568888318,1411.660749,1190956,676905.5958713896,676905.5958713896,.,418.3023438303448,590501,335624.01236288453,335624.01236288453,,,,,0.49582100430242604
Raleigh,70.88814311356755,80.32960797886341,26776.53599295447,1.2841673699040268,55.20163864533128,18.400546215110424,1063.6807579985748,659.394274407944,1341.975559,884891,701385.0016221621,701385.0016221621,.,305.9794921346999,410617,325464.49812585657,325464.49812585657,,,,,0.4640311631602085
Rochester,64.0446957598947,72.19612416499113,24065.37472166371,1.2619074783498458,50.75229116134869,16.917430387116227,899.1220924180572,857.4454035556953,840.370707,720572,770948.1053792422,720572,.,493.93082902876574,415085,444104.1205061295,415085,,,,,0.5760493052741433
Sacramento,69.85125988721772,81.45538801610311,27151.796005367705,1.4013492588209344,49.84571793757474,16.615239312524913,867.2874748636427,1413.0147860308737,1219.827292,1723634,1225490.025721707,1225490.025721707,.,509.14420760475986,621068,441574.39415498247,441574.39415498247,,,,,0.3603247557196017
Salt Lake City,64.533357950474,73.63082092404174,24543.606974680577,1.375166222769001,46.92767818317353,15.642559394391178,768.715252110558,1418.9468389746553,719.719,1021243,1090766.0770538815,1021243,.,731.0589271646295,526157,561976.1475030322,526157,,,,,0.5152123441727385
San Antonio,70.32926978564988,78.44122099660329,26147.07366553443,1.3730841421652697,51.21992718868993,17.07330906289664,915.7676057503254,1136.9073371227814,1546.484874,1758210,1041142.9100769076,1041142.9100769076,.,464.39186834232174,718175,425275.0294017683,425275.0294017683,,,,,0.4084694092287041
San Diego,74.20890235679654,85.35836948386564,28452.789827955214,1.4206259686722074,52.23676322498605,17.412254408328682,952.488806474905,1558.6954968295993,1896.936256,2956746,1484640.013433034,1484640.013433034,.,580.5803945791629,1101324,552996.3270954363,552996.3270954363,,,,,0.3724783934771536
San Francisco1,72.54220040456146,85.18341725224566,28394.472417415218,1.4357618484653247,50.52523194017258,16.841743980057526,891.0949756867712,2419.4675820015173,1356.171095,3281212,2155975.4061585735,2155975.4061585735,.,1303.5176804148005,1767793,1161558.055736503,1161558.055736503,,,,,0.5387622012841596
San Jose1,67.91398003597122,78.19454265262493,26064.847550874976,1.4014055067960625,48.46133378713368,16.15377792904456,819.7814541965528,2247.211920874815,740.693828,1664496,1842222.6563825845,1664496,.,1157.0664795656971,857032,948541.6412204531,857032,,,,,0.5148897924657074
Seattle,59.237163329958236,69.52987656850078,23176.625522833594,1.4789578076803838,40.05331526182383,13.351105087274611,559.9951958404713,1169.1810890127867,2616.697301,3059393,654735.792914691,654735.792914691,.,548.6931940699853,1435764,307265.5526695552,307265.5526695552,,,,,0.4692970141462702
South Florida,59.3962086848502,72.01367449916108,24004.55816638703,1.2828613575676235,46.299787841040526,15.433262613680174,748.2821151376081,1715.2084870415904,3207.994271,5502379,1283459.834585458,1283459.834585458,.,567.6160386135552,1820909,424736.92995978135,424736.92995978135,,,,,0.33093122084102167
St. Louis,55.946693712217225,67.15525630651524,22385.08543550508,1.399372508003506,39.97984338854616,13.326614462848719,557.9426236823319,899.0472029916936,2392.205874,2150706,501616.75525144755,501616.75525144755,.,488.93826936569087,1169641,272799.5008285923,272799.5008285923,,,,,0.5438404877282158
Tampa Bay,65.03700942892235,76.22383170739074,25407.94390246358,1.3116335868847857,49.58473927416683,16.528246424722276,858.2294855856601,985.1457564595692,2478.587543,2441770,845481.135793192,845481.135793192,.,376.1138082989228,932231,322791.9602180481,322791.9602180481,,,,,0.38178493469900937
Washington2,60.64773014173051,74.54500532214232,24848.335107380768,1.358607266196716,44.63963328527435,14.879877761758117,695.5824239685165,1339.8831695910785,3423.26115,4586770,931999.1829387813,931999.1829387813,.,692.4774056457832,2370531,481675.11236252356,481675.11236252356,,,,,0.5168192431711204
