1.1666666666666667,Network Speed (congested) [km/h],Network Speed (freeflow) [km/h],70 Minute Distance,Circuity [ ],Average Airline Speed [km/h],Airline Radius [km],Area covered in $A$1$ hrs [km2],Urbanized area density [people/km2],Area [km2],Population,Accessibility,"MinPA,P",.,Employment Density,Employment,Employment Accessibility,"Min EA, E",,,,,Accessibility Ratio
Houston,66.693022833823,78.91617432556015,92068.87004648685,1.244523848534959,53.58918827657128,62.52071965599983,12279.984241668122,1149.9995031423985,4299.420988,4944332,14121975.776514823,4944332,.,506.2465401910998,2176567,6216699.5359457135,2176567,,,,,0.4402145729696145
Indianapolis,62.662263546111326,72.3337016692045,84389.31861407192,1.1881337656936146,52.74007469144692,61.530087140021415,11893.917807103979,813.7826434009975,1827.862774,1487483,9679063.87345927,1487483,.,406.4413426256472,742919,4834179.922598435,742919,,,,,0.49944705250412946
Inland Empire2,72.10742814017156,84.09990192548348,98116.5522463974,1.340855665082751,53.77717379873355,62.74003609852248,12366.289268725683,1369.2709398652264,1411.456231,1932666,16932800.52963328,1932666,.,678.2541172543097,957326,8387486.61167098,957326,,,,,0.49533959825443186
Jacksonville,69.12706830003765,78.49714718776768,91580.00505239563,1.2868751983865299,53.716994768963154,62.66982723045702,12338.627908112181,775.485851329188,1373.615003,1065219,9568431.367556453,1065219,.,626.5511064747741,860640,7730780.968208214,860640,,,,,0.807946534937886
Kansas City,67.81228876979557,74.59272660637487,87024.84770743735,1.2339380343866972,54.95599201908079,64.11532402226092,12914.379832067063,865.4747964993128,1755.587807,1519417,11177070.25707307,1519417,.,528.9493332645366,928617,6831052.601696851,928617,,,,,0.6111666514195906
Las Vegas,62.45400827588758,72.98090363429576,85144.38757334505,1.3118575590900703,47.607309073408004,55.541860585642674,9691.49376508451,1746.9193703498715,1079.621093,1886011,16930258.185851138,1886011,.,677.9007975532394,731876,6569871.352833035,731876,,,,,0.3880550007396563
Los Angeles2,67.71265423726469,83.33378992309329,97222.75491027551,1.2372388226799365,54.72884700675239,63.850321507877794,12807.844599289007,2702.463769306689,4496.266014,12150996,34612735.99248888,12150996,.,1079.1963787042962,4852354,13822179.510560073,4852354,,,,,0.39933796373564767
Louisville,69.76239089959542,80.63340522748912,94072.30609873732,1.3035823978090557,53.515904339338874,62.435221729228694,12246.421118466842,787.6776339629688,1234.70054,972546,9646232.011108097,972546,.,417.10518730314965,515000,5108045.77441136,515000,,,,,0.5295379344524578
Memphis,66.0117975254536,76.86486532283301,89675.67620997185,1.2390192666572288,53.277458472092974,62.15703488410848,12137.53374707788,823.0143769923415,1288.022457,1060061,9989364.775074821,1060061,.,395.30832496967867,509166,4798068.134820304,509166,,,,,0.48031764209795474
Milwaukee,66.57502481511119,73.72364096292551,86010.91445674644,1.1632682250826336,57.23101807442732,66.76952108683187,14005.750809733754,974.0478763670035,1413.15025,1376476,13642271.833146602,1376476,.,521.7272544090765,737279,7307181.915900092,737279,,,,,0.5356279368474278
Minneapolis-St.Paul,72.35417413894163,80.92665935101023,94414.43590951194,1.2154627812004615,59.528086962465814,69.44943478954346,15152.605061729506,1001.6752173390063,2646.45661,2650890,15177988.968460029,2650890,.,594.1457698790686,1572381,9002856.200074749,1572381,,,,,0.5931521111777555
Nashville,66.5094342428732,79.19224446351299,92390.9518740985,1.256154400874191,52.946862421201985,61.77133949140232,11987.370006971487,664.384827305228,1459.375591,969587,7964226.751925621,969587,.,447.40709932841406,652935,5363234.443395544,652935,,,,,0.6734155882865591
New Orleans,70.11391631549093,78.21449678598356,91250.24625031414,1.3505891851756389,51.91357748534976,60.565840399574725,11524.056218564145,1381.8089483990395,651.105206,899703,15924044.004665533,899703,.,685.1227664734722,446087,7895393.277458488,446087,,,,,0.4958158414499007
New York,60.63606006157278,75.64626217318956,88253.97253538782,1.205914352002741,50.28222772278188,58.6625990099122,10811.164440587812,2053.640698283641,8935.98136,18351295,22202247.291028026,18351295,.,813.9335465220801,7273295,8799569.415161038,7273295,,,,,0.39633687976788556
Oklahoma City,62.746727907823015,70.34379555446684,82067.76148021132,1.227948305822975,51.09883503261153,59.61530753804679,11165.1728303652,810.0396797726283,1063.53432,861505,9044233.024115076,861505,.,425.70699552037024,452754,4753092.180080438,452754,,,,,0.5255384472521925
Orlando,63.67703994300269,76.27854176282709,88991.63205663161,1.3015389438384548,48.924421543014695,57.07849180018381,10235.165062710375,975.7775860793671,1548.012602,1510516,9987244.658015404,1510516,.,552.8792200362203,855864,5658810.076813284,855864,,,,,0.5666037301160662
Philadelphia,57.5831982772522,70.0901022214275,81771.78592499875,1.1592931878775155,49.670953715063256,57.94944600090714,10549.902587295319,1060.3784681288619,5131.721516,5441567,11186889.544424927,5441567,.,471.8866743742453,2421591,4978358.446891034,2421591,,,,,0.44501721654810095
Phoenix,65.52311377460158,75.05827255325492,87567.98464546408,1.2658272140371463,51.76307875829787,60.39025855134752,11457.336030690705,1222.0875996258867,2969.60218,3629114,14001868.287853988,3629114,.,489.41201949144585,1453359,5607357.964772444,1453359,,,,,0.4004721262545073
Pittsburgh,59.80744482262588,71.24156349899795,83115.15741549761,1.245412074800628,48.02221371765659,56.02591600393269,9861.155434761875,739.5753515526226,2344.389921,1733853,7293067.497379068,1733853,.,439.74681462555225,1030938,4336411.690963987,1030938,,,,,0.5945936593240604
Portland,58.33103065050781,69.29589065244727,80845.20576118848,1.4261614774445286,40.900719570008604,47.71750616501004,7153.282048214691,1362.0759506608479,1358.145997,1849898,9743313.446167203,1849898,.,641.1637643695827,870794,4586425.24563069,870794,,,,,0.47072541296871495
Providence,61.333480923569354,68.9471086871926,80438.29346839136,1.2378648301781199,49.54780152752535,57.80576844877958,10497.653422000692,843.6559568888318,1411.660749,1190956,8856407.842825314,1190956,.,418.3023438303448,590501,4391193.031141529,590501,,,,,0.4958210043024259
Raleigh,70.88814311356755,80.32960797886341,93717.87597534065,1.1908050726732355,59.52959450737888,69.45119359194203,15153.37254891405,659.394274407944,1341.975559,884891,9992047.096724436,884891,.,305.9794921346999,410617,4636621.236644625,410617,,,,,0.46403116316020854
Rochester,64.0446957598947,72.19612416499113,84228.811525823,1.1983418382894222,53.444429388625494,62.35183428672975,12213.730731175083,857.4454035556953,840.370707,720572,10472607.275713015,720572,.,493.93082902876574,415085,6032738.145583422,415085,,,,,0.5760493052741434
Sacramento,69.85125988721772,81.45538801610311,95031.28601878697,1.3968698866346807,50.005559254700806,58.33981913048428,10692.518969431047,1413.0147860308737,1219.827292,1723634,15108687.403721668,1723634,.,509.14420760475986,621068,5444034.097989834,621068,,,,,0.36032475571960176
Salt Lake City,64.533357950474,73.63082092404174,85902.62441138203,1.392535279077659,46.34235047403427,54.06607555303999,9183.316800971807,1418.9468389746553,719.719,1021243,13030638.34604179,1021243,.,731.0589271646295,526157,6713545.728331367,526157,,,,,0.5152123441727385
San Antonio,70.32926978564988,78.44122099660329,91514.75782937052,1.2642616847774233,55.628728318244924,64.90018303795242,13232.494311935123,1136.9073371227814,1546.484874,1758210,15044119.871674512,1758210,.,464.39186834232174,718175,6145062.756348697,718175,,,,,0.40846940922870417
San Diego,74.20890235679654,85.35836948386564,99584.76439784326,1.388411640565134,53.448775700692636,62.356904984141416,12215.717349589655,1558.6954968295993,1896.936256,2956746,19040583.6233486,2956746,.,580.5803945791629,1101324,7092205.998892288,1101324,,,,,0.3724783934771536
San Francisco1,72.54220040456146,85.18341725224566,99380.65346095328,1.380969480590264,52.52990846224563,61.28489320595324,11799.313493821206,2419.4675820015173,1356.171095,3281212,28548056.488173466,3281212,.,1303.5176804148005,1767793,15380613.755952874,1767793,,,,,0.5387622012841597
San Jose1,67.91398003597122,78.19454265262493,91226.96642806243,1.390719665503456,48.833695043339745,56.97264421722971,10197.239639704057,2247.211920874815,740.693828,1664496,22915358.47836016,1664496,.,1157.0664795656971,857032,11798884.171200152,857032,,,,,0.5148897924657074
Seattle,59.237163329958236,69.52987656850078,81118.18932991759,1.398191420136368,42.36699101198943,49.428156180654334,7675.358917405719,1169.1810890127867,2616.697301,3059393,8973884.497616421,3059393,.,548.6931940699853,1435764,4211417.200024889,1435764,,,,,0.46929701414627023
South Florida,59.3962086848502,72.01367449916108,84015.9535823546,1.2330872661002497,48.16869845124271,56.19681485978317,9921.407211842878,1715.2084870415904,3207.994271,5502379,17017281.853148546,5502379,.,567.6160386135552,1820909,5631549.8590582125,1820909,,,,,0.3309312208410217
St. Louis,55.946693712217225,67.15525630651524,78347.79902426779,1.3009918403315728,43.003108841911384,50.17029364889662,7907.572067564304,899.0472029916936,2392.205874,2150706,7109280.549798931,2150706,.,488.93826936569087,1169641,3866314.6015993687,1169641,,,,,0.5438404877282158
Tampa Bay,65.03700942892235,76.22383170739074,88927.80365862254,1.2632713910422415,51.483006652485514,60.063507761233105,11333.688085643318,985.1457564595692,2478.587543,2441770,11165334.722607892,2441770,.,376.1138082989228,932231,4262756.587963436,932231,,,,,0.38178493469900937
Washington2,60.64773014173051,74.54500532214232,86969.17287583271,1.267661900840625,47.84219680461578,55.815896272051745,9787.362604420065,1339.8831695910785,3423.26115,4586770,13113922.428347548,4586770,.,692.4774056457832,2370531,6777527.464423362,2370531,,,,,0.5168192431711205
