Area,MinA_E(10),MinA_E(20),MinA_E(30),MinA_E(40),MinA_E(50),MinA_E(60),MinA_E(70),MinA_E(80),MinA_E(90),,Total,MinA_E(10),MinA_E(20-10),MinA_E(30-20),MinA_E(40-30),MinA_E(50-40),MinA_E(60-50),MinA_E(70-60),MinA_E(80-70),MinA_E(90-80),,SUM,,Weighted Employment Accessibility,Rank,Area,10,20,30,40,50,60,Area
Orlando,85752.71878481403,358773.8085127458,557448,557448,557448,557448,557448,557448,557448,,557448,85752.71878481403,273021.0897279318,198674.19148725423,0,0,0,0,0,0,,557448,,111676.50368014422,45,Orlando,46,45,36,36,36,36,Orlando
Philadelphia,195786.99562763842,858421.4255784239,2010132.7595336526,2794917,2794917,2794917,2794917,2794917,2794917,,2794917,195786.99562763842,662634.4299507855,1151711.3339552288,784784.2404663474,0,0,0,0,0,,2794917,,358226.7823289606,2,Philadelphia,9,3,1,3,4,4,Philadelphia
Phoenix,97412.8523041671,408842.8881843073,937408.2526726928,996495,996495,996495,996495,996495,996495,,996495,97412.8523041671,311430.0358801402,528565.3644883854,59086.74732730724,0,0,0,0,0,,996495,,157005.92995371876,28,Phoenix,40,36,21,19,19,19,Phoenix
Pittsburgh,90892.7411089699,400791.6496877554,947146.3104371066,956154,956154,956154,956154,956154,956154,,956154,90892.7411089699,309898.9085787855,546354.6607493513,9007.689562893356,0,0,0,0,0,,956154,,153339.601653318,29,Pittsburgh,43,39,18,21,21,21,Pittsburgh
Portland,116589.37511700606,502294.9337031142,724532,724532,724532,724532,724532,724532,724532,,724532,116589.37511700606,385705.55858610815,222237.06629688578,0,0,0,0,0,0,,724532,,150420.48419761425,32,Portland,29,23,28,28,28,28,Portland
Providence,175120.1248535213,544668,544668,544668,544668,544668,544668,544668,544668,,544668,175120.1248535213,369547.8751464787,0,0,0,0,0,0,0,,544668,,153296.9735209089,30,Providence,12,17,37,37,37,37,Providence
Raleigh,204350.7284048687,399701,399701,399701,399701,399701,399701,399701,399701,,399701,204350.7284048687,195350.2715951313,0,0,0,0,0,0,0,,399701,,131261.24073512657,39,Raleigh,6,40,49,49,49,49,Raleigh
Rochester,217989.62123334655,481467,481467,481467,481467,481467,481467,481467,481467,,481467,217989.62123334655,263477.3787666535,0,0,0,0,0,0,0,,481467,,151144.21604043138,31,Rochester,3,25,41,41,41,41,Rochester
Sacramento,123715.41529699377,496981.0488804049,685945,685945,685945,685945,685945,685945,685945,,685945,123715.41529699377,373265.6335834111,188963.9511195951,0,0,0,0,0,0,,685945,,148092.37399933994,33,Sacramento,27,24,30,30,30,30,Sacramento
Salt Lake City,145547.91722437678,479338,479338,479338,479338,479338,479338,479338,479338,,479338,145547.91722437678,333790.0827756232,0,0,0,0,0,0,0,,479338,,132789.95032939443,38,Salt Lake City,17,26,42,42,42,42,Salt Lake City
San Antonio,96393.37285516084,407739.42747909843,569149,569149,569149,569149,569149,569149,569149,,569149,96393.37285516084,311346.0546239376,161409.57252090157,0,0,0,0,0,0,,569149,,120814.76475313648,41,San Antonio,41,37,34,34,34,34,San Antonio
San Diego,104869.09065221057,429257.9088791115,963582.4439470234,1230446,1230446,1230446,1230446,1230446,1230446,,1230446,104869.09065221057,324388.81822690094,534324.5350679118,266863.55605297664,0,0,0,0,0,,1230446,,171964.46766698675,20,San Diego,35,35,17,16,16,16,San Diego
San Francisco,110771.39228148428,440442.80435138236,1010318.1961838489,1799709.5565407292,1970387,1970387,1970387,1970387,1970387,,1970387,110771.39228148428,329671.4120698981,569875.3918324665,789391.3603568804,170677.44345927075,0,0,0,0,,1970387,,203333.63237447818,12,San Francisco,31,30,15,9,9,9,San Francisco
San Jose,157230.2826100059,628924.4196658435,946363,946363,946363,946363,946363,946363,946363,,946363,157230.2826100059,471694.13705583755,317438.5803341565,0,0,0,0,0,0,,946363,,194678.90214609072,15,San Jose,15,9,19,22,22,22,San Jose
Seattle,119660.32695296707,472096.97806937766,1102805.5340848048,1308338,1308338,1308338,1308338,1308338,1308338,,1308338,119660.32695296707,352436.6511164106,630708.5560154272,205532.46591519518,0,0,0,0,0,,1308338.0000000002,,190517.12905345735,16,Seattle,28,28,13,13,13,13,Seattle
South Florida,265296.826662905,1134661.7791264467,1476085,1476085,1476085,1476085,1476085,1476085,1476085,,1476085,265296.826662905,869364.9524635416,341423.2208735533,0,0,0,0,0,0,,1476085,,325700.5208801352,4,South Florida,1,1,5,12,12,12,South Florida
St. Louis,108987.37359124416,477666.73430719285,1123947.6440254252,1144336,1144336,1144336,1144336,1144336,1144336,,1144336,108987.37359124416,368679.3607159487,646280.9097182323,20388.355974574806,0,0,0,0,0,,1144336,,182866.61856733274,17,St. Louis,32,27,11,18,18,18,St. Louis
Tampa Bay,86408.31978165914,365090.31324181554,848928.0085215026,914711,914711,914711,914711,914711,914711,,914711,86408.31978165914,278681.9934601564,483837.69527968706,65782.9914784974,0,0,0,0,0,,914711,,141664.9100830107,34,Tampa Bay,45,44,23,23,23,23,Tampa Bay
Washington,125249.77216503282,536510.4922990851,1285044.981185136,2214350,2214350,2214350,2214350,2214350,2214350,,2214350,125249.77216503282,411260.72013405233,748534.4888860508,929305.0188148641,0,0,0,0,0,,2214350.0000000005,,245096.49529920178,9,Washington,25,18,8,5,5,5,Washington
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WEIGHTED AVERAGE ACROSS CITIES,145571.93986522604,596250.6023908964,1214211.3063647673,1819033.6455644725,2275018.4198599155,2776177.4318969194,2872250.942915072,2872250.942915072,2872250.942915072,,,1,1,1,1,1,1,1,1,1,,,,0.8092510253174099,,,TIME COHORT,,,,,,
Beta,-0.08,,,,,,,,,,,,,,,,,,,,,,,,Weighted Average,Rank,10,20,30,40,50,60,Weighted Average
,,,,,,,,,,,,,,,,,,,,,,,,,New York,1,South Florida,South Florida,Philadelphia,New York,New York,New York,New York
"Source of Beta: Levinson, David and Ajay Kumar (1995) A Multi-modal Trip Distribution Model. Transportation Research Record #1466: 124-131.",,,,,,,,,,,,,,,,,,,,,,,,,Philadelphia,2,Hartford,Cleveland,New York,Chicago,Los Angeles,Los Angeles,Philadelphia
,,,,,,,,,,,,,,,,,,,,,,,,,Chicago,3,Rochester,Philadelphia,Boston,Philadelphia,Chicago,Chicago,Chicago
,,,,,,,,,,,,,,,,,,,,,,,,,South Florida,4,Buffalo,New York,Chicago,Los Angeles,Philadelphia,Philadelphia,South Florida
,,,,,,,,,,,,,,,,,,,,,,,,,Los Angeles,5,Honolulu,Boston,South Florida,Washington,Washington,Washington,Los Angeles
,,,,,,,,,,,,,,,,,,,,,,,,,Boston,6,Raleigh,Chicago,Los Angeles,Boston,Boston,Boston,Boston
,,,,,,,,,,,,,,,,,,,,,,,,,Cleveland,7,Charlotte,Columbus,Detroit,Detroit,Detroit,Detroit,Cleveland
,,,,,,,,,,,,,,,,,,,,,,,,,Detroit,8,Cleveland,Denver,Washington,Dallas-Fort Worth,Dallas-Fort Worth,Dallas-Fort Worth,Detroit
,,,,,,,,,,,,,,,,,,,,,,,,,Washington,9,Philadelphia,San Jose,Cleveland,San Francisco,San Francisco,San Francisco,Washington
,,,,,,,,,,,,,,,,,,,,,,,,,Dallas-Fort Worth,10,New York,Charlotte,Baltimore,Houston,Houston,Houston,Dallas-Fort Worth
,,,,,,,,,,,,,,,,,,,,,,,,,Baltimore,11,Columbus,Baltimore,St. Louis,Atlanta,Atlanta,Atlanta,Baltimore
,,,,,,,,,,,,,,,,,,,,,,,,,San Francisco,12,Providence,Los Angeles,Dallas-Fort Worth,South Florida,South Florida,South Florida,San Francisco
,,,,,,,,,,,,,,,,,,,,,,,,,Denver,13,Boston,Detroit,Seattle,Seattle,Seattle,Seattle,Denver
,,,,,,,,,,,,,,,,,,,,,,,,,Houston,14,Chicago,Milwaukee,Houston,Minneapolis-St.Paul,Minneapolis-St.Paul,Minneapolis-St.Paul,Houston
,,,,,,,,,,,,,,,,,,,,,,,,,San Jose,15,San Jose,Hartford,San Francisco,Cleveland,Cleveland,Cleveland,San Jose
,,,,,,,,,,,,,,,,,,,,,,,,,Seattle,16,Denver,Cincinnati,Denver,San Diego,San Diego,San Diego,Seattle
,,,,,,,,,,,,,,,,,,,,,,,,,St. Louis,17,Salt Lake City,Providence,San Diego,Baltimore,Baltimore,Baltimore,St. Louis
,,,,,,,,,,,,,,,,,,,,,,,,,Columbus,18,Grand Rapids,Washington,Pittsburgh,St. Louis,St. Louis,St. Louis,Columbus
,,,,,,,,,,,,,,,,,,,,,,,,,Charlotte,19,Los Angeles,Buffalo,San Jose,Phoenix,Phoenix,Phoenix,Charlotte
,,,,,,,,,,,,,,,,,,,,,,,,,San Diego,20,Baltimore,Inland Empire,Minneapolis-St.Paul,Denver,Denver,Denver,San Diego
,,,,,,,,,,,,,,,,,,,,,,,,,Hartford,21,Detroit,New Orleans,Phoenix,Pittsburgh,Pittsburgh,Pittsburgh,Hartford
,,,,,,,,,,,,,,,,,,,,,,,,,Atlanta,22,Milwaukee,Indianapolis,Atlanta,San Jose,San Jose,San Jose,Atlanta
,,,,,,,,,,,,,,,,,,,,,,,,,Minneapolis-St.Paul,23,New Orleans,Portland,Tampa Bay,Tampa Bay,Tampa Bay,Tampa Bay,Minneapolis-St.Paul
,,,,,,,,,,,,,,,,,,,,,,,,,Milwaukee,24,Cincinnati,Sacramento,Cincinnati,Cincinnati,Cincinnati,Cincinnati,Milwaukee
,,,,,,,,,,,,,,,,,,,,,,,,,Cincinnati,25,Washington,Rochester,Milwaukee,Milwaukee,Milwaukee,Milwaukee,Cincinnati
,,,,,,,,,,,,,,,,,,,,,,,,,Buffalo,26,Inland Empire,Salt Lake City,Inland Empire,Kansas City,Kansas City,Kansas City,Buffalo
,,,,,,,,,,,,,,,,,,,,,,,,,Inland Empire,27,Sacramento,St. Louis,Kansas City,Inland Empire,Inland Empire,Inland Empire,Inland Empire
,,,,,,,,,,,,,,,,,,,,,,,,,Phoenix,28,Seattle,Seattle,Portland,Portland,Portland,Portland,Phoenix
,,,,,,,,,,,,,,,,,,,,,,,,,Pittsburgh,29,Portland,Dallas-Fort Worth,Hampton Roads,Hampton Roads,Hampton Roads,Hampton Roads,Pittsburgh
,,,,,,,,,,,,,,,,,,,,,,,,,Providence,30,Indianapolis,San Francisco,Sacramento,Sacramento,Sacramento,Sacramento,Providence
,,,,,,,,,,,,,,,,,,,,,,,,,Rochester,31,San Francisco,Louisville,Columbus,Columbus,Columbus,Columbus,Rochester
,,,,,,,,,,,,,,,,,,,,,,,,,Portland,32,St. Louis,Honolulu,Indianapolis,Indianapolis,Indianapolis,Indianapolis,Portland
,,,,,,,,,,,,,,,,,,,,,,,,,Sacramento,33,Dallas-Fort Worth,Memphis,Charlotte,Charlotte,Charlotte,Charlotte,Sacramento
,,,,,,,,,,,,,,,,,,,,,,,,,Tampa Bay,34,Las Vegas,Houston,San Antonio,San Antonio,San Antonio,San Antonio,Tampa Bay
,,,,,,,,,,,,,,,,,,,,,,,,,Indianapolis,35,San Diego,San Diego,Hartford,Hartford,Hartford,Hartford,Indianapolis
,,,,,,,,,,,,,,,,,,,,,,,,,Honolulu,36,Memphis,Phoenix,Orlando,Orlando,Orlando,Orlando,Honolulu
,,,,,,,,,,,,,,,,,,,,,,,,,New Orleans,37,Houston,San Antonio,Providence,Providence,Providence,Providence,New Orleans
,,,,,,,,,,,,,,,,,,,,,,,,,Salt Lake City,38,Louisville,Austin,Buffalo,Buffalo,Buffalo,Buffalo,Salt Lake City
,,,,,,,,,,,,,,,,,,,,,,,,,Raleigh,39,Austin,Pittsburgh,New Orleans,New Orleans,New Orleans,New Orleans,Raleigh
,,,,,,,,,,,,,,,,,,,,,,,,,Kansas City,40,Phoenix,Raleigh,Nashville,Nashville,Nashville,Nashville,Kansas City
,,,,,,,,,,,,,,,,,,,,,,,,,San Antonio,41,San Antonio,Minneapolis-St.Paul,Rochester,Rochester,Rochester,Rochester,San Antonio
,,,,,,,,,,,,,,,,,,,,,,,,,Hampton Roads,42,Minneapolis-St.Paul,Atlanta,Salt Lake City,Salt Lake City,Salt Lake City,Salt Lake City,Hampton Roads
,,,,,,,,,,,,,,,,,,,,,,,,,Louisville,43,Pittsburgh,Las Vegas,Oklahoma City,Oklahoma City,Oklahoma City,Oklahoma City,Louisville
,,,,,,,,,,,,,,,,,,,,,,,,,Memphis,44,Atlanta,Tampa Bay,Memphis,Memphis,Memphis,Memphis,Memphis
,,,,,,,,,,,,,,,,,,,,,,,,,Orlando,45,Tampa Bay,Orlando,Louisville,Louisville,Louisville,Louisville,Orlando
,,,,,,,,,,,,,,,,,,,,,,,,,Austin,46,Orlando,Hampton Roads,Jacksonville,Jacksonville,Jacksonville,Jacksonville,Austin
,,,,,,,,,,,,,,,,,,,,,,,,,Grand Rapids,47,Hampton Roads,Grand Rapids,Honolulu,Honolulu,Honolulu,Honolulu,Grand Rapids
,,,,,,,,,,,,,,,,,,,,,,,,,Las Vegas,48,Kansas City,Kansas City,Austin,Austin,Austin,Austin,Las Vegas
,,,,,,,,,,,,,,,,,,,,,,,,,Nashville,49,Nashville,Nashville,Raleigh,Raleigh,Raleigh,Raleigh,Nashville
,,,,,,,,,,,,,,,,,,,,,,,,,Oklahoma City,50,Oklahoma City,Oklahoma City,Las Vegas,Las Vegas,Las Vegas,Las Vegas,Oklahoma City
